Time Interval,Close,Net Chg,Open,High,Low,Tick Count,Volume
Summary,41.28,4.82,36.19,42.65,32.045,202361,30709995
05JUL2016_00:00:00.000000,,,,,,,
09:30 - 09:35,36.11,-0.35,36.19,36.19,36.11,2,1230
09:35 - 09:40,35.93,-0.18,36.19,36.19,35.86,22,3079
09:40 - 09:45,35.96,0.03,35.8796,36.01,35.84,21,3191
09:45 - 09:50,35.94,-0.02,35.94,35.94,35.94,1,100
09:50 - 09:55,35.95,0.01,35.96,35.96,35.95,6,900
09:55 - 10:00,35.9148,-0.0352,35.95,35.95,35.9148,6,711
10:00 - 10:05,35.92,0.0052,35.9893,35.99,35.92,11,1320
10:05 - 10:10,35.94,0.02,35.97,35.97,35.92,8,800
10:10 - 10:15,35.96,0.02,35.9,35.97,35.895,14,1700
10:15 - 10:20,35.98,0.02,35.9877,36,35.96,4,1352
10:20 - 10:25,35.92,-0.06,35.97,35.97,35.8301,15,1500
10:25 - 10:30,35.98,0.06,35.97,36.01,35.9301,30,3655
10:30 - 10:35,36.02,0.04,35.94,36.06,35.94,20,2764
10:35 - 10:40,35.98,-0.04,36.04,36.04,35.96,14,1700
10:40 - 10:45,36,0.02,35.97,36.03,35.97,17,2000
10:45 - 10:50,35.96,-0.04,35.955,35.98,35.955,6,675
10:50 - 10:55,35.86,-0.1,35.94,35.95,35.86,5,500
10:55 - 11:00,35.88,0.02,35.87,35.88,35.85,5,700
11:00 - 11:05,35.855,-0.025,35.91,35.93,35.855,8,900
11:05 - 11:10,35.91,0.055,35.88,35.92,35.84,13,1300
11:10 - 11:15,35.8,-0.11,35.87,35.87,35.78,22,3126
11:15 - 11:20,35.91,0.11,35.87,35.91,35.83,7,863
11:25 - 11:30,35.88,-0.03,35.95,35.97,35.88,10,1200
11:30 - 11:35,35.84,-0.04,35.86,35.86,35.8,6,600
11:35 - 11:40,35.8,-0.04,35.84,35.84,35.8,5,583
11:40 - 11:45,35.73,-0.07,35.81,35.81,35.73,14,1760
11:45 - 11:50,35.74,0.01,35.76,35.76,35.68,12,1200
11:50 - 11:55,35.65,-0.09,35.69,35.69,35.64,7,800
11:55 - 12:00,35.63,-0.02,35.625,35.64,35.6,7,700
12:00 - 12:05,35.66,0.03,35.68,35.68,35.66,4,400
12:05 - 12:10,35.69,0.03,35.65,35.69,35.65,4,400
12:10 - 12:15,35.64,-0.05,35.66,35.66,35.64,6,600
12:15 - 12:20,35.61,-0.03,35.67,35.67,35.59,11,1100
12:25 - 12:30,35.71,0.1,35.67,35.72,35.67,3,300
12:30 - 12:35,35.67,-0.04,35.72,35.73,35.67,9,900
12:35 - 12:40,35.62,-0.05,35.69,35.69,35.62,3,300
12:40 - 12:45,35.61,-0.01,35.62,35.64,35.59,14,1400
12:45 - 12:50,35.64,0.03,35.63,35.66,35.63,3,300
12:50 - 12:55,35.55,-0.09,35.66,35.66,35.55,13,1361
12:55 - 13:00,35.57,0.02,35.58,35.58,35.57,6,600
13:00 - 13:05,35.73,0.16,35.57,35.75,35.57,52,6558
13:05 - 13:10,35.78,0.05,35.73,35.78,35.73,2,200
13:10 - 13:15,35.7,-0.08,35.8,35.83,35.7,18,1863
13:15 - 13:20,35.65,-0.05,35.72,35.76,35.65,8,950
13:20 - 13:25,35.74,0.09,35.67,35.76,35.67,8,1000
13:25 - 13:30,35.72,-0.02,35.73,35.73,35.69,6,600
13:30 - 13:35,35.725,0.005,35.71,35.725,35.71,2,200
13:35 - 13:40,35.66,-0.065,35.705,35.705,35.66,11,1700
13:40 - 13:45,35.66,0,35.7,35.75,35.66,41,10314
13:45 - 13:50,35.71,0.05,35.69,35.71,35.69,7,1055
13:50 - 13:55,35.6954,-0.0146,35.69,35.7,35.65,7,736
13:55 - 14:00,35.68,-0.0154,35.685,35.7,35.68,5,700
14:00 - 14:05,35.76,0.08,35.72,35.76,35.7,10,1400
14:05 - 14:10,35.71,-0.05,35.76,35.76,35.68,22,2400
14:10 - 14:15,35.83,0.12,35.73,35.85,35.73,11,1300
14:15 - 14:20,35.89,0.06,35.85,35.89,35.85,3,736
14:20 - 14:25,35.83,-0.06,35.87,35.87,35.82,5,550
14:25 - 14:30,35.78,-0.05,35.79,35.82,35.76,7,900
14:30 - 14:35,35.72,-0.06,35.76,35.77,35.72,22,2771
14:35 - 14:40,35.716,-0.004,35.73,35.73,35.71,9,1554
14:40 - 14:45,35.77,0.054,35.78,35.79,35.75,5,500
14:45 - 14:50,35.75,-0.02,35.8,35.8,35.71,12,1543
14:50 - 14:55,35.78,0.03,35.74,35.78,35.74,7,745
14:55 - 15:00,35.785,0.005,35.78,35.81,35.78,5,500
15:00 - 15:05,35.77,-0.015,35.81,35.81,35.76,10,1100
15:05 - 15:10,35.81,0.04,35.79,35.83,35.78,29,3105
15:10 - 15:15,35.8,-0.01,35.81,35.81,35.8,4,402
15:15 - 15:20,35.85,0.05,35.82,35.88,35.82,17,1839
15:20 - 15:25,35.85,0,35.87,35.88,35.85,19,2202
15:25 - 15:30,35.8499,-0.0001,35.87,35.87,35.8499,7,700
15:30 - 15:35,35.94,0.0901,35.91,35.955,35.91,7,1006
15:35 - 15:40,35.97,0.03,35.94,35.97,35.91,20,2200
15:40 - 15:45,35.96,-0.01,35.95,36.02,35.94,28,4344
15:45 - 15:50,35.91,-0.05,35.97,35.97,35.9,38,4435
15:50 - 15:55,35.86,-0.05,35.8999,35.8999,35.84,46,5806
15:55 - 16:00,35.81,-0.05,35.85,35.85,35.8,112,15063
06JUL2016_00:00:00.000000,,,,,,,
09:30 - 09:35,35.59,-0.22,35.59,35.59,35.59,1,751
09:35 - 09:40,35.435,-0.155,35.76,35.76,35.435,30,3100
09:40 - 09:45,35.34,-0.095,35.5299,35.5299,35.33,53,7026
09:45 - 09:50,35.34,0,35.34,35.38,35.22,26,2600
09:50 - 09:55,35.33,-0.01,35.34,35.35,35.28,30,6200
09:55 - 10:00,35.49,0.16,35.39,35.5044,35.39,39,5900
10:00 - 10:05,35.46,-0.03,35.5,35.56,35.44,48,8733
10:05 - 10:10,35.33,-0.13,35.47,35.4899,35.33,15,1859
10:10 - 10:15,35.29,-0.04,35.31,35.31,35.29,8,1300
10:15 - 10:20,35.24,-0.05,35.3,35.3,35.24,8,800
10:20 - 10:25,35.31,0.07,35.24,35.31,35.18,16,1610
10:25 - 10:30,35.22,-0.09,35.3,35.3,35.22,39,12500
10:30 - 10:35,35.31,0.09,35.22,35.33,35.18,64,9476
10:35 - 10:40,35.38,0.07,35.34,35.38,35.27,19,2000
10:40 - 10:45,35.3,-0.08,35.38,35.45,35.29,31,4007
10:45 - 10:50,35.38,0.08,35.2701,35.39,35.27,22,3800
10:50 - 10:55,35.3,-0.08,35.38,35.44,35.24,109,21566
10:55 - 11:00,35.36,0.06,35.36,35.375,35.29,54,7501
11:00 - 11:05,35.32,-0.04,35.35,35.41,35.3,113,15668
11:05 - 11:10,35.31,-0.01,35.31,35.37,35.3,80,12800
11:10 - 11:15,35.36,0.05,35.33,35.37,35.3,112,14809
11:15 - 11:20,35.34,-0.02,35.36,35.37,35.33,74,8653
11:20 - 11:25,35.33,-0.01,35.34,35.345,35.29,23,2760
11:25 - 11:30,35.23,-0.1,35.34,35.34,35.23,16,1700
11:30 - 11:35,35.23,0,35.23,35.28,35.23,9,1300
11:35 - 11:40,35.23,0,35.26,35.27,35.2,20,2647
11:40 - 11:45,35.17,-0.06,35.24,35.25,35.17,23,2400
11:45 - 11:50,35.18,0.01,35.19,35.19,35.14,15,1800
11:50 - 11:55,35.1,-0.08,35.13,35.15,35.09,26,3700
11:55 - 12:00,35.09,-0.01,35.1,35.16,35.09,42,5500
12:00 - 12:05,35.2,0.11,35.13,35.225,35.11,58,7838
12:05 - 12:10,35.25,0.05,35.22,35.29,35.2,34,4300
12:10 - 12:15,35.24,-0.01,35.28,35.29,35.24,14,1500
12:15 - 12:20,35.28,0.04,35.27,35.29,35.255,10,1000
12:20 - 12:25,35.25,-0.03,35.295,35.38,35.25,45,7178
12:25 - 12:30,35.29,0.04,35.29,35.35,35.28,22,2900
12:30 - 12:35,35.25,-0.04,35.29,35.3,35.22,57,8252
12:35 - 12:40,35.26,0.01,35.26,35.33,35.26,14,1500
12:40 - 12:45,35.37,0.11,35.29,35.39,35.28,33,4100
12:45 - 12:50,35.26,-0.11,35.355,35.3725,35.25,40,9450
12:50 - 12:55,35.3,0.04,35.235,35.31,35.22,11,1100
12:55 - 13:00,35.33,0.03,35.29,35.33,35.28,8,900
13:00 - 13:05,35.36,0.03,35.32,35.4,35.3,47,16646
13:05 - 13:10,35.36,0,35.38,35.41,35.26,110,14302
13:10 - 13:15,35.33,-0.03,35.34,35.4,35.305,45,5303
13:15 - 13:20,35.28,-0.05,35.33,35.34,35.28,29,3531
13:20 - 13:25,35.28,0,35.29,35.33,35.28,13,1578
13:25 - 13:30,35.33,0.05,35.28,35.33,35.26,21,2250
13:30 - 13:35,35.31,-0.02,35.345,35.355,35.27,50,6979
13:35 - 13:40,35.32,0.01,35.29,35.32,35.29,17,2135
13:40 - 13:45,35.25,-0.07,35.32,35.32,35.25,19,2125
13:45 - 13:50,35.26,0.01,35.25,35.28,35.24,13,1300
13:50 - 13:55,35.31,0.05,35.27,35.35,35.27,18,1900
13:55 - 14:00,35.32,0.01,35.31,35.32,35.3,8,900
14:00 - 14:05,35.32,0,35.33,35.37,35.25,40,5830
14:05 - 14:10,35.33,0.01,35.29,35.36,35.28,40,4678
14:10 - 14:15,35.25,-0.08,35.335,35.335,35.25,17,2241
14:15 - 14:20,35.23,-0.02,35.23,35.23,35.2,10,1450
14:20 - 14:25,35.265,0.035,35.28,35.28,35.21,8,1100
14:25 - 14:30,35.24,-0.025,35.23,35.25,35.18,15,2100
14:30 - 14:35,35.24,0,35.24,35.28,35.19,63,8868
14:35 - 14:40,35.23,-0.01,35.2424,35.2525,35.18,41,5974
14:40 - 14:45,35.22,-0.01,35.24,35.24,35.21,38,4900
14:45 - 14:50,35.21,-0.01,35.24,35.24,35.1884,37,4491
14:50 - 14:55,35.21,0,35.21,35.26,35.2,83,11000
14:55 - 15:00,35.24,0.03,35.265,35.265,35.19,39,7301
15:00 - 15:05,35.24,0,35.24,35.26,35.2,43,5975
15:05 - 15:10,35.21,-0.03,35.23,35.24,35.2,50,6520
15:10 - 15:15,35.24,0.03,35.2,35.26,35.19,136,24535
15:15 - 15:20,35.26,0.02,35.23,35.27,35.21,88,12919
15:20 - 15:25,35.27,0.01,35.25,35.305,35.24,88,13384
15:25 - 15:30,35.315,0.045,35.3,35.32,35.27,35,4150
15:30 - 15:35,35.34,0.025,35.32,35.35,35.29,65,9259
15:35 - 15:40,35.36,0.02,35.35,35.44,35.35,57,10634
15:40 - 15:45,35.39,0.03,35.4,35.43,35.35,150,27357
15:45 - 15:50,35.36,-0.03,35.4,35.4,35.35,106,15112
15:50 - 15:55,35.34,-0.02,35.37,35.38,35.3,123,15758
15:55 - 16:00,35.32,-0.02,35.37,35.4,35.32,246,45437
07JUL2016_00:00:00.000000,,,,,,,
09:30 - 09:35,35.65,0.33,35.54,35.76,35.54,26,5335
09:35 - 09:40,35.73,0.08,35.74,35.8,35.61,45,8700
09:40 - 09:45,35.7,-0.03,35.73,35.78,35.64,50,8643
09:45 - 09:50,35.69,-0.01,35.755,35.8,35.64,51,7210
09:50 - 09:55,35.66,-0.03,35.67,35.69,35.6,26,4120
09:55 - 10:00,35.625,-0.035,35.65,35.7,35.564,87,10935
10:00 - 10:05,35.63,0.005,35.64,35.65,35.54,53,6358
10:05 - 10:10,35.635,0.005,35.65,35.67,35.59,103,14151
