Time Interval,Close,Net Chg,Open,High,Low,Tick Count,Volume
Summary,47.815,-3.96,51.8,52.391,47.73,200734,32224389
02OCT2017_00:00:00.000000,,,,,,,
09:30 - 09:35,51.83,0.055,51.8,51.84,51.71,30,9719
09:35 - 09:40,51.8,-0.03,51.82,51.82,51.72,19,2805
09:40 - 09:45,51.84,0.04,51.75,51.87,51.75,25,3696
09:45 - 09:50,51.87,0.03,51.84,51.87,51.79,19,4702
09:50 - 09:55,51.91,0.04,51.92,51.92,51.89,23,3989
09:55 - 10:00,51.91,0,51.9,51.93,51.9,18,2183
10:00 - 10:05,51.82,-0.09,51.91,51.91,51.76,28,4100
10:05 - 10:10,51.92,0.1,51.78,51.92,51.78,31,4419
10:10 - 10:15,51.94,0.02,51.94,51.94,51.89,16,2300
10:15 - 10:20,51.92,-0.02,51.95,51.97,51.92,28,4600
10:20 - 10:25,51.95,0.03,51.92,51.95,51.9,7,700
10:25 - 10:30,51.88,-0.07,51.95,51.97,51.88,52,12062
10:30 - 10:35,51.99,0.11,51.89,52.08,51.88,72,15431
10:35 - 10:40,52.02,0.03,52.05,52.05,52,37,4400
10:40 - 10:45,52,-0.02,52,52.01,51.995,21,2156
10:45 - 10:50,52.02,0.02,52.01,52.02,52.01,6,600
10:50 - 10:55,52.01,-0.01,52.015,52.015,51.96,24,2400
10:55 - 11:00,51.945,-0.065,52.005,52.01,51.94,29,3989
11:00 - 11:05,51.94,-0.005,51.94,51.96,51.94,14,2005
11:05 - 11:10,51.92,-0.02,51.95,51.95,51.92,20,2000
11:10 - 11:15,51.95,0.03,51.92,51.96,51.905,31,5100
11:15 - 11:20,51.95,0,51.95,51.95,51.93,23,2770
11:20 - 11:25,51.97,0.02,51.95,51.97,51.94,21,2300
11:25 - 11:30,52,0.03,51.97,52,51.96,12,1400
11:30 - 11:35,52.01,0.01,52,52.015,51.97,41,6134
11:35 - 11:40,52,-0.01,52,52.01,51.97,30,3990
11:40 - 11:45,52.02,0.02,52,52.02,52,19,1900
11:45 - 11:50,52.02,0,52.02,52.04,52.01,20,2600
11:50 - 11:55,52.03,0.01,52.02,52.03,52.02,5,600
11:55 - 12:00,52.02,-0.01,52.01,52.02,51.99,15,1999
12:00 - 12:05,52.05,0.03,52.02,52.07,52.02,23,2700
12:05 - 12:10,52.04,-0.01,52.04,52.05,52.04,12,1274
12:10 - 12:15,52.04,0,52.04,52.06,52.04,14,1600
12:15 - 12:20,52.04,0,52.05,52.05,52.04,32,3439
12:20 - 12:25,52.03,-0.01,52.04,52.04,52.015,9,1107
12:25 - 12:30,52.05,0.02,52.01,52.05,52.01,9,970
12:30 - 12:35,52.07,0.02,52.05,52.07,52.05,4,600
12:35 - 12:40,52.08,0.01,52.07,52.08,52.06,8,900
12:40 - 12:45,52.06,-0.02,52.09,52.09,52.05,10,1071
12:45 - 12:50,52.07,0.01,52.06,52.08,52.06,14,1822
12:50 - 12:55,52.0608,-0.0092,52.06,52.08,52.04,35,7992
12:55 - 13:00,52.01,-0.0508,52.055,52.055,51.97,91,18825
13:00 - 13:05,52.01,0,52.01,52.03,51.98,43,6184
13:05 - 13:10,51.99,-0.02,52,52.01,51.98,41,4700
13:10 - 13:15,51.99,0,51.99,52.0001,51.98,25,2871
13:15 - 13:20,51.96,-0.03,51.99,52,51.955,22,3080
13:20 - 13:25,51.97,0.01,51.97,52,51.96,52,13503
13:25 - 13:30,51.98,0.01,51.97,51.99,51.97,15,2060
13:30 - 13:35,51.94,-0.04,51.96,51.99,51.935,19,3580
13:35 - 13:40,51.97,0.03,51.93,51.97,51.93,10,1200
13:40 - 13:45,51.99,0.02,51.99,51.99,51.97,8,899
13:45 - 13:50,52.02,0.03,52.02,52.02,52,13,2068
13:50 - 13:55,52,-0.02,52.03,52.03,52,21,3356
13:55 - 14:00,52.02,0.02,52.01,52.04,52,22,2993
14:00 - 14:05,52,-0.02,52.0166,52.02,52,17,52220
14:05 - 14:10,52.01,0.01,52,52.01,51.99,44,5683
14:10 - 14:15,52.0001,-0.0099,52,52.02,52,10,1206
14:15 - 14:20,52.02,0.0199,52.01,52.03,52.01,8,800
14:20 - 14:25,52.04,0.02,52.04,52.04,52.04,14,1905
14:25 - 14:30,52.055,0.015,52.045,52.06,52.045,10,1400
14:30 - 14:35,52.07,0.015,52.06,52.075,52.05,34,4592
14:35 - 14:40,52.07,0,52.065,52.07,52.065,4,400
14:40 - 14:45,52,-0.07,52.08,52.08,51.99,52,6671
14:45 - 14:50,52.01,0.01,52.005,52.01,52,26,36940
14:50 - 14:55,52.042,0.032,52.01,52.042,52,23,95394
14:55 - 15:00,52.06,0.018,52.07,52.095,52.04,21,3875
15:00 - 15:05,52.1,0.04,52.06,52.1,52.0553,17,2070
15:05 - 15:10,52.07,-0.03,52.11,52.14,52.07,21,2300
15:10 - 15:15,52.095,0.025,52.07,52.1,52.07,10,1010
15:15 - 15:20,52.095,0,52.09,52.1,52.09,18,1900
15:20 - 15:25,52.13,0.035,52.095,52.14,52.095,34,3665
15:25 - 15:30,52.115,-0.015,52.13,52.13,52.115,20,3025
15:30 - 15:35,52.12,0.005,52.115,52.12,52.105,16,1787
15:35 - 15:40,52.11,-0.01,52.11,52.12,52.09,55,6363
15:40 - 15:45,52.075,-0.035,52.105,52.12,52.07,32,3402
15:45 - 15:50,52.08,0.005,52.08,52.1,52.065,66,8345
15:50 - 15:55,52.1,0.02,52.08,52.13,52.075,67,8503
15:55 - 16:00,52.197,0.097,52.11,52.23,52.11,296,53447
03OCT2017_00:00:00.000000,,,,,,,
09:30 - 09:35,51.995,-0.202,52.18,52.18,51.98,50,10748
09:35 - 09:40,51.92,-0.075,51.98,52,51.92,54,6200
09:40 - 09:45,51.89,-0.03,51.89,51.94,51.85,49,7330
09:45 - 09:50,51.81,-0.08,51.85,51.86,51.81,59,7638
09:50 - 09:55,51.82,0.01,51.79,51.83,51.78,79,8883
09:55 - 10:00,51.8,-0.02,51.83,51.83,51.78,20,2900
10:00 - 10:05,51.78,-0.02,51.81,51.81,51.78,11,1299
10:05 - 10:10,51.85,0.07,51.78,51.86,51.77,33,4500
10:10 - 10:15,51.9,0.05,51.85,51.9,51.85,37,4766
10:15 - 10:20,51.91,0.01,51.9,51.91,51.89,14,1400
