Time Interval,Close,Net Chg,Open,High,Low,Tick Count,Volume
Summary,79.97,18.78,61.03,81.185,59.07,61671,9270491
05JUL2016_00:00:00.000000,,,,,,,
09:30 - 09:35,60.98,-0.21,61.03,61.03,60.98,2,349
09:35 - 09:40,60.83,-0.15,60.78,60.83,60.68,7,700
09:50 - 09:55,61.06,0.23,61.06,61.06,61.06,1,100
09:55 - 10:00,61.15,0.09,61.15,61.15,61.15,1,100
10:00 - 10:05,61.18,0.03,61.18,61.18,61.18,1,100
10:05 - 10:10,61.09,-0.09,61.03,61.18,61.03,5,600
10:10 - 10:15,61.48,0.39,61.17,61.48,61.17,15,1950
10:15 - 10:20,61.56,0.08,61.5,61.57,61.38,6,800
10:20 - 10:25,61.4,-0.16,61.57,61.57,61.4,2,200
10:25 - 10:30,61.52,0.12,61.56,61.56,61.52,3,300
10:30 - 10:35,61.65,0.13,61.53,61.65,61.53,9,901
10:35 - 10:40,61.61,-0.04,61.64,61.66,61.59,9,1070
10:40 - 10:45,61.54,-0.07,61.6,61.74,61.5,18,2353
10:45 - 10:50,61.47,-0.07,61.47,61.47,61.47,2,200
10:50 - 10:55,61.43,-0.04,61.43,61.43,61.43,1,100
10:55 - 11:00,61.47,0.04,61.45,61.47,61.41,5,500
11:00 - 11:05,61.38,-0.09,61.38,61.38,61.38,2,200
11:05 - 11:10,61.32,-0.06,61.32,61.32,61.32,1,100
11:10 - 11:15,61.15,-0.17,61.22,61.22,61.12,6,600
11:15 - 11:20,61.05,-0.1,61.02,61.05,61.02,3,300
11:25 - 11:30,61.06,0.01,60.9918,61.06,60.9918,2,900
11:40 - 11:45,60.675,-0.385,61.04,61.04,60.56,12,1397
11:45 - 11:50,60.44,-0.235,60.6,60.65,60.44,10,1000
11:55 - 12:00,60.46,0.02,60.41,60.46,60.3774,4,463
12:10 - 12:15,60.45,-0.01,60.49,60.49,60.45,3,300
12:15 - 12:20,60.33,-0.12,60.33,60.33,60.33,1,100
12:20 - 12:25,60.28,-0.05,60.43,60.46,60.28,6,600
12:30 - 12:35,60.56,0.28,60.56,60.56,60.56,1,100
12:35 - 12:40,60.47,-0.09,60.67,60.67,60.47,2,200
12:45 - 12:50,60.5,0.03,60.45,60.5,60.36,4,500
12:50 - 12:55,60.335,-0.165,60.48,60.48,60.335,2,200
13:00 - 13:05,60.49,0.155,60.49,60.49,60.49,1,100
13:05 - 13:10,60.31,-0.18,60.31,60.31,60.31,1,100
13:10 - 13:15,60.25,-0.06,60.4,60.4,60.25,5,500
13:15 - 13:20,60.09,-0.16,60.2,60.2,60.09,2,200
13:20 - 13:25,59.98,-0.11,60.01,60.09,59.98,4,500
13:25 - 13:30,59.9,-0.08,59.98,59.98,59.9,3,400
13:30 - 13:35,59.9,0,59.9,59.9,59.9,1,200
13:35 - 13:40,59.69,-0.21,59.75,59.77,59.69,9,984
13:40 - 13:45,59.74,0.05,59.75,59.75,59.67,13,1300
13:50 - 13:55,59.89,0.15,59.89,59.89,59.89,1,100
13:55 - 14:00,59.87,-0.02,59.86,59.92,59.86,4,400
14:00 - 14:05,60.04,0.17,60.04,60.04,60.04,1,100
14:05 - 14:10,60.17,0.13,60.19,60.19,60.17,2,200
14:10 - 14:15,60.24,0.07,60.23,60.24,60.18,5,500
14:15 - 14:20,60.25,0.01,60.25,60.25,60.25,2,200
14:20 - 14:25,60.15,-0.1,60.3466,60.35,60.15,9,1780
14:25 - 14:30,60.05,-0.1,60.2,60.21,60.05,3,300
14:35 - 14:40,60.2019,0.1519,60.2019,60.2019,60.2019,1,157
14:45 - 14:50,60.24,0.0381,60.27,60.27,60.24,2,200
14:50 - 14:55,60.25,0.01,60.25,60.25,60.25,2,200
15:05 - 15:10,60.29,0.04,60.32,60.32,60.29,4,400
15:15 - 15:20,60.2475,-0.0425,60.22,60.2475,60.22,2,200
15:30 - 15:35,60.35,0.1025,60.35,60.37,60.35,5,500
15:35 - 15:40,60.56,0.21,60.38,60.57,60.38,10,1100
15:40 - 15:45,60.59,0.03,60.57,60.59,60.53,4,400
15:45 - 15:50,60.31,-0.28,60.52,60.53,60.31,16,1696
15:50 - 15:55,60.17,-0.14,60.25,60.32,60.13,14,1400
15:55 - 16:00,60.22,0.05,60.16,60.22,60.09,44,14105
06JUL2016_00:00:00.000000,,,,,,,
09:30 - 09:35,59.8,-0.42,59.8,59.8,59.8,1,684
09:40 - 09:45,59.77,-0.03,59.77,59.77,59.77,1,100
09:50 - 09:55,59.89,0.12,59.91,59.91,59.89,3,300
09:55 - 10:00,59.84,-0.05,59.56,59.84,59.56,2,200
10:00 - 10:05,60.01,0.17,59.91,60.01,59.7,4,400
10:05 - 10:10,59.83,-0.18,59.83,59.83,59.83,1,300
10:15 - 10:20,59.72,-0.11,59.75,59.75,59.72,2,200
10:20 - 10:25,59.7,-0.02,59.7,59.7,59.7,1,100
10:25 - 10:30,59.7,0,59.785,59.785,59.7,2,200
10:30 - 10:35,59.51,-0.19,59.51,59.51,59.51,3,300
10:40 - 10:45,59.5,-0.01,59.5,59.5,59.5,1,100
10:45 - 10:50,59.5,0,59.525,59.61,59.41,12,1200
10:50 - 10:55,59.55,0.05,59.61,59.66,59.55,10,1000
11:00 - 11:05,59.5,-0.05,59.65,59.65,59.5,12,1200
11:05 - 11:10,59.67,0.17,59.55,59.67,59.52,5,500
11:10 - 11:15,59.57,-0.1,59.57,59.57,59.57,1,200
11:20 - 11:25,59.65,0.08,59.64,59.65,59.566,6,945
11:25 - 11:30,59.485,-0.165,59.51,59.51,59.485,3,300
11:30 - 11:35,59.28,-0.205,59.36,59.47,59.28,12,2400
11:35 - 11:40,59.43,0.15,59.43,59.43,59.43,1,100
11:40 - 11:45,59.31,-0.12,59.365,59.365,59.31,2,200
11:45 - 11:50,59.0901,-0.2199,59.3,59.3,59.09,8,800
