Time Interval,Close,Net Chg,Open,High,Low,Tick Count,Volume
Summary,32.17,-4.89,36.54,39.74,30.43,134622,17942192
04SEP2015_00:00:00.000000,,,,,,,
09:30 - 09:35,36.68,-0.38,36.54,36.68,36.38,41,9673
09:35 - 09:40,36.72,0.04,36.75,36.78,36.66,17,1700
09:40 - 09:45,36.75,0.03,36.69,36.75,36.69,13,1600
09:45 - 09:50,36.72,-0.03,36.7,36.72,36.7,3,300
09:50 - 09:55,36.57,-0.15,36.69,36.705,36.57,25,2950
09:55 - 10:00,36.73,0.16,36.66,36.73,36.55,71,8800
10:00 - 10:05,36.6901,-0.0399,36.69,36.73,36.62,14,2058
10:05 - 10:10,36.73,0.0399,36.74,36.74,36.7,6,800
10:10 - 10:15,36.8,0.07,36.78,36.8,36.78,3,340
10:15 - 10:20,36.825,0.025,36.83,36.86,36.8,28,2845
10:20 - 10:25,36.95,0.125,36.86,36.95,36.86,12,1201
10:25 - 10:30,36.98,0.03,36.94,36.98,36.94,11,1300
10:30 - 10:35,37.04,0.06,37.01,37.04,37.01,7,800
10:35 - 10:40,37.085,0.045,37.02,37.09,37.02,14,3500
10:40 - 10:45,37,-0.085,37.06,37.07,36.98,60,16928
10:45 - 10:50,37,0,37,37,36.93,15,1700
10:50 - 10:55,36.98,-0.02,37,37,36.97,9,1300
10:55 - 11:00,37,0.02,36.99,37,36.94,11,1166
11:00 - 11:05,36.87,-0.13,37,37,36.87,39,4200
11:05 - 11:10,36.87,0,36.87,36.88,36.87,7,700
11:10 - 11:15,36.94,0.07,36.94,36.94,36.94,1,100
11:15 - 11:20,36.97,0.03,36.89,36.97,36.89,2,200
11:20 - 11:25,37,0.03,36.9699,37,36.93,7,770
11:25 - 11:30,37.01,0.01,37.02,37.02,36.97,18,1800
11:30 - 11:35,36.93,-0.08,36.97,36.97,36.93,10,1000
11:35 - 11:40,36.88,-0.05,36.91,36.93,36.88,4,544
11:40 - 11:45,36.89,0.01,36.9,36.9,36.89,3,383
11:45 - 11:50,36.95,0.06,36.89,36.96,36.89,7,800
11:50 - 11:55,36.94,-0.01,36.94,36.94,36.94,2,200
11:55 - 12:00,36.85,-0.09,36.94,36.96,36.85,7,700
12:00 - 12:05,36.9,0.05,36.87,36.9,36.87,6,600
12:05 - 12:10,36.95,0.05,36.88,36.95,36.88,6,600
12:10 - 12:15,36.89,-0.06,36.89,36.9188,36.88,8,1200
12:15 - 12:20,36.9,0.01,36.9,36.9,36.9,1,100
12:20 - 12:25,36.84,-0.06,36.88,36.88,36.83,4,400
12:25 - 12:30,36.79,-0.05,36.835,36.835,36.79,7,800
12:30 - 12:35,36.85,0.06,36.81,36.85,36.81,7,702
12:35 - 12:40,36.85,0,36.85,36.87,36.82,9,900
12:40 - 12:45,36.83,-0.02,36.83,36.83,36.81,8,800
12:45 - 12:50,36.83,0,36.81,36.83,36.81,4,400
12:50 - 12:55,36.84,0.01,36.85,36.86,36.84,11,1100
12:55 - 13:00,36.8,-0.04,36.84,36.84,36.8,3,700
13:00 - 13:05,36.78,-0.02,36.81,36.81,36.74,13,1300
13:05 - 13:10,36.77,-0.01,36.74,36.77,36.74,2,200
13:10 - 13:15,36.76,-0.01,36.78,36.8,36.75,15,1500
13:15 - 13:20,36.8,0.04,36.76,36.8,36.76,7,700
13:20 - 13:25,36.75,-0.05,36.79,36.79,36.75,9,1200
13:25 - 13:30,36.75,0,36.75,36.7725,36.75,9,1000
13:30 - 13:35,36.78,0.03,36.76,36.79,36.76,6,641
13:35 - 13:40,36.78,0,36.77,36.81,36.73,23,2700
13:40 - 13:45,36.76,-0.02,36.79,36.79,36.76,17,2000
13:45 - 13:50,36.79,0.03,36.77,36.81,36.76,15,1500
13:50 - 13:55,36.79,0,36.82,36.82,36.79,6,600
13:55 - 14:00,36.795,0.005,36.77,36.8,36.77,11,1100
14:00 - 14:05,36.77,-0.025,36.77,36.77,36.74,6,601
14:05 - 14:10,36.72,-0.05,36.7543,36.77,36.71,12,1200
14:10 - 14:15,36.73,0.01,36.72,36.73,36.68,6,800
14:15 - 14:20,36.69,-0.04,36.73,36.73,36.69,9,900
14:20 - 14:25,36.68,-0.01,36.69,36.72,36.68,16,1715
14:25 - 14:30,36.69,0.01,36.68,36.69,36.62,11,1100
14:30 - 14:35,36.7,0.01,36.69,36.71,36.69,12,1401
14:35 - 14:40,36.66,-0.04,36.66,36.66,36.64,10,1200
14:40 - 14:45,36.7,0.04,36.67,36.71,36.67,10,1323
14:45 - 14:50,36.73,0.03,36.7,36.73,36.7,9,1240
14:50 - 14:55,36.74,0.01,36.73,36.75,36.73,21,2203
14:55 - 15:00,36.74,0,36.74,36.74,36.71,20,2200
15:00 - 15:05,36.76,0.02,36.77,36.78,36.73,22,2200
15:05 - 15:10,36.75,-0.01,36.75,36.77,36.75,15,1700
15:10 - 15:15,36.78,0.03,36.75,36.78,36.71,27,3200
15:15 - 15:20,36.72,-0.06,36.71,36.75,36.71,11,1200
15:20 - 15:25,36.72,0,36.72,36.72,36.67,16,2200
15:25 - 15:30,36.73,0.01,36.73,36.74,36.72,17,2200
15:30 - 15:35,36.71,-0.02,36.72,36.72,36.68,40,4698
15:35 - 15:40,36.7316,0.0216,36.71,36.74,36.71,29,3100
15:40 - 15:45,36.78,0.0484,36.73,36.79,36.73,50,5563
15:45 - 15:50,36.855,0.075,36.78,36.87,36.78,55,6184
15:50 - 15:55,36.82,-0.035,36.87,36.88,36.82,77,8899
15:55 - 16:00,36.72,-0.1,36.85,36.85,36.72,91,11914
