Time Interval,Close,Net Chg,Open,High,Low,Tick Count,Volume
Summary,71.36,-1.66,72.95,80.77,68.48,265712,32818813
03JAN2014_00:00:00.000000,,,,,,,
09:30 - 09:35,73.104,0.084,72.95,73.4,72.95,4,4296
09:35 - 09:40,73.45,0.346,73.49,73.49,73.45,3,400
09:40 - 09:45,73.79,0.34,73.68,73.79,73.68,6,600
09:45 - 09:50,73.885,0.095,73.82,73.885,73.81,10,1000
09:50 - 09:55,74.08,0.195,73.98,74.11,73.98,5,700
09:55 - 10:00,74.04,-0.04,74.09,74.13,73.98,12,1495
10:00 - 10:05,73.99,-0.05,73.97,74.308,73.97,48,5130
10:05 - 10:10,73.83,-0.16,73.99,74.03,73.83,12,1300
10:10 - 10:15,73.88,0.05,73.85,73.9,73.841,25,2500
10:15 - 10:20,73.63,-0.25,73.94,73.94,73.62,30,3044
10:20 - 10:25,73.63,0,73.75,73.75,73.63,10,1061
10:25 - 10:30,73.71,0.08,73.71,73.765,73.69,15,1627
10:30 - 10:35,73.75,0.04,73.71,73.75,73.71,5,500
10:35 - 10:40,73.9,0.15,73.79,73.95,73.77,64,9400
10:40 - 10:45,73.95,0.05,73.93,73.95,73.83,8,805
10:45 - 10:50,73.89,-0.06,73.94,73.95,73.85,12,1200
10:50 - 10:55,73.9,0.01,73.89,73.9,73.852,7,700
10:55 - 11:00,73.92,0.02,73.872,73.92,73.872,4,400
11:00 - 11:05,73.95,0.03,73.92,73.97,73.88,15,1906
11:05 - 11:10,73.95,0,73.94,73.95,73.93,24,2400
11:10 - 11:15,73.87,-0.08,73.95,73.95,73.87,22,2200
11:15 - 11:20,73.77,-0.1,73.85,73.85,73.77,10,1000
11:20 - 11:25,73.95,0.18,73.76,73.96,73.73,204,24776
11:25 - 11:30,73.81,-0.14,73.91,73.969,73.81,79,10847
11:30 - 11:35,73.82,0.01,73.8,73.83,73.76,49,7800
11:35 - 11:40,73.88,0.06,73.82,73.88,73.82,16,2252
11:40 - 11:45,73.91,0.03,73.88,73.95,73.88,54,10612
11:45 - 11:50,73.775,-0.135,73.9,73.91,73.74,89,11612
11:50 - 11:55,73.82,0.045,73.78,73.84,73.75,53,8428
11:55 - 12:00,73.8,-0.02,73.8,73.8,73.78,12,1200
12:00 - 12:05,73.8,0,73.76,73.82,73.76,12,1415
12:05 - 12:10,73.81,0.01,73.85,73.86,73.8,33,5400
12:10 - 12:15,73.83,0.02,73.83,73.83,73.8,28,3200
12:15 - 12:20,73.825,-0.005,73.85,73.85,73.8,25,4000
12:20 - 12:25,73.825,0,73.84,73.84,73.825,8,1200
12:25 - 12:30,73.9,0.075,73.81,73.9,73.75,119,18437
12:30 - 12:35,73.87,-0.03,73.855,73.9,73.85,27,3000
12:35 - 12:40,73.84,-0.03,73.85,73.86,73.84,4,400
12:40 - 12:45,73.83,-0.01,73.83,73.86,73.83,9,900
12:45 - 12:50,73.85,0.02,73.83,73.85,73.83,5,500
12:50 - 12:55,73.86,0.01,73.86,73.86,73.86,1,100
