Time Interval,Close,Net Chg,Open,High,Low,Tick Count,Volume
Summary,56.96,-0.8,57.33,63.044,51.38,154790,19140705
02DEC2016_00:00:00.000000,,,,,,,
09:30 - 09:35,57.25,-0.51,57.33,57.4,57.21,10,11542
09:35 - 09:40,57.09,-0.16,57.384,57.384,56.81,28,3975
09:40 - 09:45,57.28,0.19,57.07,57.28,57.07,8,800
09:45 - 09:50,57.2475,-0.0325,57.245,57.28,57.15,10,1000
09:50 - 09:55,57.3,0.0525,57.3,57.3,57.3,1,100
09:55 - 10:00,57.22,-0.08,57.27,57.305,57.22,8,1489
10:00 - 10:05,57.0601,-0.1599,57.22,57.285,57.06,21,2793
10:05 - 10:10,57.18,0.1199,57.09,57.19,57.09,4,400
10:10 - 10:15,57.115,-0.065,57.15,57.15,57.0501,5,1250
10:15 - 10:20,57.03,-0.085,57.095,57.095,57.03,2,218
10:20 - 10:25,57.03,0,57.06,57.08,57.01,10,1000
10:25 - 10:30,57.07,0.04,57.07,57.07,57.07,1,100
10:30 - 10:35,57.095,0.025,57.1,57.12,57.095,7,900
10:35 - 10:40,57.135,0.04,57.13,57.135,57.13,5,540
10:40 - 10:45,57.09,-0.045,57.12,57.14,57.06,19,1970
10:45 - 10:50,57.01,-0.08,57.13,57.13,57.01,5,585
10:50 - 10:55,57.17,0.16,57.03,57.17,57.03,4,400
10:55 - 11:00,57.12,-0.05,57.17,57.17,57.12,4,1629
11:00 - 11:05,57,-0.12,57.13,57.1375,57,24,3232
11:05 - 11:10,56.92,-0.08,57.01,57.01,56.9,19,1900
11:10 - 11:15,56.95,0.03,56.91,56.96,56.91,6,921
11:15 - 11:20,56.91,-0.04,56.965,56.965,56.91,4,600
11:20 - 11:25,56.7905,-0.1195,56.84,56.84,56.7905,6,1070
11:25 - 11:30,56.805,0.0145,56.837,56.85,56.805,9,1300
11:30 - 11:35,56.8,-0.005,56.81,56.82,56.8,11,1300
11:40 - 11:45,56.79,-0.01,56.76,56.79,56.76,7,900
11:45 - 11:50,56.764,-0.026,56.7672,56.7672,56.71,5,1225
11:50 - 11:55,56.65,-0.114,56.65,56.65,56.65,1,100
11:55 - 12:00,56.72,0.07,56.7469,56.7469,56.7,10,1390
12:00 - 12:05,56.62,-0.1,56.7,56.7032,56.62,6,700
12:05 - 12:10,56.61,-0.01,56.65,56.65,56.6,4,400
12:10 - 12:15,56.565,-0.045,56.56,56.565,56.54,4,400
12:20 - 12:25,56.64,0.075,56.6,56.68,56.6,15,2231
12:25 - 12:30,56.63,-0.01,56.64,56.64,56.63,2,200
12:30 - 12:35,56.585,-0.045,56.6067,56.6067,56.58,3,390
12:35 - 12:40,56.61,0.025,56.59,56.61,56.51,9,1000
12:40 - 12:45,56.575,-0.035,56.63,56.63,56.575,2,200
12:45 - 12:50,56.57,-0.005,56.53,56.63,56.53,12,1600
12:50 - 12:55,56.6141,0.0441,56.57,56.6141,56.57,2,250
12:55 - 13:00,56.71,0.0959,56.67,56.71,56.67,4,400
13:00 - 13:05,56.69,-0.02,56.75,56.75,56.69,10,1000
13:05 - 13:10,56.67,-0.02,56.68,56.68,56.67,3,300
13:10 - 13:15,56.6,-0.07,56.585,56.6,56.585,4,493
13:20 - 13:25,56.59,-0.01,56.59,56.59,56.59,1,100
13:25 - 13:30,56.6608,0.0708,56.67,56.7799,56.64,9,905
