Time Interval,Close,Net Chg,Open,High,Low,Tick Count,Volume
Summary,103.28,15.29,87.98,107.77,87.264,129004,17050098
03JUN2014_00:00:00.000000,,,,,,,
09:30 - 09:35,88.45,0.46,87.98,88.94,87.98,16,2583
09:35 - 09:40,89.54,1.09,88.4,89.56,88.4,11,1200
09:40 - 09:45,88.99,-0.55,89.32,89.32,88.99,7,700
09:45 - 09:50,89,0.01,89.15,89.15,89,4,800
09:50 - 09:55,89.06,0.06,89,89.16,89,5,999
09:55 - 10:00,89.05,-0.01,89.06,89.1,89.01,16,2722
10:00 - 10:05,89.05,0,89.09,89.175,88.72,95,16441
10:05 - 10:10,89.07,0.02,89.05,89.07,88.74,38,7400
10:10 - 10:15,88.94,-0.13,89.02,89.06,88.855,35,5330
10:15 - 10:20,88.41,-0.53,88.94,88.94,88.38,52,9202
10:20 - 10:25,88.1,-0.31,88.28,88.48,88.1,44,9400
10:25 - 10:30,88.52,0.42,88.31,88.645,88.31,12,1828
10:30 - 10:35,88.37,-0.15,88.655,88.655,88.37,56,7903
10:35 - 10:40,88.34,-0.03,88.15,88.35,88.015,81,35802
10:40 - 10:45,87.98,-0.36,88.33,88.37,87.98,70,9177
10:45 - 10:50,88.06,0.08,87.99,88.1,87.98,46,8248
10:50 - 10:55,87.915,-0.145,88.1,88.11,87.77,58,9000
10:55 - 11:00,88.02,0.105,88,88.19,87.86,89,10484
11:00 - 11:05,87.99,-0.03,88.03,88.03,87.912,27,3300
11:05 - 11:10,87.65,-0.34,87.96,87.97,87.62,63,11564
11:10 - 11:15,87.82,0.17,87.95,87.95,87.67,25,2500
11:15 - 11:20,87.66,-0.16,87.69,87.74,87.66,42,6296
11:20 - 11:25,87.64,-0.02,87.66,87.67,87.4,85,11976
11:25 - 11:30,87.69,0.05,87.7,87.79,87.5,29,3000
11:30 - 11:35,87.81,0.12,87.69,87.86,87.44,72,13280
11:35 - 11:40,87.3,-0.51,87.77,87.88,87.3,73,11167
11:40 - 11:45,87.34,0.04,87.3,87.59,87.3,20,2200
11:45 - 11:50,87.47,0.13,87.53,87.59,87.41,11,1100
11:50 - 11:55,87.46,-0.01,87.6,87.6,87.46,12,1200
11:55 - 12:00,87.39,-0.07,87.46,87.55,87.264,14,1400
12:00 - 12:05,87.65,0.26,87.32,87.75,87.32,14,1423
12:05 - 12:10,87.71,0.06,87.65,87.71,87.4,13,1300
