Time Interval,Close,Net Chg,Open,High,Low,Tick Count,Volume
Summary,39.82,-1.24,40.88,45.6826,36.38,216985,31284394
02DEC2016_00:00:00.000000,,,,,,,
09:30 - 09:35,40.6625,-0.3975,40.88,40.88,40.65,6,1465
09:35 - 09:40,40.83,0.1675,40.5107,40.83,40.5107,24,3659
09:40 - 09:45,40.83,0,40.75,40.89,40.75,20,2275
09:45 - 09:50,40.95,0.12,40.84,40.95,40.84,19,2000
09:50 - 09:55,40.86,-0.09,40.89,40.89,40.85,6,600
09:55 - 10:00,40.91,0.05,40.87,40.96,40.87,21,2102
10:00 - 10:05,40.83,-0.08,40.83,40.87,40.83,4,500
10:05 - 10:10,40.81,-0.02,40.79,40.88,40.78,23,9000
10:10 - 10:15,40.725,-0.085,40.7259,40.7259,40.725,2,600
10:15 - 10:20,40.675,-0.05,40.68,40.68,40.675,4,400
10:20 - 10:25,40.74,0.065,40.67,40.76,40.62,63,10000
10:25 - 10:30,40.76,0.02,40.75,40.8,40.71,12,1200
10:30 - 10:35,40.825,0.065,40.8,40.85,40.8,5,500
10:35 - 10:40,40.855,0.03,40.84,40.889,40.815,5,1041
10:40 - 10:45,40.96,0.105,40.855,40.98,40.83,54,11975
10:45 - 10:50,40.97,0.01,40.94,40.975,40.92,10,1200
10:50 - 10:55,41.04,0.07,40.95,41.059,40.95,18,2642
10:55 - 11:00,41.06,0.02,41.06,41.06,41.06,1,100
11:00 - 11:05,41.12,0.06,41.03,41.12,40.972,34,4100
11:05 - 11:10,41.14,0.02,41.1,41.15,41.09,29,4500
11:10 - 11:15,41.06,-0.08,41.08,41.14,41.06,65,12600
11:15 - 11:20,40.995,-0.065,41.01,41.01,40.995,2,300
11:20 - 11:25,41,0.005,40.96,41.02,40.94,19,2300
11:25 - 11:30,40.97,-0.03,41.01,41.01,40.95,10,1100
11:30 - 11:35,40.97,0,40.98,40.98,40.95,9,900
11:35 - 11:40,40.95,-0.02,40.98,41,40.95,25,2500
11:40 - 11:45,40.9675,0.0175,40.97,40.99,40.9675,8,1060
11:45 - 11:50,40.96,-0.0075,40.95,40.98,40.95,20,2650
11:50 - 11:55,40.96,0,40.96,40.98,40.955,6,600
11:55 - 12:00,40.97,0.01,40.96,40.98,40.96,38,4600
12:00 - 12:05,41,0.03,40.9475,41.01,40.9475,54,6200
12:05 - 12:10,40.99,-0.01,41,41.01,40.98,61,7000
12:10 - 12:15,41.005,0.015,40.99,41.01,40.98,60,7080
12:15 - 12:20,41.1,0.095,41.02,41.1,41.02,42,4400
12:20 - 12:25,41.13,0.03,41.11,41.16,41.11,29,3834
12:25 - 12:30,41.2,0.07,41.12,41.2,41.115,55,7910
