Time Interval,Close,Net Chg,Open,High,Low,Tick Count,Volume
Summary,59.08,5.97,52.7,59.84,51.87,106040,15109242
03JUN2014_00:00:00.000000,,,,,,,
09:30 - 09:35,52.86,-0.25,52.7,52.86,52.46,3,2159
09:35 - 09:40,52.76,-0.1,52.62,52.76,52.62,3,300
09:40 - 09:45,52.715,-0.045,52.715,52.715,52.715,1,100
09:45 - 09:50,52.6995,-0.0155,52.61,52.82,52.61,38,3900
09:50 - 09:55,52.74,0.0405,52.601,52.84,52.601,19,1900
09:55 - 10:00,52.98,0.24,52.72,52.98,52.72,46,5296
10:00 - 10:05,52.97,-0.01,52.976,52.98,52.97,6,690
10:05 - 10:10,53.01,0.04,52.97,53.01,52.97,4,400
10:10 - 10:15,53.13,0.12,53.09,53.13,53.09,6,600
10:15 - 10:20,52.99,-0.14,53.06,53.06,52.96,13,1600
10:25 - 10:30,52.61,-0.38,52.98,52.98,52.61,6,600
10:35 - 10:40,52.82,0.21,52.61,52.9,52.61,88,8800
10:40 - 10:45,52.64,-0.18,52.75,52.85,52.64,35,3747
10:45 - 10:50,52.516,-0.124,52.665,52.68,52.516,6,618
10:50 - 10:55,52.5,-0.016,52.51,52.68,52.5,15,1981
10:55 - 11:00,52.72,0.22,52.5,52.81,52.5,32,3400
11:00 - 11:05,52.64,-0.08,52.72,52.72,52.64,4,400
11:05 - 11:10,52.6495,0.0095,52.52,52.67,52.51,35,3944
11:10 - 11:15,52.695,0.0455,52.65,52.695,52.61,26,2864
11:15 - 11:20,52.655,-0.04,52.59,52.655,52.52,9,1100
11:20 - 11:25,52.6,-0.055,52.53,52.62,52.43,45,4900
11:25 - 11:30,52.5395,-0.0605,52.605,52.605,52.53,8,900
11:30 - 11:35,52.54,0.0005,52.53,52.58,52.512,17,1800
11:35 - 11:40,52.5999,0.0599,52.63,52.63,52.51,3,370
11:40 - 11:45,52.4905,-0.1094,52.47,52.495,52.41,27,3304
11:45 - 11:50,52.49,-0.0005,52.51,52.58,52.45,29,3000
11:50 - 11:55,52.47,-0.02,52.43,52.52,52.4,23,2500
11:55 - 12:00,52.29,-0.18,52.29,52.29,52.29,1,100
12:00 - 12:05,52.37,0.08,52.22,52.37,52.22,3,300
12:10 - 12:15,52.37,0,52.4,52.42,52.34,11,1100
12:15 - 12:20,52.25,-0.12,52.43,52.5,52.25,32,3970
12:20 - 12:25,52.45,0.2,52.31,52.45,52.31,21,2100
12:25 - 12:30,52.33,-0.12,52.42,52.42,52.32,4,566
12:30 - 12:35,52.13,-0.2,52.34,52.34,52.12,26,2600
12:35 - 12:40,52.125,-0.005,52.115,52.16,52.07,39,4400
12:40 - 12:45,52.02,-0.105,52.13,52.13,51.97,25,3509
12:45 - 12:50,51.98,-0.04,52.01,52.01,51.98,4,400
12:50 - 12:55,51.91,-0.07,51.92,51.92,51.91,2,200
12:55 - 13:00,51.97,0.06,51.9,51.97,51.9,9,900
13:00 - 13:05,51.94,-0.03,51.97,52.03,51.895,28,2967
13:05 - 13:10,52.17,0.23,51.95,52.19,51.95,24,2400
13:10 - 13:15,52.28,0.11,52.16,52.4,52.16,14,1657
13:15 - 13:20,52.33,0.05,52.33,52.33,52.33,6,600
13:20 - 13:25,52.42,0.09,52.25,52.42,52.21,28,2800
13:25 - 13:30,52.4,-0.02,52.42,52.52,52.4,8,1639
13:30 - 13:35,52.4,0,52.4,52.4,52.4,1,100
13:35 - 13:40,52.32,-0.08,52.4,52.42,52.32,3,300
13:40 - 13:45,52.375,0.055,52.375,52.375,52.375,1,100
13:45 - 13:50,52.32,-0.055,52.32,52.32,52.32,2,200
13:50 - 13:55,52.3,-0.02,52.27,52.39,52.27,9,900
13:55 - 14:00,52.314,0.014,52.4584,52.4584,52.3,8,823
14:00 - 14:05,52.28,-0.034,52.28,52.28,52.28,2,200
14:05 - 14:10,52.27,-0.01,52.28,52.29,52.27,5,500
14:10 - 14:15,52.15,-0.12,52.12,52.15,52.12,4,400
14:15 - 14:20,52.18,0.03,52.16,52.18,52.16,4,400
14:20 - 14:25,52.18,0,52.19,52.19,52.18,2,200
14:25 - 14:30,52.29,0.11,52.19,52.3,52.19,8,800
14:30 - 14:35,52.4,0.11,52.4,52.4,52.4,1,100
14:35 - 14:40,52.46,0.06,52.3,52.66,52.29,37,4300
14:40 - 14:45,52.46,0,52.61,52.61,52.46,2,200
14:45 - 14:50,52.53,0.07,52.54,52.54,52.53,8,800
14:50 - 14:55,52.5,-0.03,52.51,52.51,52.5,4,400
14:55 - 15:00,52.48,-0.02,52.6,52.6,52.48,3,300
15:00 - 15:05,52.4,-0.08,52.48,52.48,52.4,5,500
15:05 - 15:10,52.45,0.05,52.4286,52.51,52.4286,8,830
15:10 - 15:15,52.44,-0.01,52.509,52.509,52.44,8,800
15:15 - 15:20,52.38,-0.06,52.44,52.44,52.38,9,900
15:20 - 15:25,52.38,0,52.38,52.38,52.38,5,500
15:25 - 15:30,52.21,-0.17,52.16,52.23,52.16,12,1300
15:30 - 15:35,52.29,0.08,52.23,52.36,52.21,11,1100
15:35 - 15:40,52.315,0.025,52.3,52.32,52.27,13,1300
15:40 - 15:45,52.32,0.005,52.33,52.35,52.31,8,800
15:45 - 15:50,52.25,-0.07,52.31,52.33,52.25,13,1300
15:50 - 15:55,52.18,-0.07,52.225,52.32,52.18,46,4600
15:55 - 16:00,52.1,-0.08,52.18,52.19,52.03,114,21472
04JUN2014_00:00:00.000000,,,,,,,
09:30 - 09:35,52.18,0.08,52.06,52.6799,52.06,3,837
09:35 - 09:40,52.41,0.23,52.41,52.41,52.385,4,400
09:40 - 09:45,52.06,-0.35,52.08,52.08,51.87,13,1317
09:45 - 09:50,52.38,0.32,52.07,52.58,52.07,22,2300
09:50 - 09:55,52.45,0.07,52.41,52.55,52.41,10,1100
09:55 - 10:00,52.21,-0.24,52.3,52.35,52.21,7,700
10:00 - 10:05,52.415,0.205,52.19,52.56,52.19,20,2200
10:05 - 10:10,52.51,0.095,52.3,52.51,52.3,11,1115
10:10 - 10:15,52.63,0.12,52.475,52.63,52.475,3,300
10:15 - 10:20,52.79,0.16,52.53,53.05,52.53,108,11622
10:20 - 10:25,52.85,0.06,52.81,52.85,52.74,30,3110
10:25 - 10:30,52.95,0.1,52.85,53,52.81,13,1300
10:30 - 10:35,53.105,0.155,52.96,53.105,52.89,6,600
10:35 - 10:40,52.975,-0.13,52.96,53.02,52.96,6,600
10:40 - 10:45,52.99,0.015,52.95,52.99,52.95,9,900
10:50 - 10:55,53,0.01,52.9975,53,52.9975,2,200
10:55 - 11:00,53.13,0.13,53.118,53.13,53.1,5,520
11:05 - 11:10,53.14,0.01,53.14,53.14,53.14,1,100
11:10 - 11:15,53.27,0.13,53.15,53.31,53.15,15,1540
