Time Interval,Close,Net Chg,Open,High,Low,Tick Count,Volume
Summary,27.78,-4,31.95,32.34,24.46,122630,19255593
03NOV2014_00:00:00.000000,,,,,,,
09:30 - 09:35,31.87,0.09,31.95,31.95,31.8,11,2761
09:35 - 09:40,31.94,0.07,31.9,31.94,31.9,3,500
09:40 - 09:45,31.91,-0.03,31.91,31.91,31.91,1,100
09:45 - 09:50,31.884,-0.026,31.94,31.94,31.86,10,1300
09:50 - 09:55,31.905,0.021,31.86,31.936,31.86,19,2284
09:55 - 10:00,31.8,-0.105,31.9,31.905,31.8,39,4311
10:00 - 10:05,31.8,0,31.88,31.88,31.8,31,3600
10:05 - 10:10,31.79,-0.01,31.78,31.81,31.78,26,2927
10:10 - 10:15,31.885,0.095,31.82,31.885,31.82,6,600
10:15 - 10:20,31.875,-0.01,31.885,31.885,31.86,11,1100
10:20 - 10:25,31.87,-0.005,31.87,31.87,31.85,21,2900
10:25 - 10:30,31.86,-0.01,31.885,31.885,31.86,9,1300
10:30 - 10:35,31.895,0.035,31.89,31.895,31.86,4,400
10:35 - 10:40,31.86,-0.035,31.89,31.89,31.86,11,1400
10:40 - 10:45,31.83,-0.03,31.85,31.85,31.83,9,1000
10:45 - 10:50,31.875,0.045,31.83,31.875,31.83,8,800
10:50 - 10:55,31.83,-0.045,31.875,31.875,31.83,5,500
10:55 - 11:00,31.87,0.04,31.885,31.9,31.84,28,2800
11:00 - 11:05,31.92,0.05,31.895,31.92,31.84,23,2500
11:05 - 11:10,31.97,0.05,31.92,31.97,31.92,21,2359
11:10 - 11:15,31.88,-0.09,31.97,31.97,31.88,8,1000
11:15 - 11:20,31.85,-0.03,31.9,31.91,31.85,7,800
11:20 - 11:25,31.85,0,31.88,31.88,31.85,2,200
11:25 - 11:30,31.87,0.02,31.84,31.87,31.83,3,300
11:30 - 11:35,31.84,-0.03,31.83,31.84,31.83,3,300
11:35 - 11:40,31.83,-0.01,31.844,31.844,31.83,2,600
11:40 - 11:45,31.89,0.06,31.82,31.89,31.82,3,300
11:45 - 11:50,31.89,0,31.89,31.9,31.86,16,2250
11:50 - 11:55,31.88,-0.01,31.88,31.9,31.86,17,2405
