Time Interval,Close,Net Chg,Open,High,Low,Tick Count,Volume
Summary,39.26,-1.83,41.31,43.04,34.62,319568,50056199
05MAR2013_00:00:00.000000,,,,,,,
09:30 - 09:35,41.465,0.375,41.31,41.49,41.31,9,2677
09:35 - 09:40,41.31,-0.155,41.48,41.4899,41.17,53,6550
09:40 - 09:45,41.37,0.06,41.46,41.46,41.1801,22,4300
09:45 - 09:50,41.1499,-0.2201,41.4,41.4175,41.03,39,9669
09:50 - 09:55,41.13,-0.0199,41.15,41.15,41.04,39,15910
09:55 - 10:00,41.08,-0.05,41.05,41.18,41.05,59,17000
10:00 - 10:05,41.16,0.08,41.1,41.2,41.04,106,15240
10:05 - 10:10,41.145,-0.015,41.14,41.19,41.11,113,13800
10:10 - 10:15,41.15,0.005,41.13,41.1615,41.05,98,12030
10:15 - 10:20,41.1499,-0.0001,41.2,41.2,41.07,99,13000
10:20 - 10:25,41.12,-0.0299,41.14,41.17,41.09,79,10100
10:25 - 10:30,41.16,0.04,41.13,41.17,41.09,84,9700
10:30 - 10:35,41.16,0,41.13,41.18,41.09,70,9800
10:35 - 10:40,41.09,-0.07,41.15,41.22,41.09,111,14459
10:40 - 10:45,41.16,0.07,41.11,41.2,41.1,135,16400
10:45 - 10:50,41.1875,0.0275,41.15,41.22,41.12,92,10374
10:50 - 10:55,41.22,0.0325,41.175,41.255,41.175,117,15347
10:55 - 11:00,41.2099,-0.0101,41.23,41.25,41.14,64,7900
11:00 - 11:05,41.3,0.0901,41.19,41.31,41.1401,60,12277
11:05 - 11:10,41.39,0.09,41.29,41.39,41.27,47,21609
11:10 - 11:15,41.49,0.1,41.4,41.49,41.395,17,2700
11:15 - 11:20,41.5,0.01,41.455,41.54,41.455,14,4500
11:20 - 11:25,41.56,0.06,41.6,41.66,41.5,50,12100
11:25 - 11:30,41.55,-0.01,41.57,41.58,41.44,90,10876
11:30 - 11:35,41.54,-0.01,41.59,41.625,41.5,92,14170
11:35 - 11:40,41.55,0.01,41.56,41.58,41.52,68,10095
11:40 - 11:45,41.59,0.04,41.55,41.6025,41.46,83,11774
11:45 - 11:50,41.52,-0.07,41.555,41.65,41.49,81,12373
11:50 - 11:55,41.59,0.07,41.54,41.59,41.42,95,13700
11:55 - 12:00,41.59,0,41.59,41.66,41.52,112,19199
12:00 - 12:05,41.51,-0.08,41.55,41.65,41.51,94,10798
12:05 - 12:10,41.57,0.06,41.51,41.6,41.48,76,8600
12:10 - 12:15,41.535,-0.035,41.6,41.62,41.53,73,9238
12:15 - 12:20,41.585,0.05,41.56,41.59,41.56,4,400
12:20 - 12:25,41.515,-0.07,41.555,41.56,41.5,11,1100
12:25 - 12:30,41.51,-0.005,41.56,41.56,41.46,91,13606
12:30 - 12:35,41.56,0.05,41.51,41.56,41.47,56,5965
12:35 - 12:40,41.61,0.05,41.56,41.61,41.49,64,9304
12:40 - 12:45,41.5,-0.11,41.57,41.57,41.5,65,8670
12:45 - 12:50,41.5,0,41.5,41.51,41.49,36,4000
12:50 - 12:55,41.54,0.04,41.5099,41.55,41.5099,13,1300
12:55 - 13:00,41.5,-0.04,41.51,41.53,41.47,50,8000
13:00 - 13:05,41.48,-0.02,41.49,41.49,41.44,25,2827
13:05 - 13:10,41.46,-0.02,41.465,41.465,41.46,3,300
13:10 - 13:15,41.485,0.025,41.465,41.49,41.44,12,1200
13:15 - 13:20,41.47,-0.015,41.48,41.55,41.46,50,10505
13:20 - 13:25,41.51,0.04,41.485,41.55,41.485,42,5400
13:25 - 13:30,41.49,-0.02,41.51,41.51,41.47,23,4168
13:30 - 13:35,41.5,0.01,41.485,41.55,41.431,131,16401
13:35 - 13:40,41.53,0.03,41.5,41.55,41.48,99,13571
13:40 - 13:45,41.485,-0.045,41.54,41.54,41.43,165,25781
13:45 - 13:50,41.485,0,41.5,41.5,41.45,225,33342
13:50 - 13:55,41.52,0.035,41.48,41.57,41.48,148,17800
13:55 - 14:00,41.54,0.02,41.52,41.61,41.52,87,9200
14:00 - 14:05,41.53,-0.01,41.55,41.6493,41.51,199,26196
14:05 - 14:10,41.5,-0.03,41.52,41.52,41.49,50,5900
14:10 - 14:15,41.26,-0.24,41.5,41.5,41.22,75,8375
14:15 - 14:20,41.3,0.04,41.3501,41.38,41.2815,14,1500
14:20 - 14:25,41.23,-0.07,41.29,41.3,41.23,26,2924
14:25 - 14:30,41.28,0.05,41.26,41.28,41.26,17,2003
14:30 - 14:35,41.24,-0.04,41.26,41.26,41.24,14,1400
14:35 - 14:40,41.24,0,41.22,41.28,41.21,33,3900
14:40 - 14:45,41.315,0.075,41.255,41.315,41.255,10,1000
14:45 - 14:50,41.34,0.025,41.32,41.43,41.28,46,6000
14:50 - 14:55,41.15,-0.19,41.34,41.34,41.15,27,3281
14:55 - 15:00,41.18,0.03,41.16,41.265,41.13,27,2788
15:00 - 15:05,41.2,0.02,41.16,41.2,41.065,87,13788
15:05 - 15:10,41.1,-0.1,41.21,41.21,41.06,40,9152
15:10 - 15:15,41.19,0.09,41.13,41.22,41.12,50,5485
15:15 - 15:20,41.15,-0.04,41.16,41.16,41.12,3,300
15:20 - 15:25,41.09,-0.06,41.14,41.14,41.08,17,1900
15:25 - 15:30,41.28,0.19,41.09,41.3,41.09,30,3800
15:30 - 15:35,41.22,-0.06,41.28,41.31,41.21,22,2200
15:35 - 15:40,41.24,0.02,41.2,41.27,41.16,48,5900
15:40 - 15:45,41.28,0.04,41.19,41.32,41.19,31,3500
15:45 - 15:50,41.34,0.06,41.2899,41.37,41.24,97,12797
15:50 - 15:55,41.33,-0.01,41.36,41.4,41.33,58,8392
15:55 - 16:00,41.37,0.04,41.33,41.37,41.305,109,26711
06MAR2013_00:00:00.000000,,,,,,,
09:30 - 09:35,41.65,0.28,41.49,41.72,41.39,12,3508
09:35 - 09:40,41.52,-0.13,41.525,41.55,41.42,18,2300
09:40 - 09:45,41.46,-0.06,41.47,41.522,41.41,9,1760
09:45 - 09:50,41.46,0,41.46,41.46,41.46,1,100
09:50 - 09:55,41.57,0.11,41.51,41.6,41.49,18,1900
09:55 - 10:00,41.5,-0.07,41.53,41.61,41.5,23,3000
10:00 - 10:05,41.55,0.05,41.51,41.61,41.5,68,19700
10:05 - 10:10,41.51,-0.04,41.55,41.6,41.51,37,5805
10:10 - 10:15,41.54,0.03,41.48,41.54,41.48,36,4800
10:15 - 10:20,41.57,0.03,41.59,41.62,41.52,106,13655
10:20 - 10:25,41.65,0.08,41.56,41.65,41.55,75,11800
10:25 - 10:30,41.655,0.005,41.69,41.79,41.64,104,13599
10:30 - 10:35,41.65,-0.005,41.64,41.76,41.6,39,4249
10:35 - 10:40,41.68,0.03,41.68,41.7,41.6,115,12800
10:40 - 10:45,41.68,0,41.67,41.73,41.66,75,8300
10:45 - 10:50,41.67,-0.01,41.69,41.695,41.64,47,5238
10:50 - 10:55,41.66,-0.01,41.7,41.7,41.63,20,3100
10:55 - 11:00,41.64,-0.02,41.65,41.7052,41.63,48,7300
11:00 - 11:05,41.67,0.03,41.64,41.73,41.61,56,7200
11:05 - 11:10,41.6,-0.07,41.65,41.66,41.595,53,6600
11:10 - 11:15,41.605,0.005,41.59,41.61,41.58,48,8900
11:15 - 11:20,41.6,-0.005,41.62,41.64,41.56,98,12137
11:20 - 11:25,41.65,0.05,41.6,41.65,41.6,29,3230
11:25 - 11:30,41.625,-0.025,41.62,41.65,41.617,8,900
11:30 - 11:35,41.61,-0.015,41.636,41.6399,41.61,3,400
11:35 - 11:40,41.67,0.06,41.6,41.68,41.6,10,1000
11:40 - 11:45,41.6799,0.0099,41.6799,41.6799,41.655,3,300
11:45 - 11:50,41.65,-0.0299,41.66,41.69,41.61,25,2500
11:50 - 11:55,41.482,-0.168,41.62,41.6515,41.464,25,2811
11:55 - 12:00,41.4301,-0.0519,41.46,41.46,41.43,8,1101
12:00 - 12:05,41.41,-0.0201,41.46,41.49,41.41,30,4000
12:05 - 12:10,41.42,0.01,41.4107,41.44,41.41,6,600
12:10 - 12:15,41.45,0.03,41.41,41.5,41.4,23,2600
12:15 - 12:20,41.35,-0.1,41.46,41.46,41.29,54,7048
12:20 - 12:25,41.335,-0.015,41.335,41.36,41.335,5,917
12:25 - 12:30,41.335,0,41.335,41.335,41.335,1,100
12:30 - 12:35,41.375,0.04,41.36,41.375,41.36,7,800
12:35 - 12:40,41.48,0.105,41.4,41.49,41.4,21,3300
12:45 - 12:50,41.52,0.04,41.48,41.6,41.46,18,2696
12:50 - 12:55,41.61,0.09,41.53,41.61,41.49,69,7300
12:55 - 13:00,41.65,0.04,41.6,41.67,41.58,81,8600
13:00 - 13:05,41.78,0.13,41.67,41.78,41.65,104,11300
13:05 - 13:10,41.71,-0.07,41.68,41.71,41.67,31,6427
13:10 - 13:15,41.73,0.02,41.69,41.75,41.66,27,2700
13:15 - 13:20,41.98,0.25,41.75,41.98,41.7,143,16700
