Time Interval,Close,Net Chg,Open,High,Low,Tick Count,Volume
Summary,23.7,-2.23,25.57,30,22.14,264398,37175901
04SEP2015_00:00:00.000000,,,,,,,
09:30 - 09:35,25.57,-0.36,25.57,25.57,25.57,1,2897
09:35 - 09:40,25.73,0.16,25.7,25.73,25.7,12,1246
09:40 - 09:45,25.72,-0.01,25.72,25.72,25.72,4,400
09:45 - 09:50,25.76,0.04,25.76,25.77,25.73,28,3112
09:50 - 09:55,25.775,0.015,25.75,25.79,25.71,65,8100
09:55 - 10:00,25.78,0.005,25.71,25.78,25.71,42,4614
10:00 - 10:05,25.76,-0.02,25.76,25.77,25.73,31,3581
10:05 - 10:10,25.76,0,25.75,25.76,25.73,25,2600
10:10 - 10:15,25.77,0.01,25.75,25.77,25.75,17,1700
10:15 - 10:20,25.77,0,25.78,25.81,25.77,31,3450
10:20 - 10:25,25.78,0.01,25.79,25.79,25.78,17,1900
10:25 - 10:30,25.83,0.05,25.79,25.83,25.78,38,3816
10:30 - 10:35,25.84,0.01,25.82,25.87,25.81,21,2200
10:35 - 10:40,25.84,0,25.83,25.85,25.815,25,2610
10:40 - 10:45,25.8,-0.04,25.84,25.87,25.8,17,1700
10:45 - 10:50,25.81,0.01,25.78,25.81,25.77,36,3700
10:50 - 10:55,25.78,-0.03,25.77,25.8,25.77,40,4100
10:55 - 11:00,25.75,-0.03,25.78,25.78,25.75,52,5200
11:00 - 11:05,25.72,-0.03,25.76,25.8,25.72,47,4700
11:05 - 11:10,25.74,0.02,25.74,25.74,25.74,1,100
11:10 - 11:15,25.71,-0.03,25.73,25.74,25.7,41,4316
11:15 - 11:20,25.71,0,25.71,25.72,25.69,29,3100
11:20 - 11:25,25.7,-0.01,25.7,25.71,25.68,30,3000
11:25 - 11:30,25.67,-0.03,25.71,25.71,25.67,12,1200
11:30 - 11:35,25.63,-0.04,25.67,25.68,25.61,30,3200
11:35 - 11:40,25.61,-0.02,25.61,25.64,25.59,22,2202
11:40 - 11:45,25.625,0.015,25.61,25.625,25.61,7,700
11:45 - 11:50,25.65,0.025,25.64,25.65,25.64,5,500
11:50 - 11:55,25.64,-0.01,25.65,25.65,25.64,7,700
11:55 - 12:00,25.62,-0.02,25.63,25.65,25.59,46,6100
12:00 - 12:05,25.6,-0.02,25.61,25.61,25.59,6,600
12:05 - 12:10,25.62,0.02,25.59,25.62,25.57,17,1716
12:10 - 12:15,25.595,-0.025,25.62,25.62,25.59,9,900
12:15 - 12:20,25.59,-0.005,25.6,25.61,25.59,9,916
12:20 - 12:25,25.54,-0.05,25.6,25.6,25.54,15,1500
12:25 - 12:30,25.52,-0.02,25.54,25.56,25.52,22,2200
12:30 - 12:35,25.55,0.03,25.53,25.55,25.53,20,2016
12:35 - 12:40,25.62,0.07,25.57,25.64,25.57,18,1800
12:40 - 12:45,25.59,-0.03,25.61,25.61,25.59,17,1716
12:45 - 12:50,25.61,0.02,25.58,25.62,25.58,9,1100
12:50 - 12:55,25.63,0.02,25.63,25.63,25.63,4,400
12:55 - 13:00,25.61,-0.02,25.61,25.63,25.61,28,3132
13:00 - 13:05,25.66,0.05,25.62,25.66,25.61,93,9832
13:05 - 13:10,25.6,-0.06,25.67,25.68,25.6,71,8400
13:10 - 13:15,25.62,0.02,25.62,25.62,25.61,16,1600
13:15 - 13:20,25.57,-0.05,25.59,25.6,25.56,55,10964
13:20 - 13:25,25.57,0,25.56,25.57,25.555,44,5100
13:25 - 13:30,25.56,-0.01,25.58,25.59,25.56,52,5431
13:30 - 13:35,25.56,0,25.55,25.57,25.55,50,5100
13:35 - 13:40,25.58,0.02,25.56,25.58,25.55,19,1900
13:40 - 13:45,25.55,-0.03,25.57,25.57,25.545,14,1400
13:45 - 13:50,25.56,0.01,25.56,25.56,25.555,8,800
13:50 - 13:55,25.545,-0.015,25.55,25.57,25.54,22,2300
13:55 - 14:00,25.54,-0.005,25.54,25.56,25.54,18,1800
14:00 - 14:05,25.52,-0.02,25.54,25.54,25.51,26,3432
14:05 - 14:10,25.54,0.02,25.54,25.545,25.5,93,12600
14:10 - 14:15,25.53,-0.01,25.54,25.54,25.53,21,2100
14:15 - 14:20,25.52,-0.01,25.54,25.54,25.52,10,1000
14:20 - 14:25,25.51,-0.01,25.52,25.54,25.5,13,1403
