Time Interval,Close,Net Chg,Open,High,Low,Tick Count,Volume
Summary,16.35,-7.56,24.01,24.07,13.87,341366,56219967
03NOV2014_00:00:00.000000,,,,,,,
09:30 - 09:35,23.8901,-0.0199,24.01,24.07,23.85,21,6976
09:35 - 09:40,23.89,-0.0001,23.97,24.02,23.89,40,7008
09:40 - 09:45,23.84,-0.05,23.88,23.88,23.83,5,500
09:45 - 09:50,23.87,0.03,23.86,23.9,23.86,18,3000
09:50 - 09:55,23.8,-0.07,23.89,23.89,23.8,90,12854
09:55 - 10:00,23.76,-0.04,23.83,23.88,23.68,98,14369
10:00 - 10:05,23.72,-0.04,23.76,23.875,23.68,74,12700
10:05 - 10:10,23.72,0,23.74,23.8,23.71,25,3983
10:10 - 10:15,23.65,-0.07,23.74,23.8,23.65,74,12486
10:15 - 10:20,23.65,0,23.66,23.69,23.64,21,2385
10:20 - 10:25,23.64,-0.01,23.66,23.75,23.64,35,5939
10:25 - 10:30,23.63,-0.01,23.65,23.69,23.63,14,1400
10:30 - 10:35,23.669,0.039,23.62,23.669,23.62,7,1030
10:35 - 10:40,23.67,0.001,23.696,23.696,23.63,19,2206
10:40 - 10:45,23.66,-0.01,23.67,23.73,23.66,27,7149
10:45 - 10:50,23.68,0.02,23.67,23.689,23.65,13,1905
10:50 - 10:55,23.68,0,23.65,23.68,23.58,17,1700
10:55 - 11:00,23.69,0.01,23.67,23.69,23.63,13,1400
11:00 - 11:05,23.72,0.03,23.68,23.72,23.65,42,5000
11:05 - 11:10,23.82,0.1,23.725,23.82,23.71,38,5854
11:10 - 11:15,23.76,-0.06,23.78,23.8,23.75,28,3100
11:15 - 11:20,23.68,-0.08,23.78,23.78,23.68,11,1100
11:20 - 11:25,23.71,0.03,23.6924,23.74,23.69,18,2700
11:25 - 11:30,23.68,-0.03,23.72,23.72,23.68,17,2005
11:30 - 11:35,23.72,0.04,23.7,23.74,23.69,19,1900
11:35 - 11:40,23.71,-0.01,23.72,23.72,23.7,21,2150
11:40 - 11:45,23.68,-0.03,23.73,23.7474,23.68,4,400
11:45 - 11:50,23.71,0.03,23.69,23.73,23.69,12,1600
11:50 - 11:55,23.77,0.06,23.71,23.77,23.7,7,805
11:55 - 12:00,23.68,-0.09,23.77,23.77,23.68,21,2400
12:00 - 12:05,23.67,-0.01,23.69,23.7,23.67,15,1620
12:05 - 12:10,23.64,-0.03,23.67,23.69,23.64,16,1600
12:10 - 12:15,23.62,-0.02,23.63,23.67,23.6,13,1300
12:15 - 12:20,23.59,-0.03,23.62,23.662,23.59,19,4670
12:20 - 12:25,23.6,0.01,23.58,23.629,23.56,30,3400
12:25 - 12:30,23.58,-0.02,23.6,23.6,23.58,3,300
12:30 - 12:35,23.56,-0.02,23.57,23.61,23.52,28,3150
12:35 - 12:40,23.59,0.03,23.53,23.59,23.53,12,1495
12:40 - 12:45,23.56,-0.03,23.59,23.59,23.56,6,600
12:45 - 12:50,23.55,-0.01,23.56,23.56,23.55,7,800
12:50 - 12:55,23.54,-0.01,23.54,23.55,23.53,9,900
12:55 - 13:00,23.54,0,23.53,23.57,23.52,20,3500
13:00 - 13:05,23.5195,-0.0205,23.54,23.54,23.51,5,600
13:05 - 13:10,23.52,0.0005,23.5,23.52,23.5,9,1100
13:10 - 13:15,23.52,0,23.52,23.52,23.52,2,200
13:15 - 13:20,23.51,-0.01,23.51,23.53,23.51,24,3900
13:20 - 13:25,23.54,0.03,23.53,23.54,23.525,7,1000
13:25 - 13:30,23.54,0,23.55,23.55,23.54,4,500
13:30 - 13:35,23.575,0.035,23.545,23.575,23.545,8,900
13:35 - 13:40,23.56,-0.015,23.55,23.6,23.53,65,10800
13:40 - 13:45,23.52,-0.04,23.53,23.5499,23.52,16,2500
13:45 - 13:50,23.53,0.01,23.53,23.56,23.53,14,1400
13:50 - 13:55,23.53,0,23.53,23.56,23.5,41,7935
13:55 - 14:00,23.58,0.05,23.53,23.64,23.53,35,5200
14:00 - 14:05,23.55,-0.03,23.58,23.58,23.53,13,1700
14:05 - 14:10,23.52,-0.03,23.52,23.52,23.5,16,2166
14:10 - 14:15,23.54,0.02,23.53,23.54,23.52,18,3200
14:15 - 14:20,23.54,0,23.56,23.57,23.53,17,2100
14:20 - 14:25,23.55,0.01,23.54,23.57,23.521,31,3720
14:25 - 14:30,23.55,0,23.58,23.61,23.51,19,2200
14:30 - 14:35,23.52,-0.03,23.55,23.56,23.5166,15,2677
14:35 - 14:40,23.52,0,23.5,23.54,23.5,23,2423
14:40 - 14:45,23.51,-0.01,23.51,23.53,23.5,26,3700
14:45 - 14:50,23.49,-0.02,23.51,23.53,23.48,35,5640
14:50 - 14:55,23.51,0.02,23.51,23.51,23.49,12,1200
14:55 - 15:00,23.5,-0.01,23.49,23.51,23.47,19,2000
15:00 - 15:05,23.5,0,23.49,23.51,23.4848,21,2100
15:05 - 15:10,23.51,0.01,23.51,23.52,23.48,18,2716
15:10 - 15:15,23.52,0.01,23.54,23.54,23.47,56,7370
15:15 - 15:20,23.5,-0.02,23.53,23.53,23.48,41,6073
15:20 - 15:25,23.52,0.02,23.49,23.53,23.4732,19,1900
15:25 - 15:30,23.46,-0.06,23.5,23.5,23.41,57,7650
15:30 - 15:35,23.47,0.01,23.46,23.5,23.38,43,9976
15:35 - 15:40,23.3948,-0.0752,23.47,23.47,23.3948,17,1800
15:40 - 15:45,23.35,-0.0448,23.39,23.42,23.35,60,6800
15:45 - 15:50,23.36,0.01,23.36,23.45,23.345,43,5124
15:50 - 15:55,23.36,0,23.36,23.36,23.26,127,15876
15:55 - 16:00,23.34,-0.02,23.38,23.4,23.32,166,23191
04NOV2014_00:00:00.000000,,,,,,,
09:30 - 09:35,21.79,-1.55,22.56,22.62,21.4601,405,111117
09:35 - 09:40,22.37,0.58,21.79,22.39,21.79,310,62151
09:40 - 09:45,22.54,0.17,22.39,22.61,22.38,67,10173
09:45 - 09:50,22.71,0.17,22.58,22.71,22.46,183,27065
09:50 - 09:55,22.72,0.01,22.72,22.76,22.61,100,13410
09:55 - 10:00,22.73,0.01,22.72,22.73,22.6,56,8242
10:00 - 10:05,22.81,0.08,22.73,22.855,22.73,37,3800
10:05 - 10:10,22.63,-0.18,22.81,22.81,22.55,107,14550
10:10 - 10:15,22.61,-0.02,22.62,22.62,22.59,23,2300
10:15 - 10:20,22.36,-0.25,22.59,22.59,22.33,89,10752
10:20 - 10:25,22.355,-0.005,22.36,22.4,22.3,125,15138
10:25 - 10:30,22.35,-0.005,22.355,22.39,22.31,96,11676
10:30 - 10:35,22.2,-0.15,22.33,22.33,22.18,33,3700
10:35 - 10:40,22.25,0.05,22.2,22.3,22.2,59,6800
10:40 - 10:45,22.175,-0.075,22.25,22.25,22.16,47,5900
10:45 - 10:50,22.1,-0.075,22.17,22.175,22.1,56,6160
10:50 - 10:55,22.1,0,22.1,22.11,22.1,53,5400
10:55 - 11:00,22.09,-0.01,22.1,22.11,22.09,56,7762
11:00 - 11:05,22.1,0.01,22.09,22.13,22.09,86,10458
11:05 - 11:10,22.05,-0.05,22.1,22.1,22.04,52,6151
11:10 - 11:15,22.055,0.005,22.05,22.06,22.05,50,7200
11:15 - 11:20,22.1,0.045,22.055,22.128,22.05,96,13237
11:20 - 11:25,22.09,-0.01,22.1,22.11,22.09,29,3000
11:25 - 11:30,22.17,0.08,22.09,22.17,22.085,112,13129
11:30 - 11:35,22.22,0.05,22.19,22.25,22.19,45,5100
11:35 - 11:40,22.135,-0.085,22.22,22.24,22.135,41,4300
11:40 - 11:45,22.14,0.005,22.15,22.23,22.12,80,9202
11:45 - 11:50,22.1,-0.04,22.14,22.14,22.1,29,3500
11:50 - 11:55,22.25,0.15,22.105,22.25,22.1,55,7900
11:55 - 12:00,22.34,0.09,22.255,22.34,22.24,40,4773
12:00 - 12:05,22.395,0.055,22.37,22.41,22.3,36,4500
12:05 - 12:10,22.45,0.055,22.395,22.47,22.395,26,2700
12:10 - 12:15,22.42,-0.03,22.46,22.5,22.42,39,5899
12:15 - 12:20,22.38,-0.04,22.43,22.43,22.38,12,1868
12:20 - 12:25,22.405,0.025,22.39,22.41,22.385,15,2300
12:25 - 12:30,22.4,-0.005,22.41,22.42,22.35,71,9497
12:30 - 12:35,22.43,0.03,22.415,22.43,22.415,8,800
12:35 - 12:40,22.44,0.01,22.44,22.44,22.44,2,200
12:40 - 12:45,22.41,-0.03,22.43,22.43,22.38,43,6532
12:45 - 12:50,22.4,-0.01,22.41,22.43,22.39,20,3700
12:50 - 12:55,22.41,0.01,22.39,22.41,22.37,44,5500
12:55 - 13:00,22.32,-0.09,22.401,22.4099,22.31,63,10509
13:00 - 13:05,22.2,-0.12,22.315,22.315,22.2,17,2096
13:05 - 13:10,22.18,-0.02,22.21,22.24,22.18,57,6559
13:10 - 13:15,22.21,0.03,22.19,22.2132,22.18,34,3908
13:15 - 13:20,22.16,-0.05,22.21,22.215,22.16,32,4510
13:20 - 13:25,22.15,-0.01,22.16,22.16,22.15,12,1400
13:25 - 13:30,22.2,0.05,22.15,22.22,22.15,56,9574
13:30 - 13:35,22.2,0,22.2,22.21,22.2,19,2598
13:35 - 13:40,22.2,0,22.2,22.24,22.2,65,6900
13:40 - 13:45,22.26,0.06,22.2,22.26,22.19,26,2765
