Time Interval,Close,Net Chg,Open,High,Low,Tick Count,Volume
Summary,44.89,2.16,42.84,44.97,38.47,160603,23015797
02MAY2017_00:00:00.000000,,,,,,,
09:30 - 09:35,42.87,0.14,42.84,42.92,42.84,5,1326
09:35 - 09:40,42.9199,0.0499,42.9199,42.9199,42.9199,1,100
09:40 - 09:45,42.77,-0.1499,42.77,42.77,42.77,1,100
09:45 - 09:50,42.73,-0.04,42.77,42.77,42.72,4,574
09:50 - 09:55,42.77,0.04,42.66,42.82,42.66,14,1400
09:55 - 10:00,42.81,0.04,42.82,42.84,42.81,4,436
10:00 - 10:05,42.79,-0.02,42.82,42.82,42.78,3,300
10:05 - 10:10,42.82,0.03,42.87,42.89,42.82,16,1700
10:10 - 10:15,42.79,-0.03,42.76,42.79,42.76,2,200
10:15 - 10:20,42.75,-0.04,42.75,42.75,42.75,1,100
10:20 - 10:25,42.88,0.13,42.86,42.88,42.86,4,400
10:25 - 10:30,42.93,0.05,42.89,42.93,42.87,9,1045
10:30 - 10:35,42.96,0.03,42.96,42.96,42.96,1,100
10:40 - 10:45,42.835,-0.125,42.94,42.97,42.835,22,2613
10:45 - 10:50,42.83,-0.005,42.85,42.86,42.83,8,820
10:50 - 10:55,42.82,-0.01,42.87,42.87,42.81,11,1100
10:55 - 11:00,42.85,0.03,42.83,42.85,42.82,11,1200
11:00 - 11:05,42.8,-0.05,42.85,42.86,42.78,37,3932
11:05 - 11:10,42.8,0,42.8,42.8,42.8,1,100
11:10 - 11:15,42.79,-0.01,42.79,42.79,42.77,9,900
11:15 - 11:20,42.81,0.02,42.8,42.83,42.79,16,1685
11:20 - 11:25,42.85,0.04,42.83,42.86,42.83,26,2983
11:25 - 11:30,42.88,0.03,42.86,42.88,42.86,2,200
11:30 - 11:35,42.87,-0.01,42.87,42.87,42.87,1,100
11:35 - 11:40,42.89,0.02,42.87,42.89,42.86,4,400
11:40 - 11:45,42.91,0.02,42.91,42.91,42.91,1,100
11:45 - 11:50,42.94,0.03,42.94,42.94,42.94,1,100
11:50 - 11:55,42.8902,-0.0498,42.92,42.92,42.88,8,1208
11:55 - 12:00,42.95,0.0598,42.95,42.95,42.95,1,100
12:00 - 12:05,42.89,-0.06,42.94,42.94,42.88,5,500
12:05 - 12:10,42.92,0.03,42.92,42.92,42.92,7,800
12:10 - 12:15,42.9,-0.02,42.91,42.91,42.9,3,300
12:15 - 12:20,42.88,-0.02,42.91,42.91,42.88,5,560
12:20 - 12:25,42.83,-0.05,42.83,42.83,42.83,1,100
12:25 - 12:30,42.87,0.04,42.8,42.88,42.8,16,2200
12:30 - 12:35,42.88,0.01,42.88,42.88,42.88,1,100
12:35 - 12:40,42.89,0.01,42.87,42.91,42.865,16,1700
12:40 - 12:45,42.91,0.02,42.88,42.935,42.88,12,2070
12:50 - 12:55,42.901,-0.009,42.91,42.91,42.9,4,402
12:55 - 13:00,42.91,0.009,42.91,42.91,42.91,1,116
13:05 - 13:10,42.88,-0.03,42.89,42.89,42.88,3,300
13:10 - 13:15,42.94,0.06,42.9,42.95,42.9,17,3590
13:15 - 13:20,42.9532,0.0132,42.9532,42.9532,42.9532,1,185
13:20 - 13:25,42.89,-0.0632,42.94,42.94,42.89,8,804
13:25 - 13:30,42.92,0.03,42.91,42.92,42.9,5,600
13:30 - 13:35,42.94,0.02,42.92,42.94,42.91,6,622
13:40 - 13:45,42.92,-0.02,42.92,42.92,42.92,2,200
13:45 - 13:50,42.93,0.01,42.9,42.93,42.9,6,600
13:50 - 13:55,42.89,-0.04,42.91,42.91,42.89,8,900
13:55 - 14:00,42.8701,-0.0199,42.92,42.93,42.87,8,920
14:00 - 14:05,42.87,-0.0001,42.89,42.89,42.87,11,1100
