Time Interval,Close,Net Chg,Open,High,Low,Tick Count,Volume
Summary,17.4223,-1.2337,18.7148,18.9814,13.9514,131348,43589895
05MAR2013_00:00:00.000000,,,,,,,
09:30 - 09:35,18.6741,0.0181,18.7148,18.7148,18.4843,10,3542
09:35 - 09:40,18.708,0.0339,18.5702,18.708,18.5702,10,2212
09:40 - 09:45,18.6289,-0.0791,18.6877,18.6967,18.602,17,3761
09:45 - 09:50,18.7799,0.151,18.7397,18.7871,18.638,18,3982
09:50 - 09:55,18.7374,-0.0425,18.7736,18.7781,18.7238,9,1991
09:55 - 10:00,18.7238,-0.0136,18.7058,18.7374,18.6222,51,16816
10:00 - 10:05,18.7961,0.0723,18.7284,18.8187,18.7148,47,11727
10:05 - 10:10,18.7781,-0.018,18.769,18.8097,18.7464,19,4204
10:10 - 10:15,18.751,-0.0271,18.7736,18.7781,18.7284,12,2728
10:15 - 10:20,18.7419,-0.0091,18.7329,18.7464,18.7329,4,885
10:20 - 10:25,18.6877,-0.0542,18.7238,18.7238,18.6786,15,4204
10:25 - 10:30,18.6425,-0.0452,18.6922,18.6922,18.6425,12,3319
10:30 - 10:35,18.647,0.0045,18.6334,18.647,18.6199,16,3540
10:35 - 10:40,18.6741,0.0271,18.647,18.6786,18.647,10,2212
10:40 - 10:45,18.7103,0.0362,18.6696,18.7103,18.6696,6,1327
10:45 - 10:50,18.6696,-0.0407,18.6696,18.6696,18.6696,1,221
10:50 - 10:55,18.6741,0.0045,18.6786,18.6877,18.6651,6,1327
10:55 - 11:00,18.6063,-0.0678,18.647,18.647,18.6063,14,3223
11:00 - 11:05,18.5702,-0.0361,18.6018,18.6063,18.5702,27,7042
11:05 - 11:10,18.5792,0.009,18.5883,18.5928,18.5657,8,1770
11:10 - 11:15,18.656,0.0768,18.5792,18.6832,18.5792,8,1770
11:15 - 11:20,18.6425,-0.0135,18.6425,18.6425,18.6425,1,221
11:20 - 11:25,18.5611,-0.0814,18.6244,18.6244,18.5611,7,1770
11:25 - 11:30,18.5611,0,18.5837,18.5837,18.5611,3,1327
11:30 - 11:35,18.5883,0.0272,18.5792,18.5883,18.5747,7,1548
11:35 - 11:40,18.5521,-0.0362,18.5837,18.5837,18.5521,4,1546
11:40 - 11:45,18.5566,0.0045,18.5476,18.5611,18.5476,6,1327
11:45 - 11:50,18.5249,-0.0317,18.5476,18.5476,18.5159,22,7080
