Time Interval,Close,Net Chg,Open,High,Low,Tick Count,Volume
Summary,36.03,6.03,29.98,36.8,28.25,56346,8032419
03NOV2014_00:00:00.000000,,,,,,,
09:30 - 09:35,29.98,-0.02,29.98,29.98,29.98,1,296
09:35 - 09:40,30.04,0.06,30.04,30.04,30.04,1,100
09:40 - 09:45,29.82,-0.22,29.82,29.82,29.82,1,100
09:50 - 09:55,30.025,0.205,29.95,30.03,29.95,9,900
09:55 - 10:00,30.1,0.075,30.16,30.16,30.1,3,300
10:00 - 10:05,30.16,0.06,30.16,30.16,30.16,1,100
10:05 - 10:10,30.1,-0.06,30.02,30.1,30.02,3,300
10:15 - 10:20,30.04,-0.06,30.02,30.04,30.02,2,200
10:20 - 10:25,30.04,0,30.04,30.04,30.04,2,200
10:40 - 10:45,30.035,-0.005,30.035,30.035,30.035,1,100
10:45 - 10:50,29.93,-0.105,29.938,30,29.93,3,435
10:50 - 10:55,30.06,0.13,29.86,30.07,29.86,5,500
10:55 - 11:00,30.11,0.05,30.07,30.11,30.03,9,900
11:00 - 11:05,30.15,0.04,30.13,30.15,30.13,8,800
11:05 - 11:10,30.15,0,30.16,30.16,30.15,2,200
11:10 - 11:15,30.175,0.025,30.16,30.175,30.16,2,200
11:15 - 11:20,30.11,-0.065,30.11,30.11,30.11,1,100
11:20 - 11:25,30.2,0.09,30.16,30.2,30.16,2,200
11:30 - 11:35,30.18,-0.02,30.1,30.18,30.1,2,200
11:35 - 11:40,30.19,0.01,30.19,30.19,30.19,1,100
11:45 - 11:50,30.28,0.09,30.23,30.28,30.23,4,400
11:50 - 11:55,30.29,0.01,30.29,30.29,30.24,7,1000
11:55 - 12:00,30.33,0.04,30.3,30.36,30.3,11,1100
12:00 - 12:05,30.335,0.005,30.335,30.335,30.335,1,100
12:10 - 12:15,30.36,0.025,30.33,30.36,30.33,3,300
12:20 - 12:25,30.297,-0.063,30.272,30.297,30.272,2,500
12:25 - 12:30,30.3,0.003,30.27,30.3,30.27,5,500
12:45 - 12:50,30.33,0.03,30.33,30.33,30.33,1,100
12:50 - 12:55,30.37,0.04,30.39,30.39,30.37,3,300
13:05 - 13:10,30.38,0.01,30.38,30.38,30.38,1,100
13:10 - 13:15,30.34,-0.04,30.34,30.34,30.34,1,100
13:15 - 13:20,30.43,0.09,30.41,30.5,30.41,16,2066
13:20 - 13:25,30.48,0.05,30.47,30.48,30.47,2,200
13:25 - 13:30,30.42,-0.06,30.43,30.43,30.42,5,502
13:35 - 13:40,30.4,-0.02,30.4,30.4,30.4,1,100
13:40 - 13:45,30.42,0.02,30.42,30.42,30.42,1,100
13:50 - 13:55,30.42,0,30.42,30.42,30.42,1,200
13:55 - 14:00,30.46,0.04,30.43,30.46,30.43,6,700
14:00 - 14:05,30.4,-0.06,30.43,30.44,30.4,13,1400
14:05 - 14:10,30.41,0.01,30.41,30.41,30.41,1,204
14:10 - 14:15,30.44,0.03,30.39,30.44,30.39,4,400
14:20 - 14:25,30.4,-0.04,30.38,30.4,30.355,7,706
14:25 - 14:30,30.39,-0.01,30.39,30.39,30.39,1,300
14:30 - 14:35,30.36,-0.03,30.365,30.38,30.35,25,2579
14:35 - 14:40,30.41,0.05,30.355,30.42,30.355,17,2271
14:40 - 14:45,30.35,-0.06,30.38,30.38,30.35,14,1574
14:45 - 14:50,30.36,0.01,30.365,30.365,30.36,4,400
14:50 - 14:55,30.36,0,30.364,30.37,30.36,4,1474
