Time Interval,Close,Net Chg,Open,High,Low,Tick Count,Volume
Summary,32.64,7.26,25.34,33.14,25.25,240786,34005981
02DEC2016_00:00:00.000000,,,,,,,
09:30 - 09:35,25.32,-0.06,25.34,25.57,25.32,18,3336
09:35 - 09:40,25.39,0.07,25.35,25.39,25.345,14,1500
09:40 - 09:45,25.44,0.05,25.4,25.48,25.37,24,2400
09:45 - 09:50,25.33,-0.11,25.44,25.46,25.3,42,6306
09:50 - 09:55,25.63,0.3,25.45,25.65,25.43,14,1733
09:55 - 10:00,25.56,-0.07,25.64,25.67,25.53,23,3110
10:00 - 10:05,25.43,-0.13,25.58,25.58,25.43,29,3208
10:05 - 10:10,25.38,-0.05,25.42,25.42,25.38,23,2565
10:10 - 10:15,25.34,-0.04,25.36,25.36,25.29,17,2200
10:15 - 10:20,25.28,-0.06,25.32,25.32,25.25,22,2600
10:20 - 10:25,25.25,-0.03,25.29,25.3,25.25,8,900
10:25 - 10:30,25.29,0.04,25.25,25.29,25.25,5,500
10:30 - 10:35,25.36,0.07,25.29,25.36,25.29,9,900
10:35 - 10:40,25.47,0.11,25.37,25.47,25.37,16,1800
10:40 - 10:45,25.45,-0.02,25.46,25.46,25.38,33,3632
10:45 - 10:50,25.46,0.01,25.5,25.5,25.44,18,1800
10:50 - 10:55,25.53,0.07,25.5,25.53,25.5,5,500
10:55 - 11:00,25.46,-0.07,25.49,25.505,25.44,20,2188
11:00 - 11:05,25.51,0.05,25.46,25.52,25.45,33,4019
11:05 - 11:10,25.48,-0.03,25.52,25.52,25.48,32,3600
11:10 - 11:15,25.48,0,25.5,25.5,25.47,16,2031
11:15 - 11:20,25.49,0.01,25.51,25.51,25.49,4,400
11:20 - 11:25,25.49,0,25.48,25.5,25.48,61,7200
11:25 - 11:30,25.51,0.02,25.49,25.51,25.48,70,8100
11:30 - 11:35,25.44,-0.07,25.49,25.5,25.44,60,7600
11:35 - 11:40,25.4375,-0.0025,25.44,25.45,25.43,54,6742
11:40 - 11:45,25.44,0.0025,25.44,25.47,25.43,57,6484
11:45 - 11:50,25.41,-0.03,25.44,25.44,25.39,39,4694
11:50 - 11:55,25.41,0,25.4,25.42,25.4,54,7901
11:55 - 12:00,25.4,-0.01,25.41,25.41,25.39,89,10004
12:00 - 12:05,25.38,-0.02,25.4,25.41,25.34,89,12975
12:05 - 12:10,25.38,0,25.37,25.4,25.36,29,3869
12:10 - 12:15,25.37,-0.01,25.38,25.38,25.35,59,6100
12:15 - 12:20,25.37,0,25.375,25.38,25.36,32,3527
12:20 - 12:25,25.37,0,25.37,25.38,25.37,10,1130
12:25 - 12:30,25.38,0.01,25.37,25.38,25.35,42,5200
12:30 - 12:35,25.39,0.01,25.38,25.39,25.37,35,4800
12:35 - 12:40,25.33,-0.06,25.395,25.395,25.33,13,1400
12:40 - 12:45,25.35,0.02,25.34,25.35,25.34,6,818
12:45 - 12:50,25.35,0,25.35,25.36,25.34,19,2318
12:50 - 12:55,25.35,0,25.35,25.35,25.35,6,600
12:55 - 13:00,25.38,0.03,25.35,25.4,25.35,36,3846
13:00 - 13:05,25.38,0,25.39,25.39,25.37,38,4200
13:05 - 13:10,25.41,0.03,25.38,25.41,25.35,79,9414
13:10 - 13:15,25.37,-0.04,25.37,25.38,25.34,28,3300
13:15 - 13:20,25.35,-0.02,25.37,25.38,25.35,12,1200
13:20 - 13:25,25.37,0.02,25.37,25.37,25.36,13,1399
13:25 - 13:30,25.37,0,25.37,25.38,25.36,35,5000
13:30 - 13:35,25.37,0,25.37,25.38,25.37,12,1334
13:35 - 13:40,25.36,-0.01,25.36,25.36,25.34,43,6885
13:40 - 13:45,25.36,0,25.37,25.385,25.36,11,1518
13:45 - 13:50,25.35,-0.01,25.36,25.39,25.35,23,3317
13:50 - 13:55,25.36,0.01,25.34,25.36,25.34,9,1000
13:55 - 14:00,25.3499,-0.0101,25.34,25.36,25.34,24,2700
14:00 - 14:05,25.35,0.0001,25.34,25.35,25.33,44,4699
14:05 - 14:10,25.34,-0.01,25.35,25.35,25.33,109,18636
14:10 - 14:15,25.34,0,25.34,25.36,25.32,69,12214
14:15 - 14:20,25.34,0,25.34,25.37,25.33,33,4256
14:20 - 14:25,25.3599,0.0199,25.34,25.3599,25.33,46,5935
14:25 - 14:30,25.365,0.0051,25.35,25.37,25.33,54,6338
14:30 - 14:35,25.36,-0.005,25.36,25.375,25.35,46,6862
14:35 - 14:40,25.37,0.01,25.36,25.38,25.36,18,2300
14:40 - 14:45,25.42,0.05,25.38,25.42,25.38,25,2518
14:45 - 14:50,25.41,-0.01,25.41,25.43,25.39,24,2888
14:50 - 14:55,25.385,-0.025,25.41,25.41,25.385,6,900
