Time Interval,Close,Net Chg,Open,High,Low,Tick Count,Volume
Summary,29.8,2.6175,27.15,32.82,24.1,490590,81650678
03JAN2014_00:00:00.000000,,,,,,,
09:30 - 09:35,27.04,-0.1425,27.15,27.15,27.005,13,14258
09:35 - 09:40,27.145,0.105,27.095,27.165,27.095,13,2800
09:40 - 09:45,27.1625,0.0175,27.11,27.1625,27.11,5,3202
09:45 - 09:50,27.185,0.0225,27.13,27.235,27.12,9,3894
09:50 - 09:55,27.15,-0.035,27.185,27.185,27.15,9,3302
09:55 - 10:00,27.09,-0.06,27.1425,27.1425,27.09,12,3388
10:00 - 10:05,27.105,0.015,27.075,27.11,27.075,5,1000
10:05 - 10:10,27.13,0.025,27.125,27.135,27.1025,23,4610
10:10 - 10:15,27.155,0.025,27.15,27.155,27.15,3,600
10:15 - 10:20,27.125,-0.03,27.15,27.15,27.125,13,5000
10:20 - 10:25,27.115,-0.01,27.11,27.12,27.095,12,2400
10:25 - 10:30,27.065,-0.05,27.11,27.11,27.065,12,4200
10:30 - 10:35,27.065,0,27.085,27.085,27.06,21,4500
10:35 - 10:40,27.015,-0.05,27.0725,27.0725,27.01,11,2600
10:40 - 10:45,27.025,0.01,27.03,27.03,27.025,2,400
10:45 - 10:50,27.04,0.015,27.04,27.04,27.01,5,1200
10:50 - 10:55,27.0875,0.0475,27.045,27.0875,27.035,19,23800
10:55 - 11:00,27.09,0.0025,27.0875,27.105,27.075,9,2220
11:00 - 11:05,27.11,0.02,27.075,27.135,27.075,15,3078
11:05 - 11:10,27.145,0.035,27.135,27.19,27.125,61,16600
11:10 - 11:15,27.12,-0.025,27.13,27.15,27.115,30,13000
11:15 - 11:20,27.085,-0.035,27.11,27.1224,27.005,62,18928
11:20 - 11:25,27.125,0.04,27.09,27.125,27.076,8,1600
11:25 - 11:30,27.125,0,27.125,27.15,27.115,25,10300
11:30 - 11:35,27.115,-0.01,27.13,27.13,27.115,2,600
11:35 - 11:40,27.105,-0.01,27.1275,27.14,27.105,12,3444
11:40 - 11:45,27.1075,0.0025,27.135,27.135,27.105,10,2000
11:45 - 11:50,27.1275,0.02,27.12,27.135,27.1022,13,42400
11:50 - 11:55,27.13,0.0025,27.13,27.13,27.13,2,400
11:55 - 12:00,27.135,0.005,27.13,27.14,27.125,8,1700
12:00 - 12:05,27.145,0.01,27.145,27.17,27.145,17,3400
12:05 - 12:10,27.14,-0.005,27.1451,27.15,27.14,8,2202
12:10 - 12:15,27.15,0.01,27.17,27.17,27.15,12,2400
12:15 - 12:20,27.165,0.015,27.165,27.185,27.15,28,7196
12:20 - 12:25,27.135,-0.03,27.155,27.155,27.135,9,2026
12:25 - 12:30,27.125,-0.01,27.13,27.13,27.125,2,400
12:30 - 12:35,27.14,0.015,27.15,27.15,27.14,18,4400
12:35 - 12:40,27.13,-0.01,27.125,27.135,27.12,13,2600
12:40 - 12:45,27.11,-0.02,27.11,27.11,27.11,1,200
12:45 - 12:50,27.095,-0.015,27.125,27.125,27.095,14,3200
12:50 - 12:55,27.1,0.005,27.085,27.1,27.08,4,800
12:55 - 13:00,27.07,-0.03,27.1,27.1,27.065,9,2156
13:00 - 13:05,27.05,-0.02,27.07,27.075,27.05,9,1800
13:05 - 13:10,27.035,-0.015,27.055,27.055,27.035,5,1200
13:10 - 13:15,27.04,0.005,27.04,27.04,27.04,1,200
13:15 - 13:20,27.07,0.03,27.04,27.07,27.04,3,600
13:20 - 13:25,27.05,-0.02,27.05,27.05,27.05,1,200
13:25 - 13:30,27.0775,0.0275,27.055,27.08,27.055,18,6400
13:30 - 13:35,27.09,0.0125,27.07,27.09,27.07,10,2200
13:35 - 13:40,27.09,0,27.08,27.09,27.08,13,3042
13:40 - 13:45,27.0739,-0.0161,27.09,27.09,27.065,12,2600
13:45 - 13:50,27.085,0.0111,27.08,27.085,27.08,7,1400
13:50 - 13:55,27.095,0.01,27.09,27.095,27.085,8,1600
13:55 - 14:00,27.105,0.01,27.105,27.105,27.105,1,200
14:05 - 14:10,27.125,0.02,27.145,27.145,27.125,5,1136
14:10 - 14:15,27.17,0.045,27.1325,27.17,27.125,36,60870
14:15 - 14:20,27.205,0.035,27.175,27.21,27.175,8,1600
14:20 - 14:25,27.2275,0.0225,27.205,27.2275,27.2,6,1400
14:30 - 14:35,27.191,-0.0365,27.24,27.24,27.191,25,6230
14:35 - 14:40,27.175,-0.016,27.17,27.18,27.17,26,6126
14:40 - 14:45,27.175,0,27.185,27.185,27.175,21,4200
14:45 - 14:50,27.19,0.015,27.17,27.19,27.17,47,15872
14:50 - 14:55,27.175,-0.015,27.1775,27.185,27.16,31,6800
14:55 - 15:00,27.16,-0.015,27.165,27.17,27.15,19,4022
15:00 - 15:05,27.169,0.009,27.166,27.17,27.162,18,5360
15:05 - 15:10,27.15,-0.019,27.1675,27.175,27.15,42,12606
15:10 - 15:15,27.1817,0.0317,27.165,27.1925,27.16,28,6800
15:15 - 15:20,27.1763,-0.0054,27.18,27.1987,27.16,48,11828
15:20 - 15:25,27.15,-0.0263,27.17,27.19,27.15,34,6800
15:25 - 15:30,27.145,-0.005,27.1525,27.155,27.14,41,29936
15:30 - 15:35,27.165,0.02,27.175,27.18,27.165,31,7000
15:35 - 15:40,27.125,-0.04,27.145,27.155,27.05,55,14004
15:40 - 15:45,27.15,0.025,27.125,27.15,27.12,22,5000
15:45 - 15:50,27.155,0.005,27.15,27.165,27.14,27,5708
15:50 - 15:55,27.125,-0.03,27.155,27.155,27.1,65,14434
15:55 - 16:00,27.145,0.02,27.115,27.145,27.1,80,20198
06JAN2014_00:00:00.000000,,,,,,,
09:30 - 09:35,27.37,0.225,27.25,27.41,27.25,28,13230
09:35 - 09:40,27.22,-0.15,27.3251,27.355,27.2,13,3510
09:40 - 09:45,27.227,0.007,27.215,27.25,27.145,24,6186
09:45 - 09:50,27.215,-0.012,27.21,27.2316,27.21,5,3062
09:50 - 09:55,27.245,0.03,27.19,27.25,27.15,25,5200
09:55 - 10:00,27.335,0.09,27.2488,27.335,27.245,12,2654
10:00 - 10:05,27.2251,-0.1099,27.315,27.315,27.175,46,11720
10:05 - 10:10,27.2445,0.0194,27.235,27.245,27.205,13,2620
10:10 - 10:15,27.25,0.0055,27.22,27.25,27.21,17,4000
10:15 - 10:20,27.3,0.05,27.2645,27.315,27.2645,28,6200
10:20 - 10:25,27.22,-0.08,27.32,27.32,27.215,40,8750
10:25 - 10:30,27.175,-0.045,27.2075,27.245,27.175,15,3740
10:30 - 10:35,27.235,0.06,27.185,27.24,27.185,17,4100
10:35 - 10:40,27.27,0.035,27.2148,27.295,27.18,89,27978
10:40 - 10:45,27.255,-0.015,27.27,27.285,27.195,48,23012
10:45 - 10:50,27.26,0.005,27.27,27.27,27.2461,6,1828
10:50 - 10:55,27.255,-0.005,27.26,27.26,27.225,3,600
10:55 - 11:00,27.18,-0.075,27.2475,27.255,27.175,60,16688
11:00 - 11:05,27.155,-0.025,27.175,27.2042,27.145,50,22476
11:05 - 11:10,27.1225,-0.0325,27.155,27.175,27.095,82,26734
11:10 - 11:15,27.12,-0.0025,27.1175,27.16,27.1175,23,4930
11:15 - 11:20,27.115,-0.005,27.115,27.12,27.08,12,2726
11:20 - 11:25,27.135,0.02,27.14,27.14,27.135,2,400
11:25 - 11:30,27.13,-0.005,27.105,27.1343,27.08,23,7592
11:30 - 11:35,27.12,-0.01,27.12,27.13,27.09,21,4200
11:35 - 11:40,27.12,0,27.125,27.135,27.11,23,4922
11:40 - 11:45,27.16,0.04,27.14,27.16,27.14,6,1200
11:45 - 11:50,27.145,-0.015,27.145,27.145,27.135,5,1000
11:50 - 11:55,27.115,-0.03,27.1325,27.1325,27.075,30,6400
11:55 - 12:00,27.15,0.035,27.13,27.155,27.13,18,3882
12:00 - 12:05,27.175,0.025,27.15,27.175,27.15,9,1800
12:05 - 12:10,27.145,-0.03,27.2,27.2,27.145,37,7400
12:10 - 12:15,27.13,-0.015,27.145,27.15,27.125,11,3540
12:15 - 12:20,27.154,0.024,27.16,27.16,27.1405,7,2000
12:20 - 12:25,27.1,-0.054,27.14,27.155,27.1,30,6000
12:25 - 12:30,27.075,-0.025,27.1,27.1,27.075,5,1000
12:30 - 12:35,26.97,-0.105,27.055,27.075,26.965,42,11800
12:35 - 12:40,26.865,-0.105,26.96,26.97,26.865,29,6000
12:40 - 12:45,26.9,0.035,26.87,26.945,26.86,26,5600
12:45 - 12:50,26.92,0.02,26.931,26.931,26.91,4,4380
12:50 - 12:55,26.9585,0.0385,26.9184,26.9585,26.9125,18,3800
12:55 - 13:00,26.9078,-0.0507,26.92,26.93,26.9,6,1400
13:00 - 13:05,26.79,-0.1178,26.8649,26.8649,26.785,6,1400
13:05 - 13:10,26.8496,0.0596,26.805,26.85,26.805,9,2200
13:10 - 13:15,26.805,-0.0446,26.815,26.815,26.805,6,1200
13:15 - 13:20,26.86,0.055,26.83,26.86,26.8005,9,1800
13:20 - 13:25,26.81,-0.05,26.815,26.8436,26.81,6,2032
13:25 - 13:30,26.75,-0.06,26.795,26.8,26.75,12,3372
13:30 - 13:35,26.76,0.01,26.77,26.775,26.755,17,3400
13:35 - 13:40,26.77,0.01,26.78,26.78,26.755,4,800
13:40 - 13:45,26.675,-0.095,26.75,26.77,26.675,18,6750
13:45 - 13:50,26.7,0.025,26.71,26.71,26.67,10,3424
13:50 - 13:55,26.755,0.055,26.7,26.785,26.7,22,8188
13:55 - 14:00,26.774,0.019,26.765,26.774,26.7514,11,2600
14:00 - 14:05,26.76,-0.014,26.76,26.76,26.76,2,640
14:05 - 14:10,26.735,-0.025,26.775,26.775,26.73,13,3238
14:10 - 14:15,26.72,-0.015,26.735,26.74,26.72,6,1200
14:15 - 14:20,26.685,-0.035,26.728,26.755,26.685,17,3622
14:20 - 14:25,26.665,-0.02,26.67,26.67,26.665,3,600
14:25 - 14:30,26.775,0.11,26.7,26.775,26.69,22,6800
14:30 - 14:35,26.797,0.022,26.77,26.797,26.765,11,3248
14:35 - 14:40,26.86,0.063,26.8,26.86,26.8,14,2800
14:40 - 14:45,26.88,0.02,26.8605,26.88,26.8605,5,1100
14:45 - 14:50,26.839,-0.041,26.845,26.8699,26.839,14,3400
14:50 - 14:55,26.803,-0.036,26.845,26.845,26.803,11,2600
14:55 - 15:00,26.785,-0.018,26.785,26.815,26.785,6,1294
15:00 - 15:05,26.6912,-0.0938,26.7943,26.805,26.6912,17,3748
15:05 - 15:10,26.7,0.0088,26.685,26.705,26.6751,17,3800
15:10 - 15:15,26.735,0.035,26.715,26.735,26.715,13,2600
15:15 - 15:20,26.758,0.023,26.745,26.79,26.745,11,2200
15:20 - 15:25,26.75,-0.008,26.7552,26.78,26.745,15,3000
15:25 - 15:30,26.77,0.02,26.742,26.775,26.742,38,8700
15:30 - 15:35,26.75,-0.02,26.775,26.79,26.75,23,5200
15:35 - 15:40,26.735,-0.015,26.755,26.755,26.725,10,2252
15:40 - 15:45,26.73,-0.005,26.73,26.765,26.715,58,12700
15:45 - 15:50,26.705,-0.025,26.725,26.765,26.7,93,21022
15:50 - 15:55,26.7,-0.005,26.71,26.725,26.66,103,25124
