Time Interval,Close,Net Chg,Open,High,Low,Tick Count,Volume
Summary,151.89,15.81,136.89,170.3,126.5,108613,16503503
02OCT2017_00:00:00.000000,,,,,,,
09:30 - 09:35,135.97,-0.11,136.89,136.976,135.97,10,2128
09:35 - 09:40,135.12,-0.85,135.73,135.76,135.12,7,1100
09:40 - 09:45,135.57,0.45,135.51,135.57,135.5,5,500
09:45 - 09:50,135.48,-0.09,136.53,136.53,135.48,9,1435
09:50 - 09:55,136.56,1.08,136.09,136.675,136.09,14,2500
09:55 - 10:00,136.02,-0.54,136.56,136.56,136.02,2,4625
10:00 - 10:05,136.06,0.04,136.11,136.11,136.06,2,400
10:05 - 10:10,136.13,0.07,136.075,136.306,136.055,7,900
10:10 - 10:15,135.86,-0.27,136.13,136.13,135.85,10,1000
10:15 - 10:20,135.8,-0.06,136.08,136.08,135.69,19,1931
10:20 - 10:25,135.4,-0.4,135.81,135.91,135.245,35,3540
10:25 - 10:30,135.66,0.26,135.56,135.66,135.56,3,300
10:30 - 10:35,135.97,0.31,135.97,135.97,135.97,1,100
10:35 - 10:40,136.06,0.09,135.925,136.08,135.925,7,703
10:40 - 10:45,136,-0.06,136.03,136.03,136,2,200
10:45 - 10:50,135.93,-0.07,135.95,136.015,135.84,9,1081
10:50 - 10:55,135.285,-0.645,135.885,135.885,135.285,16,2500
10:55 - 11:00,135.01,-0.275,135.29,135.29,135.01,12,1200
11:00 - 11:05,135.215,0.205,135.21,135.295,135.21,8,881
11:05 - 11:10,135.55,0.335,135.35,135.64,135.29,12,1291
11:10 - 11:15,135.662,0.112,135.66,135.67,135.66,3,302
11:15 - 11:20,136.07,0.408,136.055,136.24,135.91,4,535
11:20 - 11:25,135.625,-0.445,136.085,136.085,135.625,6,600
11:25 - 11:30,135.56,-0.065,135.615,135.615,135.47,5,558
11:30 - 11:35,135.43,-0.13,135.61,135.66,135.42,20,2400
11:35 - 11:40,135.73,0.3,135.69,135.74,135.69,8,800
