Time Interval,Close,Net Chg,Open,High,Low,Tick Count,Volume
Summary,43.02,-19.3,61.48,67.915,42.83,85007,11203608
04SEP2015_00:00:00.000000,,,,,,,
09:30 - 09:35,61.48,-0.84,61.48,61.48,61.48,1,1079
09:35 - 09:40,61.65,0.17,61.65,61.65,61.65,4,400
09:40 - 09:45,61.77,0.12,61.4701,62,61.4701,7,947
09:45 - 09:50,61.9,0.13,61.77,61.95,61.77,5,500
09:50 - 09:55,61.77,-0.13,61.85,61.85,61.69,5,500
09:55 - 10:00,61.78,0.01,61.77,61.78,61.77,5,700
10:00 - 10:05,61.79,0.01,61.79,61.79,61.79,1,100
10:10 - 10:15,61.84,0.05,61.82,61.845,61.82,7,950
10:15 - 10:20,61.97,0.13,61.92,62.01,61.88,14,1400
10:20 - 10:25,62.13,0.16,62.14,62.14,62.13,3,300
10:25 - 10:30,62.07,-0.06,62.13,62.13,62.01,10,1000
10:30 - 10:35,62.07,0,62.07,62.07,62.07,1,100
10:35 - 10:40,62.13,0.06,62.14,62.14,62.13,8,800
10:40 - 10:45,62.26,0.13,62.14,62.29,62.14,7,800
10:45 - 10:50,62.08,-0.18,62.11,62.11,62.08,7,800
10:50 - 10:55,62.22,0.14,62.07,62.22,62.06,9,1000
10:55 - 11:00,61.84,-0.38,62.02,62.02,61.82,11,2000
11:00 - 11:05,61.78,-0.06,61.85,61.85,61.66,12,1200
11:05 - 11:10,61.78,0,61.78,61.78,61.73,4,400
11:10 - 11:15,61.83,0.05,61.74,61.83,61.68,9,900
11:15 - 11:20,61.9,0.07,61.9,61.9,61.9,3,400
11:20 - 11:25,61.81,-0.09,61.85,61.85,61.8,8,800
11:25 - 11:30,61.91,0.1,61.94,62.08,61.875,14,2000
11:30 - 11:35,61.905,-0.005,62.05,62.05,61.905,11,1204
11:35 - 11:40,61.8,-0.105,61.9,61.9,61.8,5,500
11:40 - 11:45,61.73,-0.07,61.68,61.73,61.67,7,700
11:45 - 11:50,61.85,0.12,61.72,61.85,61.715,9,900
11:50 - 11:55,61.85,0,61.85,61.85,61.85,3,300
11:55 - 12:00,61.84,-0.01,61.85,61.85,61.84,2,200
12:00 - 12:05,61.62,-0.22,61.78,61.78,61.61,8,800
12:05 - 12:10,61.53,-0.09,61.62,61.62,61.51,8,900
12:10 - 12:15,61.54,0.01,61.52,61.54,61.52,5,500
12:15 - 12:20,61.54,0,61.54,61.54,61.53,8,800
12:20 - 12:25,61.525,-0.015,61.54,61.54,61.415,23,2300
12:25 - 12:30,61.465,-0.06,61.53,61.53,61.45,11,1100
12:30 - 12:35,61.52,0.055,61.46,61.53,61.46,18,1900
12:35 - 12:40,61.53,0.01,61.53,61.53,61.53,3,300
12:40 - 12:45,61.39,-0.14,61.5,61.5,61.39,5,500
12:45 - 12:50,61.43,0.04,61.525,61.525,61.42,6,600
12:50 - 12:55,61.49,0.06,61.43,61.53,61.43,13,1400
12:55 - 13:00,61.455,-0.035,61.49,61.49,61.41,11,1300
13:00 - 13:05,61.29,-0.165,61.33,61.33,61.26,6,600
13:05 - 13:10,61.35,0.06,61.29,61.395,61.29,6,600
13:10 - 13:15,61.35,0,61.305,61.35,61.305,7,700
13:15 - 13:20,61.39,0.04,61.39,61.44,61.345,11,1200
13:20 - 13:25,61.39,0,61.39,61.39,61.39,5,500
13:25 - 13:30,61.42,0.03,61.39,61.42,61.385,8,800
13:30 - 13:35,61.405,-0.015,61.445,61.465,61.38,15,1600
