Time Interval,Close,Net Chg,Open,High,Low,Tick Count,Volume
Summary,43.2225,3.4875,39.27,43.4175,32.8425,92571,18001253
02FEB2016_00:00:00.000000,,,,,,,
09:30 - 09:35,40.08,0.345,39.27,40.08,39.27,2,1407
09:40 - 09:45,38.88,-1.2,38.88,38.88,38.88,1,133
09:45 - 09:50,38.9925,0.1125,39,39.06,38.9925,17,2666
09:50 - 09:55,39.3525,0.36,39.3525,39.3525,39.3525,2,266
09:55 - 10:00,39.6825,0.33,39.5063,39.75,39.5063,9,1199
10:05 - 10:10,39.6,-0.0825,39.6,39.6,39.6,1,133
10:10 - 10:15,39.75,0.15,39.5625,39.75,39.5625,43,5999
10:15 - 10:20,39.7575,0.0075,39.7575,39.765,39.7575,3,399
10:20 - 10:25,39.7425,-0.015,39.7725,39.78,39.7425,4,533
10:25 - 10:30,39.75,0.0075,39.75,39.75,39.75,1,133
10:30 - 10:35,39.7725,0.0225,39.75,39.8175,39.75,11,1599
10:35 - 10:40,39.7575,-0.015,39.765,39.7875,39.5325,60,10933
10:40 - 10:45,39.7875,0.03,39.75,39.7875,39.6263,10,1333
10:45 - 10:50,39.9975,0.21,39.825,39.9975,39.825,17,2399
10:50 - 10:55,39.87,-0.1275,40.0125,40.0125,39.855,19,2533
11:00 - 11:05,39.7425,-0.1275,39.7425,39.7425,39.7425,1,133
11:10 - 11:15,39.615,-0.1275,39.5775,39.615,39.5625,14,2105
11:15 - 11:20,39.6375,0.0225,39.5925,39.6375,39.5925,5,666
11:30 - 11:35,39.6675,0.03,39.6525,39.6675,39.6525,2,266
11:35 - 11:40,39.57,-0.0975,39.5025,39.57,39.4875,3,399
11:40 - 11:45,39.45,-0.12,39.36,39.45,39.36,3,399
11:45 - 11:50,39.2775,-0.1725,39.165,39.315,39.165,13,1733
11:55 - 12:00,39.2775,0,39.291,39.3375,39.1575,5,771
12:00 - 12:05,39,-0.2775,39.21,39.2175,39,7,1199
12:10 - 12:15,39.06,0.06,38.9625,39.06,38.9475,16,2133
12:15 - 12:20,39.195,0.135,39.06,39.195,39.06,10,1466
12:20 - 12:25,39.435,0.24,39.2625,39.45,39.255,10,1399
12:25 - 12:30,39.435,0,39.36,39.4425,39.36,3,399
12:30 - 12:35,39.42,-0.015,39.435,39.435,39.3675,8,1498
12:35 - 12:40,39.5925,0.1725,39.405,39.5925,39.405,12,1599
12:40 - 12:45,39.54,-0.0525,39.5925,39.5925,39.48,10,1333
12:45 - 12:50,39.45,-0.09,39.45,39.45,39.45,1,133
13:00 - 13:05,39.0676,-0.3824,39.195,39.2999,39.0676,13,1803
13:10 - 13:15,39.18,0.1124,39.0413,39.18,39.0413,9,1270
13:15 - 13:20,39.2325,0.0525,39.225,39.2925,39.2213,9,1599
13:20 - 13:25,39.33,0.0975,39.3075,39.33,39.3075,3,399
13:25 - 13:30,39.5925,0.2625,39.405,39.5925,39.405,12,1599
13:30 - 13:35,39.555,-0.0375,39.6075,39.6075,39.45,6,799
13:35 - 13:40,39.3525,-0.2025,39.39,39.39,39.3525,2,266
13:40 - 13:45,39.405,0.0525,39.2813,39.405,39.225,15,2133
13:45 - 13:50,39.465,0.06,39.375,39.465,39.099,31,5419
13:50 - 13:55,39.4838,0.0188,39.4575,39.495,39.4575,10,1466
13:55 - 14:00,39.4313,-0.0525,39.6,39.6,39.375,6,799
14:00 - 14:05,39.33,-0.1013,39.465,39.54,39.33,9,1199
14:05 - 14:10,39.75,0.42,39.3,39.75,39.27,29,6399
14:10 - 14:15,39.585,-0.165,39.5775,39.5963,39.495,12,1675
14:15 - 14:20,39.69,0.105,39.5925,39.93,39.5475,55,13191
14:20 - 14:25,39.57,-0.12,39.8399,39.8399,39.57,4,831
14:25 - 14:30,39.4575,-0.1125,39.645,39.645,39.3525,8,1106
14:30 - 14:35,39.5625,0.105,39.4725,39.5625,39.4725,5,666
14:35 - 14:40,39.57,0.0075,39.5025,39.57,39.4725,30,4666
14:40 - 14:45,39.63,0.06,39.57,39.63,39.51,6,799
14:45 - 14:50,39.5925,-0.0375,39.57,39.5925,39.57,4,533
14:50 - 14:55,39.5625,-0.03,39.5475,39.6,39.5175,19,2682
15:00 - 15:05,39.3488,-0.2137,39.465,39.4913,39.3488,8,1366
15:05 - 15:10,39.4425,0.0937,39.345,39.4575,39.2925,16,2133
15:10 - 15:15,39.3825,-0.06,39.3375,39.3825,39.285,23,3199
15:15 - 15:20,39.39,0.0075,39.4425,39.45,39.39,8,1066
15:20 - 15:25,39.405,0.015,39.3135,39.405,39.3135,4,846
15:25 - 15:30,39.435,0.03,39.4125,39.63,39.3932,16,2230
15:30 - 15:35,39.375,-0.06,39.435,39.5025,39.375,20,2666
15:35 - 15:40,39.3,-0.075,39.3525,39.3525,39.27,13,2133
15:40 - 15:45,39.405,0.105,39.3525,39.405,39.225,47,6799
15:45 - 15:50,39.3525,-0.0525,39.3675,39.525,39.3225,40,5333
15:50 - 15:55,39.2775,-0.075,39.285,39.3375,39.12,34,5070
15:55 - 16:00,39.3,0.0225,39.27,39.405,39.2025,111,39571
03FEB2016_00:00:00.000000,,,,,,,
09:30 - 09:35,38.9588,-0.3412,39.4875,39.9375,38.9588,3,2598
09:40 - 09:45,38.97,0.0112,38.9625,38.9775,38.9625,6,799
