Time Interval,Close,Net Chg,Open,High,Low,Tick Count,Volume
Summary,65.35,21.35,44.05,67.4,43.8,90483,17427214
02OCT2017_00:00:00.000000,,,,,,,
09:30 - 09:35,44.05,0.05,44.05,44.05,44.05,1,748
09:35 - 09:40,44,-0.05,44,44,44,2,400
09:40 - 09:45,44.1225,0.1225,43.95,44.1225,43.95,6,1226
09:45 - 09:50,43.95,-0.1725,43.8,43.975,43.8,3,600
09:50 - 09:55,43.975,0.025,44.025,44.075,43.975,5,1132
09:55 - 10:00,44.15,0.175,44.075,44.2475,44.075,11,2222
10:00 - 10:05,44.15,0,44.125,44.175,44.1,7,1434
10:05 - 10:10,44.175,0.025,44.25,44.25,44.175,3,600
10:10 - 10:15,44.175,0,44.2,44.2,44.075,7,1538
10:15 - 10:20,44.2,0.025,44.275,44.275,44.2,3,1000
10:20 - 10:25,44.175,-0.025,44.2,44.2,44.175,2,400
10:25 - 10:30,44.15,-0.025,44.15,44.2125,44.1125,11,2396
10:30 - 10:35,44.225,0.075,44.175,44.2625,44.175,6,1200
10:35 - 10:40,44.3125,0.0875,44.25,44.325,44.25,5,1600
10:40 - 10:45,44.3125,0,44.3125,44.3125,44.3125,1,200
10:50 - 10:55,44.2625,-0.05,44.2625,44.2625,44.2625,1,200
10:55 - 11:00,44.1,-0.1625,44.225,44.225,44.1,11,2970
11:00 - 11:05,44.15,0.05,44.15,44.15,44.15,1,200
11:10 - 11:15,44.3,0.15,44.25,44.3,44.225,4,1600
11:15 - 11:20,44.075,-0.225,44.2,44.2,44.075,5,1000
11:20 - 11:25,44.1,0.025,44.075,44.1,44.05,7,2200
11:25 - 11:30,44.175,0.075,44.175,44.175,44.175,1,670
11:30 - 11:35,44.15,-0.025,44.09,44.15,44.09,3,600
11:35 - 11:40,44.375,0.225,44.225,44.375,44.225,6,1268
11:40 - 11:45,44.35,-0.025,44.325,44.35,44.3,6,1200
11:45 - 11:50,44.3125,-0.0375,44.35,44.35,44.275,6,1200
11:50 - 11:55,44.3625,0.05,44.3009,44.3625,44.3009,3,600
11:55 - 12:00,44.375,0.0125,44.375,44.375,44.375,1,200
12:00 - 12:05,44.3295,-0.0455,44.3,44.35,44.2,25,8660
12:05 - 12:10,44.375,0.0455,44.375,44.375,44.325,8,1754
12:10 - 12:15,44.4,0.025,44.4,44.4,44.4,1,200
12:15 - 12:20,44.4,0,44.4,44.425,44.39,4,800
12:20 - 12:25,44.5,0.1,44.475,44.5,44.475,4,3600
12:25 - 12:30,44.3375,-0.1625,44.475,44.475,44.325,9,11600
12:30 - 12:35,44.375,0.0375,44.375,44.4,44.35,8,1800
12:35 - 12:40,44.35,-0.025,44.375,44.375,44.325,8,1600
