Time Interval,Close,Net Chg,Open,High,Low,Tick Count,Volume
Summary,55.15,-18.24,72.94,84.88,54.35,587456,80079966
02DEC2016_00:00:00.000000,,,,,,,
09:30 - 09:35,73.92,0.53,72.94,73.95,72.816,25,8176
09:35 - 09:40,73.94,0.02,73.92,74.48,73.77,75,8540
09:40 - 09:45,73.88,-0.06,73.66,73.99,73.14,56,7000
09:45 - 09:50,73.805,-0.075,73.9,73.955,73.42,129,16000
09:50 - 09:55,73.52,-0.285,73.84,73.93,73.43,27,3800
09:55 - 10:00,73.93,0.41,73.61,74,73.61,89,11450
10:00 - 10:05,74.16,0.23,73.98,74.35,73.84,108,16340
10:05 - 10:10,73.72,-0.44,74.165,74.26,73.62,102,12100
10:10 - 10:15,73.91,0.19,73.7,73.94,73.58,131,18515
10:15 - 10:20,73.89,-0.02,73.91,74.05,73.79,111,15531
10:20 - 10:25,74.42,0.53,73.9,74.44,73.9,44,6165
10:25 - 10:30,74.24,-0.18,74.41,74.53,74.1501,120,13286
10:30 - 10:35,74.45,0.21,74.29,74.5,74.22,88,9500
10:35 - 10:40,74.3675,-0.0825,74.395,74.54,74.33,98,11500
10:40 - 10:45,74.61,0.2425,74.4,74.67,74.39,69,7400
10:45 - 10:50,74.455,-0.155,74.6874,74.6874,74.37,123,14364
10:50 - 10:55,74.7,0.245,74.375,74.745,74.374,67,13336
10:55 - 11:00,74.53,-0.17,74.6575,74.71,74.45,143,15185
11:00 - 11:05,74.71,0.18,74.45,74.77,74.35,95,15323
11:05 - 11:10,74.49,-0.22,74.66,74.66,74.44,66,8100
11:10 - 11:15,74.47,-0.02,74.37,74.47,74.33,52,6020
11:15 - 11:20,74.78,0.31,74.41,74.92,74.41,185,20900
11:20 - 11:25,74.64,-0.14,74.75,74.8,74.56,90,11547
11:25 - 11:30,74.7,0.06,74.59,74.7,74.49,61,6500
11:30 - 11:35,74.79,0.09,74.7,74.912,74.69,53,5502
11:35 - 11:40,74.83,0.04,74.83,74.87,74.69,49,4900
11:40 - 11:45,74.95,0.12,74.735,74.95,74.67,76,22522
11:45 - 11:50,75.14,0.19,74.95,75.244,74.9,121,38228
11:50 - 11:55,75.305,0.165,75.19,75.5,74.98,134,15263
11:55 - 12:00,75.4,0.095,75.39,75.49,75.29,63,9980
12:00 - 12:05,75.53,0.13,75.4,75.59,75.33,136,22454
12:05 - 12:10,74.95,-0.58,75.41,75.47,74.95,119,14328
12:10 - 12:15,74.98,0.03,75,75.14,74.84,92,12313
12:15 - 12:20,75.25,0.27,75.11,75.26,75.06,38,3900
12:20 - 12:25,75.19,-0.06,75.25,75.38,75.19,126,34800
12:25 - 12:30,75.03,-0.16,75.21,75.21,74.96,101,60515
12:30 - 12:35,74.65,-0.38,74.94,75.015,74.65,94,26018
12:35 - 12:40,74.8,0.15,74.695,74.813,74.6,62,21532
12:40 - 12:45,74.6,-0.2,74.78,74.85,74.55,84,21197
12:45 - 12:50,74.56,-0.04,74.52,74.56,74.39,69,7800
12:50 - 12:55,74.96,0.4,74.63,75.02,74.615,108,14404
12:55 - 13:00,74.88,-0.08,74.89,75.03,74.83,88,19037
13:00 - 13:05,74.805,-0.075,74.88,74.95,74.59,73,13250
13:05 - 13:10,74.42,-0.385,74.745,74.8193,74.41,109,13409
13:10 - 13:15,74.27,-0.15,74.45,74.47,74.1,183,19110
13:15 - 13:20,74.19,-0.08,74.27,74.38,74.18,35,3600
13:20 - 13:25,74.15,-0.04,74.23,74.397,74.15,51,6035
13:25 - 13:30,74.36,0.21,74.24,74.42,74.24,44,4576
13:30 - 13:35,74.65,0.29,74.37,74.65,74.34,62,6570
13:35 - 13:40,74.7,0.05,74.73,74.85,74.65,41,4578
13:40 - 13:45,74.556,-0.144,74.7,74.74,74.556,27,4088
13:45 - 13:50,74.58,0.024,74.61,74.705,74.55,39,3900
13:50 - 13:55,74.51,-0.07,74.69,74.69,74.46,42,4865
13:55 - 14:00,74.63,0.12,74.528,74.63,74.528,26,2600
14:00 - 14:05,74.6,-0.03,74.63,74.63,74.4,69,7100
14:05 - 14:10,74.445,-0.155,74.6,74.6,74.445,73,8986
14:10 - 14:15,74.365,-0.08,74.47,74.52,74.323,41,5116
14:15 - 14:20,74.69,0.325,74.38,74.715,74.38,137,18112
14:20 - 14:25,74.66,-0.03,74.7,74.8,74.655,78,8018
14:25 - 14:30,74.779,0.119,74.675,74.83,74.675,77,7700
14:30 - 14:35,74.64,-0.139,74.69,74.79,74.5701,80,9162
14:35 - 14:40,74.72,0.08,74.69,74.72,74.5401,83,8850
14:40 - 14:45,74.55,-0.17,74.68,74.68,74.4901,83,9000
14:45 - 14:50,74.48,-0.07,74.51,74.68,74.4001,114,11853
14:50 - 14:55,74.56,0.08,74.43,74.65,74.43,63,6476
14:55 - 15:00,74.48,-0.08,74.63,74.63,74.47,79,8100
15:00 - 15:05,74.47,-0.01,74.465,74.53,74.43,42,4400
15:05 - 15:10,74.26,-0.21,74.44,74.465,74.22,94,10496
15:10 - 15:15,74.07,-0.19,74.27,74.27,74.02,108,11715
15:15 - 15:20,73.96,-0.11,74.05,74.08,73.879,93,9749
15:20 - 15:25,73.85,-0.11,73.93,73.95,73.81,85,9017
15:25 - 15:30,73.777,-0.073,73.86,73.99,73.777,79,8657
15:30 - 15:35,73.865,0.088,73.78,73.942,73.69,116,12429
15:35 - 15:40,73.9248,0.0598,73.88,73.98,73.82,75,7979
15:40 - 15:45,73.84,-0.0848,73.89,73.98,73.79,104,10598
15:45 - 15:50,73.84,0,73.83,73.84,73.68,136,16685
15:50 - 15:55,73.885,0.045,73.88,73.95,73.81,210,23342
15:55 - 16:00,73.85,-0.035,73.88,73.89,73.755,423,112110
05DEC2016_00:00:00.000000,,,,,,,
09:30 - 09:35,75.755,1.905,74.56,76.75,74.24,381,77913
09:35 - 09:40,76,0.245,75.7025,76.15,75.54,374,50871
09:40 - 09:45,76.12,0.12,76,76.21,75.52,233,35335
09:45 - 09:50,76.1,-0.02,76.14,76.42,75.88,265,36387
09:50 - 09:55,76.26,0.16,76.17,76.37,75.98,133,17642
09:55 - 10:00,76.25,-0.01,76.22,76.39,76.14,94,13395
10:00 - 10:05,76.27,0.02,76.305,76.4,76.2075,199,32431
10:05 - 10:10,76.04,-0.23,76.25,76.35,75.98,161,20249
10:10 - 10:15,76.03,-0.01,76,76.28,75.96,96,21134
10:15 - 10:20,75.64,-0.39,76.035,76.09,75.64,108,13483
10:20 - 10:25,75.29,-0.35,75.73,75.78,75.29,144,21464
10:25 - 10:30,75.09,-0.2,75.29,75.42,75.07,266,51946
10:30 - 10:35,74.845,-0.245,75.09,75.21,74.62,187,20293
10:35 - 10:40,74.44,-0.405,74.91,74.99,74.435,158,22667
10:40 - 10:45,74.88,0.44,74.53,74.88,74.38,135,13800
10:45 - 10:50,75.25,0.37,74.83,75.27,74.82,91,10123
10:50 - 10:55,75.79,0.54,75.235,75.79,75.235,141,16900
10:55 - 11:00,75.92,0.13,75.75,76.02,75.75,108,12421
11:00 - 11:05,75.81,-0.11,75.96,76.125,75.8,114,14297
