P,Close,Net Chg,Open,High,Low,Tick Count,Volume
Summary,71.44,6.09,65.37,74.82,57.3,164001,23744241
03NOV2014_00:00:00.000000,,,,,,,
09:30 - 09:35,65.2,-0.15,65.37,65.37,65.08,6,2477
09:35 - 09:40,64.61,-0.59,65.07,65.07,64.61,8,1068
09:40 - 09:45,64.604,-0.006,64.6,64.77,64.6,7,35975
09:45 - 09:50,63.88,-0.724,64.596,64.596,63.88,34,12920
09:50 - 09:55,64.07,0.19,64.1,64.1,63.86,30,3000
09:55 - 10:00,64.39,0.32,63.97,64.39,63.97,14,1943
10:00 - 10:05,63.89,-0.5,64.33,64.33,63.89,31,3417
10:05 - 10:10,64.005,0.115,64.014,64.2,63.895,13,11300
10:10 - 10:15,63.85,-0.155,63.9,63.93,63.76,30,3672
10:15 - 10:20,63.87,0.02,63.7,63.87,63.65,14,1450
10:20 - 10:25,63.72,-0.15,63.83,63.87,63.67,16,1830
10:25 - 10:30,63.8,0.08,63.7,63.8,63.61,8,800
10:30 - 10:35,63.86,0.06,63.8,63.94,63.725,22,2425
10:35 - 10:40,63.927,0.067,63.91,63.927,63.91,2,200
10:40 - 10:45,63.84,-0.087,63.88,63.88,63.79,19,2114
10:45 - 10:50,63.55,-0.29,63.85,63.85,63.55,18,3000
10:50 - 10:55,63.47,-0.08,63.56,63.56,63.47,15,1600
10:55 - 11:00,63.42,-0.05,63.46,63.48,63.3,61,6209
11:00 - 11:05,63.395,-0.025,63.38,63.42,63.34,16,1738
11:05 - 11:10,63.42,0.025,63.46,63.46,63.39,46,8563
11:10 - 11:15,63.33,-0.09,63.4,63.4,63.26,32,3692
11:15 - 11:20,63.16,-0.17,63.34,63.378,63.16,15,2274
11:20 - 11:25,63.075,-0.085,63.12,63.12,63.06,4,400
11:25 - 11:30,63.22,0.145,63.02,63.34,63.02,36,4190
11:30 - 11:35,63.23,0.01,63.24,63.24,63.22,9,900
11:35 - 11:40,63.31,0.08,63.26,63.35,63.26,19,4006
11:40 - 11:45,63.44,0.13,63.31,63.51,63.31,54,5603
11:45 - 11:50,63.38,-0.06,63.5,63.5,63.38,22,2200
11:50 - 11:55,63.47,0.09,63.39,63.5,63.38,41,4326
11:55 - 12:00,63.39,-0.08,63.47,63.5,63.39,11,1216
12:00 - 12:05,63.39,0,63.444,63.444,63.36,17,1700
12:05 - 12:10,63.44,0.05,63.39,63.47,63.38,13,1410
12:10 - 12:15,63.5,0.06,63.5,63.55,63.49,24,2428
12:15 - 12:20,63.49,-0.01,63.45,63.5,63.36,41,4300
12:20 - 12:25,63.605,0.115,63.495,63.65,63.49,23,2689
12:25 - 12:30,63.79,0.185,63.57,63.79,63.53,29,6692
12:30 - 12:35,63.665,-0.125,63.66,63.72,63.62,14,1400
12:35 - 12:40,63.76,0.095,63.665,63.86,63.665,23,5005
12:40 - 12:45,63.77,0.01,63.73,63.8,63.73,8,800
12:45 - 12:50,63.69,-0.08,63.83,63.83,63.65,24,5370
12:50 - 12:55,63.69,0,63.71,63.79,63.66,28,6801
12:55 - 13:00,63.75,0.06,63.69,63.82,63.65,18,7490
13:00 - 13:05,63.63,-0.12,63.74,63.74,63.63,4,400
13:05 - 13:10,63.66,0.03,63.61,63.66,63.55,14,1600
13:10 - 13:15,63.63,-0.03,63.585,63.66,63.585,13,1310
13:15 - 13:20,63.585,-0.045,63.63,63.65,63.58,28,3187
13:20 - 13:25,63.59,0.005,63.6,63.6,63.585,6,600
13:25 - 13:30,63.66,0.07,63.598,63.7,63.59,29,3100
13:30 - 13:35,63.68,0.02,63.67,63.75,63.64,41,4535
13:35 - 13:40,63.8,0.12,63.67,63.8,63.67,29,3225
13:40 - 13:45,63.82,0.02,63.785,63.88,63.77,23,2800
13:45 - 13:50,63.82,0,63.796,63.84,63.795,7,755
13:50 - 13:55,63.84,0.02,63.81,63.9,63.81,19,2000
13:55 - 14:00,63.875,0.035,63.86,63.9,63.8,71,7597
14:00 - 14:05,63.94,0.065,63.9,64.07,63.9,29,9137
14:05 - 14:10,63.94,0,63.95,63.95,63.78,26,2600
14:10 - 14:15,63.8,-0.14,63.87,63.96,63.8,11,1100
14:15 - 14:20,63.78,-0.02,63.79,63.86,63.78,7,900
14:20 - 14:25,63.8,0.02,63.78,63.84,63.72,23,30100
14:25 - 14:30,63.8,0,63.876,63.876,63.8,11,1200
14:30 - 14:35,63.77,-0.03,63.8,63.85,63.74,26,4700
14:35 - 14:40,63.79,0.02,63.8,63.85,63.74,15,1732
14:40 - 14:45,63.84,0.05,63.73,63.84,63.73,13,1601
14:45 - 14:50,63.835,-0.005,63.8,63.982,63.72,45,4900
14:50 - 14:55,63.92,0.085,63.85,63.94,63.8,13,1642
14:55 - 15:00,63.835,-0.085,63.85,63.87,63.75,18,1800
15:00 - 15:05,63.86,0.025,63.82,63.91,63.815,20,2058
15:05 - 15:10,63.897,0.037,63.8,63.91,63.8,21,2252
15:10 - 15:15,63.88,-0.017,63.84,63.96,63.79,33,3909
15:15 - 15:20,63.9,0.02,63.8,63.91,63.75,12,1200
15:20 - 15:25,63.9,0,63.9,63.95,63.82,46,4600
15:25 - 15:30,63.91,0.01,63.86,63.94,63.82,61,6253
15:30 - 15:35,63.81,-0.1,63.89,63.93,63.77,19,2030
15:35 - 15:40,63.96,0.15,63.8,63.99,63.79,50,15918
15:40 - 15:45,63.97,0.01,63.96,64,63.9,54,6400
15:45 - 15:50,63.99,0.02,64,64.11,63.93,80,8300
15:50 - 15:55,64.01,0.02,64.01,64.055,63.77,96,10113
15:55 - 16:00,64.13,0.12,64.04,64.23,63.99,164,17542
04NOV2014_00:00:00.000000,,,,,,,
09:30 - 09:35,63.66,-0.47,63.95,63.95,63.552,4,1456
09:35 - 09:40,64.4,0.74,64.03,64.5,63.995,10,1392
09:40 - 09:45,64.35,-0.05,64.33,64.35,64.33,2,200
09:45 - 09:50,64.478,0.128,64.34,64.478,64.13,8,975
09:50 - 09:55,64.21,-0.268,64.15,64.21,64.15,3,300
09:55 - 10:00,64.299,0.089,64.299,64.299,64.299,1,200
10:00 - 10:05,64.4,0.101,64.31,64.4,64.22,3,300
10:05 - 10:10,64.16,-0.24,64.16,64.16,64.16,1,100
10:10 - 10:15,64.36,0.2,64.34,64.36,64.34,2,552
10:15 - 10:20,64.22,-0.14,64.27,64.27,64.22,2,300
10:20 - 10:25,64.07,-0.15,64.14,64.35,64.01,45,7500
10:25 - 10:30,64.07,0,64.08,64.09,64.07,5,500
10:40 - 10:45,63.95,-0.12,63.92,64.01,63.7,57,27719
10:45 - 10:50,63.85,-0.1,63.94,63.94,63.82,5,2700
10:50 - 10:55,63.85,0,63.85,63.85,63.85,2,262
10:55 - 11:00,63.61,-0.24,63.75,63.75,63.61,5,595
11:00 - 11:05,63.59,-0.02,63.645,63.645,63.59,4,500
11:05 - 11:10,63.55,-0.04,63.58,63.66,63.5,36,5720
11:10 - 11:15,63.54,-0.01,63.464,63.54,63.464,8,1200
11:15 - 11:20,63.7,0.16,63.62,63.75,63.62,4,400
11:25 - 11:30,63.885,0.185,63.724,63.885,63.724,3,320
11:35 - 11:40,63.855,-0.03,63.94,63.94,63.855,11,2400
11:40 - 11:45,63.965,0.11,63.93,63.98,63.85,14,1400
11:45 - 11:50,63.98,0.015,63.87,63.98,63.87,2,300
11:50 - 11:55,63.98,0,64.07,64.07,63.91,10,1342
11:55 - 12:00,63.74,-0.24,64.03,64.03,63.74,16,1700
12:00 - 12:05,63.82,0.08,63.83,63.88,63.794,17,1714
12:05 - 12:10,64.03,0.21,64.04,64.08,63.895,33,24000
12:10 - 12:15,64.07,0.04,63.95,64.07,63.92,18,2100
12:15 - 12:20,63.89,-0.18,63.94,63.96,63.85,18,2700
12:20 - 12:25,63.92,0.03,63.838,63.92,63.83,6,700
12:25 - 12:30,63.88,-0.04,64.01,64.01,63.87,7,700
12:30 - 12:35,63.85,-0.03,63.86,63.86,63.83,7,900
12:35 - 12:40,63.86,0.01,63.87,63.927,63.84,9,900
12:40 - 12:45,63.88,0.02,63.85,63.92,63.85,13,1300
12:45 - 12:50,63.91,0.03,63.99,63.99,63.91,3,300
12:50 - 12:55,63.9,-0.01,63.92,64.052,63.9,7,1225
12:55 - 13:00,63.9,0,63.935,63.99,63.85,19,2102
13:00 - 13:05,63.97,0.07,63.92,64,63.86,16,1600
13:05 - 13:10,63.9,-0.07,63.91,64,63.9,5,500
13:10 - 13:15,63.86,-0.04,63.91,63.91,63.86,11,1969
13:15 - 13:20,63.81,-0.05,63.86,63.86,63.81,8,1000
13:20 - 13:25,63.854,0.044,63.81,63.854,63.79,7,975
13:30 - 13:35,63.71,-0.144,63.71,63.71,63.71,1,166
13:35 - 13:40,63.65,-0.06,63.65,63.72,63.65,5,565
13:40 - 13:45,63.64,-0.01,63.55,63.64,63.54,5,500
13:45 - 13:50,63.65,0.01,63.65,63.65,63.65,1,100
14:00 - 14:05,63.83,0.18,63.86,63.87,63.79,4,400
14:05 - 14:10,63.77,-0.06,63.77,63.77,63.77,2,200
14:10 - 14:15,63.68,-0.09,63.82,63.83,63.68,3,600
14:20 - 14:25,63.63,-0.05,63.7,63.7,63.63,3,385
14:25 - 14:30,63.49,-0.14,63.65,63.65,63.49,6,880
14:30 - 14:35,63.41,-0.08,63.46,63.46,63.41,3,300
14:35 - 14:40,63.33,-0.08,63.33,63.33,63.33,1,100
14:40 - 14:45,63.49,0.16,63.35,63.49,63.34,7,1104
14:45 - 14:50,63.38,-0.11,63.4,63.4,63.38,3,300
14:50 - 14:55,63.5,0.12,63.5,63.5,63.5,1,100
