Time Interval,Close,Net Chg,Open,High,Low,Tick Count,Volume
Summary,65.35,-1.6,66.43,94.23,54.97,228450,31150160
03JUN2014_00:00:00.000000,,,,,,,
09:30 - 09:35,66.178,-0.772,66.43,66.43,66.16,4,1712
09:35 - 09:40,65.69,-0.488,65.77,66.25,65.64,5,500
09:40 - 09:45,66.71,1.02,65.89,66.71,65.89,62,6730
09:45 - 09:50,67.28,0.57,66.806,67.28,66.55,16,2130
09:50 - 09:55,66.85,-0.43,67.04,67.11,66.84,22,2753
09:55 - 10:00,67.365,0.515,66.98,67.38,66.63,75,9662
10:00 - 10:05,67.43,0.065,67.195,67.43,67.03,53,9406
10:05 - 10:10,67.68,0.25,67.33,67.68,67.2,23,55100
10:10 - 10:15,67.29,-0.39,67.77,67.77,67.29,130,17726
10:15 - 10:20,67.03,-0.26,67.4,67.4,66.81,32,5134
10:20 - 10:25,66.822,-0.208,66.91,67.18,66.821,72,20080
10:25 - 10:30,66.7,-0.122,66.975,66.975,66.62,28,2900
10:30 - 10:35,66.76,0.06,66.85,66.96,66.76,15,2423
10:35 - 10:40,66.5,-0.26,66.84,66.84,66.5,16,1900
10:40 - 10:45,66.62,0.12,66.63,66.91,66.432,61,6763
10:45 - 10:50,66.23,-0.39,66.66,66.66,66.14,49,6901
10:50 - 10:55,66.08,-0.15,66.175,66.43,66.02,38,3900
10:55 - 11:00,66.15,0.07,66.04,66.29,65.91,27,2996
11:00 - 11:05,66.4,0.25,66.22,66.4,66.19,25,2502
11:05 - 11:10,66.21,-0.19,66.4,66.4,66.19,35,3500
11:10 - 11:15,66.23,0.02,66.22,66.46,66.185,130,14008
11:15 - 11:20,66.04,-0.19,66.36,66.38,65.955,145,18646
11:20 - 11:25,66.06,0.02,65.89,66.06,65.89,2,200
11:25 - 11:30,65.81,-0.25,66.1,66.115,65.67,30,5099
11:30 - 11:35,65.53,-0.28,65.72,65.91,65.51,80,10853
11:35 - 11:40,65.25,-0.28,65.68,65.68,65.25,13,2500
11:40 - 11:45,64.97,-0.28,65.16,65.308,64.71,93,14807
11:45 - 11:50,65.01,0.04,64.91,65.01,64.86,9,1200
11:50 - 11:55,64.95,-0.06,64.96,65.02,64.92,7,19300
11:55 - 12:00,64.74,-0.21,64.87,64.87,64.74,8,900
12:00 - 12:05,65.31,0.57,64.83,65.31,64.83,24,2630
12:05 - 12:10,65.18,-0.13,65.235,65.3,65.18,23,2300
12:10 - 12:15,65.17,-0.01,65.3,65.3,65.17,15,1527
12:15 - 12:20,65.12,-0.05,65.18,65.25,65.12,9,900
12:20 - 12:25,65.09,-0.03,65.17,65.277,65,72,7200
12:25 - 12:30,65.1,0.01,65.1,65.16,65.01,27,2830
12:30 - 12:35,65.06,-0.04,65.1,65.11,65.021,11,1100
12:35 - 12:40,65.05,-0.01,65.01,65.05,65,7,784
12:40 - 12:45,65.05,0,65.01,65.05,65.01,4,400
12:45 - 12:50,65,-0.05,65.01,65.07,64.91,35,3800
12:50 - 12:55,64.99,-0.01,65,65,64.87,10,1100
12:55 - 13:00,64.75,-0.24,64.93,64.93,64.75,13,1300
13:00 - 13:05,64.642,-0.108,64.79,64.79,64.642,17,1800
13:05 - 13:10,64.94,0.298,64.74,64.94,64.64,17,1900
13:10 - 13:15,64.91,-0.03,64.96,64.97,64.91,8,800
13:20 - 13:25,64.93,0.02,64.89,64.93,64.89,3,300
13:25 - 13:30,65.245,0.315,64.998,65.245,64.955,19,1900
13:30 - 13:35,65.51,0.265,65.33,65.51,65.33,6,600
13:35 - 13:40,65.192,-0.318,65.43,65.43,65.192,22,3115
13:40 - 13:45,65.17,-0.022,65.2,65.2,65.17,2,200
13:45 - 13:50,65.265,0.095,65.21,65.265,65.13,13,1688
13:55 - 14:00,65.26,-0.005,65.25,65.27,65.21,6,717
14:00 - 14:05,65.29,0.03,65.27,65.31,65.27,9,906
14:05 - 14:10,65.615,0.325,65.34,65.62,65.32,27,3651
14:10 - 14:15,65.53,-0.085,65.58,65.621,65.53,9,1050
14:15 - 14:20,65.58,0.05,65.54,65.58,65.53,6,600
14:20 - 14:25,65.67,0.09,65.63,65.67,65.63,11,1800
14:25 - 14:30,65.75,0.08,65.793,65.793,65.75,8,1204
14:30 - 14:35,65.65,-0.1,65.766,65.775,65.64,26,4172
14:35 - 14:40,65.6,-0.05,65.75,65.75,65.6,31,5360
14:40 - 14:45,65.618,0.018,65.61,65.63,65.55,22,3500
14:45 - 14:50,65.48,-0.138,65.63,65.67,65.48,17,2350
14:50 - 14:55,65.385,-0.095,65.38,65.43,65.38,10,1300
14:55 - 15:00,65.34,-0.045,65.39,65.43,65.31,39,4629
15:00 - 15:05,65.38,0.04,65.36,65.41,65.36,4,400
15:05 - 15:10,65.43,0.05,65.42,65.43,65.42,7,700
15:10 - 15:15,65.385,-0.045,65.42,65.43,65.38,24,3279
15:15 - 15:20,65.37,-0.015,65.42,65.43,65.37,18,2499
15:20 - 15:25,65.324,-0.046,65.36,65.37,65.324,5,884
15:25 - 15:30,65.29,-0.034,65.36,65.36,65.29,6,1245
15:30 - 15:35,65.38,0.09,65.34,65.43,65.34,21,2200
15:35 - 15:40,65.55,0.17,65.43,65.55,65.43,10,1200
15:40 - 15:45,65.666,0.116,65.62,65.69,65.61,15,1512
15:45 - 15:50,65.65,-0.016,65.66,65.71,65.62,15,2100
15:50 - 15:55,65.7,0.05,65.69,65.75,65.63,38,4191
15:55 - 16:00,65.58,-0.12,65.66,65.7,65.47,59,6350
04JUN2014_00:00:00.000000,,,,,,,
09:30 - 09:35,65.37,-0.21,65.55,65.55,65.37,3,2689
09:40 - 09:45,64.93,-0.44,65.61,65.61,64.93,15,1699
09:45 - 09:50,65.69,0.76,65.12,65.75,65.1,20,2353
09:50 - 09:55,65.675,-0.015,65.88,65.99,65.52,26,2600
09:55 - 10:00,65.52,-0.155,65.64,65.76,65.52,12,1200
10:00 - 10:05,65.72,0.2,65.645,65.87,65.645,41,5334
10:05 - 10:10,65.36,-0.36,65.69,65.83,65.36,76,11902
10:10 - 10:15,65.8,0.44,65.47,65.8,65.47,21,2600
10:15 - 10:20,65.69,-0.11,66.007,66.007,65.69,10,2700
10:20 - 10:25,65.79,0.1,65.8,65.97,65.77,31,3700
10:25 - 10:30,65.64,-0.15,65.78,65.848,65.51,23,2680
10:30 - 10:35,65.37,-0.27,65.48,65.48,65.27,16,1647
10:35 - 10:40,65.5,0.13,65.316,65.5,65.316,34,4207
10:40 - 10:45,65.77,0.27,65.76,65.895,65.594,38,7196
10:45 - 10:50,65.72,-0.05,65.69,65.75,65.6,21,2428
10:50 - 10:55,65.701,-0.019,65.701,65.701,65.701,1,100
10:55 - 11:00,65.825,0.124,65.8,65.92,65.74,12,1300
11:00 - 11:05,66.23,0.405,66.12,66.3,66.12,5,500
11:05 - 11:10,66.015,-0.215,66.08,66.08,65.98,6,600
11:10 - 11:15,65.87,-0.145,65.904,65.904,65.84,9,900
11:15 - 11:20,65.765,-0.105,65.706,65.8,65.64,11,1100
11:20 - 11:25,65.88,0.115,65.76,65.9,65.76,8,859
11:25 - 11:30,66.15,0.27,65.94,66.15,65.89,11,1300
11:30 - 11:35,66.31,0.16,66.267,66.31,66.267,3,500
11:35 - 11:40,66.11,-0.2,66.26,66.28,66.08,16,2304
11:40 - 11:45,66.27,0.16,66.238,66.27,66.15,8,1035
11:45 - 11:50,66.25,-0.02,66.28,66.28,66.05,15,1900
11:50 - 11:55,66.24,-0.01,66.25,66.25,66.19,4,400
11:55 - 12:00,66.3,0.06,66.3,66.3,66.3,1,100
12:00 - 12:05,65.93,-0.37,66.18,66.28,65.92,26,2999
12:05 - 12:10,65.92,-0.01,65.995,66.05,65.92,16,3000
12:10 - 12:15,65.932,0.012,65.97,66.02,65.92,16,1601
12:15 - 12:20,66.02,0.088,65.93,66.02,65.93,7,700
12:20 - 12:25,65.93,-0.09,65.93,65.93,65.93,2,200
12:25 - 12:30,65.815,-0.115,65.88,65.895,65.76,14,1800
12:30 - 12:35,65.83,0.015,65.74,65.95,65.44,67,8447
12:35 - 12:40,65.695,-0.135,65.92,65.93,65.512,89,11999
12:40 - 12:45,65.81,0.115,65.765,65.97,65.63,31,3800
12:45 - 12:50,65.9,0.09,65.92,65.93,65.69,28,4500
12:50 - 12:55,65.82,-0.08,65.81,65.98,65.643,31,3600
12:55 - 13:00,65.95,0.13,65.99,65.99,65.69,24,3454
