Time Interval,Close,Net Chg,Open,High,Low,Tick Count,Volume
Summary,38.9,7.25,31.45,39,30.605,179185,26596656
02DEC2016_00:00:00.000000,,,,,,,
09:30 - 09:35,31.199,-0.451,31.45,31.45,31.031,43,11283
09:35 - 09:40,31.85,0.651,31.3,31.85,31.3,22,3792
09:40 - 09:45,31.6,-0.25,31.85,31.85,31.6,17,3035
09:45 - 09:50,31.575,-0.025,31.6,31.6,31.55,7,700
09:50 - 09:55,31.425,-0.15,31.6,31.6,31.3598,14,1888
09:55 - 10:00,31.5,0.075,31.4,31.5,31.4,6,4661
10:05 - 10:10,31.5,0,31.6,31.6,31.35,22,2500
10:10 - 10:15,31.2,-0.3,31.45,31.45,31.2,13,1300
10:15 - 10:20,31.3624,0.1624,31.25,31.3624,31.2,16,2545
10:20 - 10:25,31.35,-0.0124,31.25,31.4,31.25,12,4440
10:25 - 10:30,31.4,0.05,31.3825,31.5,31.3825,9,967
10:30 - 10:35,31.355,-0.045,31.35,31.355,31.35,3,333
10:35 - 10:40,31.475,0.12,31.45,31.475,31.45,6,600
10:40 - 10:45,31.65,0.175,31.5,31.65,31.5,16,2121
10:45 - 10:50,31.5,-0.15,31.8,31.8,31.475,12,1400
10:50 - 10:55,31.5,0,31.5,31.5,31.5,3,300
10:55 - 11:00,31.6,0.1,31.5,31.625,31.5,25,2500
11:00 - 11:05,31.6,0,31.6,31.65,31.6,11,1100
11:05 - 11:10,31.55,-0.05,31.6,31.6,31.55,9,1400
11:10 - 11:15,31.55,0,31.55,31.55,31.55,1,100
11:15 - 11:20,31.55,0,31.55,31.6,31.5,35,4783
11:20 - 11:25,31.6,0.05,31.65,31.7,31.55,71,8517
11:25 - 11:30,31.58,-0.02,31.55,31.6002,31.55,7,1100
11:30 - 11:35,31.6,0.02,31.55,31.6,31.55,27,4132
11:35 - 11:40,31.65,0.05,31.6,31.65,31.575,12,1500
11:40 - 11:45,31.625,-0.025,31.6,31.65,31.6,31,4100
11:45 - 11:50,31.65,0.025,31.65,31.65,31.65,5,500
11:50 - 11:55,31.65,0,31.625,31.65,31.6,31,4119
11:55 - 12:00,31.625,-0.025,31.6448,31.6448,31.625,15,1752
12:00 - 12:05,31.6,-0.025,31.6,31.6,31.6,4,400
12:05 - 12:10,31.6,0,31.6,31.65,31.6,8,985
12:10 - 12:15,31.625,0.025,31.6,31.625,31.6,6,600
12:15 - 12:20,31.6,-0.025,31.625,31.6375,31.6,7,700
12:20 - 12:25,31.6,0,31.6,31.625,31.6,12,7100
12:25 - 12:30,31.45,-0.15,31.6,31.625,31.45,57,8316
12:30 - 12:35,31.5,0.05,31.5,31.525,31.45,48,7520
12:35 - 12:40,31.5,0,31.55,31.55,31.5,16,1782
12:40 - 12:45,31.5,0,31.55,31.55,31.5,5,500
12:45 - 12:50,31.5125,0.0125,31.55,31.55,31.5,3,300
12:50 - 12:55,31.5,-0.0125,31.5,31.5,31.5,7,700
12:55 - 13:00,31.5,0,31.5,31.55,31.5,39,4400
13:00 - 13:05,31.45,-0.05,31.5,31.5,31.45,20,2637
13:05 - 13:10,31.3,-0.15,31.4,31.445,31.3,21,2252
13:10 - 13:15,31.35,0.05,31.35,31.425,31.35,36,3965
13:15 - 13:20,31.4,0.05,31.4,31.45,31.4,65,7400
13:20 - 13:25,31.475,0.075,31.45,31.5,31.389,13,4992
13:25 - 13:30,31.45,-0.025,31.5,31.5,31.45,23,2800
13:30 - 13:35,31.45,0,31.45,31.45,31.45,3,300
13:35 - 13:40,31.45,0,31.45,31.467,31.45,5,567
13:40 - 13:45,31.4,-0.05,31.45,31.5,31.3811,80,9043
13:45 - 13:50,31.35,-0.05,31.4,31.4,31.3,15,1800
13:50 - 13:55,31.4,0.05,31.3,31.45,31.3,70,16600
13:55 - 14:00,31.5,0.1,31.4,31.55,31.35,43,13200
14:00 - 14:05,31.525,0.025,31.5,31.525,31.4989,40,10700
14:05 - 14:10,31.6,0.075,31.55,31.65,31.55,43,5271
14:10 - 14:15,31.645,0.045,31.6,31.645,31.6,3,300
14:15 - 14:20,31.55,-0.095,31.65,31.65,31.55,18,2700
14:20 - 14:25,31.55,0,31.55,31.649,31.55,22,2783
14:25 - 14:30,31.595,0.045,31.595,31.6,31.5,41,4600
14:30 - 14:35,31.5,-0.095,31.5,31.5465,31.5,9,1000
14:35 - 14:40,31.55,0.05,31.5,31.55,31.5,34,4558
14:40 - 14:45,31.5,-0.05,31.595,31.595,31.5,10,1100
14:45 - 14:50,31.5,0,31.595,31.6,31.5,20,3100
14:50 - 14:55,31.5489,0.0489,31.5,31.55,31.5,11,1200
14:55 - 15:00,31.5,-0.0489,31.5001,31.6,31.5,18,2300
15:00 - 15:05,31.55,0.05,31.595,31.595,31.5,28,3850
15:05 - 15:10,31.6,0.05,31.575,31.6412,31.55,30,4020
15:10 - 15:15,31.6,0,31.65,31.65,31.6,25,2900
15:15 - 15:20,31.55,-0.05,31.6,31.675,31.55,89,11573
15:20 - 15:25,31.6,0.05,31.55,31.6,31.55,18,2000
15:25 - 15:30,31.675,0.075,31.55,31.675,31.55,35,3600
15:30 - 15:35,31.7,0.025,31.65,31.75,31.65,17,2750
15:35 - 15:40,31.7,0,31.75,31.75,31.7,48,5883
15:40 - 15:45,31.7,0,31.7,31.725,31.7,12,6100
15:45 - 15:50,31.8,0.1,31.725,31.8,31.7,48,6373
15:50 - 15:55,31.8,0,31.8,31.8,31.75,48,6688
15:55 - 16:00,31.9,0.1,31.75,31.95,31.75,242,52170
05DEC2016_00:00:00.000000,,,,,,,
09:30 - 09:35,32.4,0.5,32.15,32.4,32.05,10,3363
09:35 - 09:40,32.15,-0.25,32.15,32.15,32.15,1,100
09:40 - 09:45,32.4,0.25,32.15,32.4,32.15,10,1200
09:45 - 09:50,32.45,0.05,32.4,32.45,32.4,11,1100
09:50 - 09:55,32.4,-0.05,32.45,32.45,32.3,12,1210
09:55 - 10:00,32.45,0.05,32.4,32.55,32.35,39,9133
10:00 - 10:05,32.55,0.1,32.4,32.65,32.4,46,5400
10:05 - 10:10,32.4,-0.15,32.5,32.549,32.35,56,7513
10:10 - 10:15,32.5,0.1,32.45,32.5,32.4,17,1800
10:15 - 10:20,32.4,-0.1,32.5,32.5,32.3,28,3916
10:20 - 10:25,32.5,0.1,32.45,32.5,32.45,5,1100
10:25 - 10:30,32.5,0,32.599,32.599,32.45,13,1524
10:30 - 10:35,32.45,-0.05,32.45,32.45,32.4,20,2006
