Time Interval,Close,Net Chg,Open,High,Low,Tick Count,Volume
Summary,53.85,2.1,51.9,54.05,46.275,109320,16904381
02MAY2017_00:00:00.000000,,,,,,,
09:30 - 09:35,52.05,0.3,51.9,52.05,51.9,3,1549
09:35 - 09:40,51.85,-0.2,51.9,51.9,51.85,5,600
09:40 - 09:45,51.85,0,51.85,51.925,51.85,7,800
09:45 - 09:50,51.85,0,51.85,51.9,51.75,32,4092
09:50 - 09:55,51.95,0.1,51.8,51.95,51.8,19,2100
09:55 - 10:00,51.95,0,51.95,52.025,51.9,25,3859
10:00 - 10:05,51.9,-0.05,51.9,52,51.9,23,2300
10:05 - 10:10,51.875,-0.025,51.9,51.9,51.85,21,2240
10:10 - 10:15,51.8,-0.075,51.875,51.875,51.75,26,2600
10:15 - 10:20,51.75,-0.05,51.8,51.825,51.75,26,3400
10:20 - 10:25,51.7,-0.05,51.775,51.8,51.65,69,6958
10:25 - 10:30,51.65,-0.05,51.75,51.75,51.65,28,2800
10:30 - 10:35,51.525,-0.125,51.65,51.65,51.525,20,2000
10:35 - 10:40,51.55,0.025,51.5,51.55,51.5,12,1300
10:40 - 10:45,51.5,-0.05,51.55,51.55,51.45,17,1700
10:45 - 10:50,51.55,0.05,51.5,51.55,51.475,24,4780
10:50 - 10:55,51.55,0,51.525,51.575,51.525,27,3600
10:55 - 11:00,51.525,-0.025,51.55,51.575,51.475,74,11540
11:00 - 11:05,51.55,0.025,51.5,51.55,51.475,34,4400
11:05 - 11:10,51.65,0.1,51.55,51.65,51.55,14,1700
11:10 - 11:15,51.725,0.075,51.7,51.725,51.7,40,6900
11:15 - 11:20,51.65,-0.075,51.75,51.75,51.65,72,8574
11:20 - 11:25,51.6,-0.05,51.7,51.75,51.6,80,9866
11:25 - 11:30,51.7,0.1,51.65,51.75,51.6,128,21192
11:30 - 11:35,51.65,-0.05,51.7,51.7,51.6,41,4100
11:35 - 11:40,51.55,-0.1,51.625,51.65,51.55,48,6640
11:40 - 11:45,51.55,0,51.575,51.6,51.55,7,700
11:45 - 11:50,51.5,-0.05,51.55,51.575,51.5,81,10068
11:50 - 11:55,51.45,-0.05,51.5,51.55,51.425,111,18474
11:55 - 12:00,51.4,-0.05,51.425,51.425,51.4,9,1300
12:00 - 12:05,51.4,0,51.45,51.475,51.325,40,5353
12:05 - 12:10,51.325,-0.075,51.375,51.425,51.3,91,10500
12:10 - 12:15,51.3,-0.025,51.325,51.325,51.3,4,400
12:15 - 12:20,51.3,0,51.35,51.35,51.3,29,3000
12:20 - 12:25,51.275,-0.025,51.3,51.325,51.275,11,1300
12:25 - 12:30,51.275,0,51.275,51.275,51.225,61,8798
12:30 - 12:35,51.35,0.075,51.3,51.375,51.3,16,1700
12:35 - 12:40,51.3,-0.05,51.4,51.4,51.25,30,3900
12:40 - 12:45,51.3,0,51.3,51.3,51.3,4,400
12:45 - 12:50,51.25,-0.05,51.25,51.25,51.25,5,500
12:50 - 12:55,51.3,0.05,51.3,51.35,51.3,19,4700
12:55 - 13:00,51.25,-0.05,51.3,51.3,51.15,80,8500
13:00 - 13:05,51.2326,-0.0174,51.2,51.25,51.2,22,3800
13:05 - 13:10,51.15,-0.0826,51.25,51.25,51.15,14,1600
13:10 - 13:15,51.125,-0.025,51.15,51.15,51.125,35,4088
13:15 - 13:20,51.125,0,51.125,51.15,51.1,39,4100
13:20 - 13:25,51.075,-0.05,51.15,51.15,51.075,7,816
13:25 - 13:30,51.075,0,51.075,51.15,51.025,73,9700
13:30 - 13:35,50.95,-0.125,51.05,51.05,50.95,33,4954
