Time Interval,Close,Net Chg,Open,High,Low,Tick Count,Volume
Summary,43.9,6.85,37.1,44.9,31.75,167935,26786917
02MAY2017_00:00:00.000000,,,,,,,
09:30 - 09:35,37.35,0.3,37.1,37.45,37.1,9,1608
09:35 - 09:40,37.45,0.1,37.35,37.45,37.25,22,2300
09:40 - 09:45,37.45,0,37.4,37.45,37.15,31,5075
09:45 - 09:50,37.2,-0.25,37.45,37.45,37.2,25,3051
09:50 - 09:55,37.4,0.2,37.2,37.4,37.2,30,5482
09:55 - 10:00,37.35,-0.05,37.35,37.5,37.325,22,2200
10:00 - 10:05,37.35,0,37.35,37.45,37.275,22,2300
10:05 - 10:10,37.15,-0.2,37.35,37.35,37.15,15,1500
10:10 - 10:15,37.05,-0.1,37.2,37.2,36.95,56,5900
10:15 - 10:20,37.1,0.05,37.1,37.1,37,7,700
10:20 - 10:25,37.1,0,37.05,37.1,37,24,2400
10:25 - 10:30,37.225,0.125,37.15,37.25,37.05,18,1800
10:30 - 10:35,37.175,-0.05,37.25,37.25,37.175,9,900
10:35 - 10:40,37.225,0.05,37.15,37.225,37.125,31,3121
10:40 - 10:45,37.2,-0.025,37.225,37.225,37.175,13,1300
10:45 - 10:50,37.1,-0.1,37.1844,37.2,37.1,25,2884
10:50 - 10:55,37.05,-0.05,37.1,37.1,37.025,24,2800
10:55 - 11:00,37.05,0,37.05,37.1,37,30,3386
11:00 - 11:05,37.1,0.05,37.025,37.225,37.025,22,2300
11:05 - 11:10,37.125,0.025,37.125,37.125,37.125,2,200
11:10 - 11:15,37.125,0,37.1,37.15,37.1,22,2300
11:15 - 11:20,37.075,-0.05,37.1,37.2,37,56,6528
11:20 - 11:25,37.05,-0.025,37.075,37.1,37.05,9,1000
11:25 - 11:30,37.075,0.025,37.05,37.1,37.05,26,3774
11:30 - 11:35,37,-0.075,37.05,37.05,36.875,62,10133
11:35 - 11:40,37.1,0.1,37.05,37.1,37.05,3,300
11:40 - 11:45,37.05,-0.05,37.05,37.05,37,12,1600
11:45 - 11:50,37,-0.05,37.05,37.05,37,9,900
11:50 - 11:55,36.975,-0.025,37,37,36.95,12,1300
11:55 - 12:00,36.95,-0.025,36.95,36.95,36.9,7,700
12:00 - 12:05,36.95,0,36.95,36.975,36.95,17,1700
12:05 - 12:10,36.975,0.025,36.9799,37.05,36.95,19,2000
12:10 - 12:15,37.05,0.075,37,37.05,37,12,1200
12:15 - 12:20,37.1,0.05,37.1,37.125,37.05,22,3899
12:20 - 12:25,37.1,0,37.05,37.1,37.025,17,1700
12:25 - 12:30,37.05,-0.05,37.125,37.125,37.05,6,600
12:30 - 12:35,37.025,-0.025,37.05,37.1,37.025,22,2300
12:35 - 12:40,37.05,0.025,37,37.05,37,11,1100
12:40 - 12:45,37.05,0,37.05,37.075,37.05,3,300
12:45 - 12:50,37.1,0.05,37.05,37.15,37.05,17,1700
12:50 - 12:55,37.05,-0.05,37.15,37.15,37.05,19,1994
12:55 - 13:00,37.1,0.05,37.075,37.125,37.075,8,800
13:00 - 13:05,37.1,0,37.1,37.125,37.05,11,1162
13:05 - 13:10,37.05,-0.05,37.15,37.15,36.95,52,9911
13:10 - 13:15,37.025,-0.025,37.025,37.05,37,19,1900
13:15 - 13:20,37.1,0.075,37.05,37.1,37.025,15,1600
13:20 - 13:25,37.125,0.025,37.1,37.125,37.1,17,1976
13:25 - 13:30,37.1,-0.025,37.131,37.131,37.1,21,3300
13:30 - 13:35,37.125,0.025,37.05,37.125,37.05,14,1660
13:35 - 13:40,37.1,-0.025,37.15,37.2,37.1,18,2734
13:40 - 13:45,37.2,0.1,37.15,37.2,37.125,26,3000
13:45 - 13:50,37.15,-0.05,37.2,37.2,37.15,14,1400
13:50 - 13:55,37.075,-0.075,37.05,37.075,37.025,24,2603
13:55 - 14:00,37.1,0.025,37.1,37.125,37.05,14,2113
14:00 - 14:05,37.05,-0.05,37.15,37.15,37.05,32,3428
14:05 - 14:10,37.125,0.075,37.05,37.125,37.05,28,2928
14:10 - 14:15,37.125,0,37.1,37.15,37.1,4,651
14:15 - 14:20,37.1268,0.0018,37.1,37.1268,37.1,18,2100
14:20 - 14:25,37.1,-0.0268,37.1,37.125,37.075,15,1600
14:25 - 14:30,37.05,-0.05,37.1,37.1,37.025,25,2757
14:30 - 14:35,37.05,0,37.05,37.075,37.025,8,800
14:35 - 14:40,37.025,-0.025,37.025,37.025,37,11,1731
14:40 - 14:45,37.075,0.05,37,37.075,37,16,1600
14:45 - 14:50,37.1,0.025,37.05,37.125,37,35,3533
14:50 - 14:55,37.05,-0.05,37.05,37.05,37.05,1,100
14:55 - 15:00,37.05,0,37.05,37.095,37.05,12,1598
15:00 - 15:05,37.075,0.025,37.075,37.1,37.05,53,6804
15:05 - 15:10,37.075,0,37.075,37.075,37.075,11,1400
15:10 - 15:15,37.025,-0.05,37.05,37.05,37,21,2400
15:15 - 15:20,37,-0.025,37.025,37.025,36.975,36,3900
15:20 - 15:25,37.025,0.025,37.05,37.05,36.95,33,3347
15:25 - 15:30,37.025,0,37.025,37.075,37.025,25,2600
15:30 - 15:35,37.025,0,37.05,37.1,37.025,39,4279
15:35 - 15:40,37.125,0.1,37.025,37.15,37,71,7207
15:40 - 15:45,37.2,0.075,37.15,37.225,37.15,65,8278
15:45 - 15:50,37.2,0,37.175,37.25,37.15,131,16976
15:50 - 15:55,37.175,-0.025,37.15,37.2,37.15,61,7407
15:55 - 16:00,37.15,-0.025,37.175,37.2,37.1,221,67668
03MAY2017_00:00:00.000000,,,,,,,
09:30 - 09:35,36.8,-0.35,36.95,37.095,36.7,19,7521
09:35 - 09:40,36.85,0.05,36.8,36.85,36.8,6,700
09:40 - 09:45,36.7,-0.15,36.85,36.85,36.7,19,2588
09:45 - 09:50,36.8,0.1,36.75,36.85,36.65,26,2682
09:50 - 09:55,36.8,0,36.75,36.85,36.7399,25,3200
09:55 - 10:00,36.65,-0.15,36.75,36.7583,36.605,12,1353
10:00 - 10:05,36.6,-0.05,36.625,36.625,36.55,31,4200
10:05 - 10:10,36.65,0.05,36.6,36.65,36.55,20,2040
10:10 - 10:15,36.55,-0.1,36.55,36.6,36.55,16,1859
10:15 - 10:20,36.55,0,36.6,36.6,36.55,14,1400
10:20 - 10:25,36.633,0.083,36.5,36.633,36.5,17,2100
10:25 - 10:30,36.6,-0.033,36.65,36.65,36.5,19,1900
10:30 - 10:35,36.55,-0.05,36.65,36.65,36.55,9,900
10:35 - 10:40,36.6,0.05,36.55,36.6,36.55,5,500
10:40 - 10:45,36.625,0.025,36.6,36.65,36.55,10,1400
