Time Interval,Close,Net Chg,Open,High,Low,Tick Count,Volume
Summary,66.04,29.14,36.9,70.14,36.41,122040,16440052
03NOV2014_00:00:00.000000,,,,,,,
09:30 - 09:35,36.9,0,36.9,36.9,36.9,1,1016
09:40 - 09:45,36.63,-0.27,36.67,36.67,36.63,2,200
09:45 - 09:50,36.757,0.127,36.62,36.91,36.56,17,2011
09:50 - 09:55,36.86,0.103,36.83,36.86,36.81,7,775
09:55 - 10:00,37.18,0.32,37,37.18,37,2,200
10:00 - 10:05,37.3,0.12,36.93,37.3,36.93,2,200
10:05 - 10:10,37.04,-0.26,36.97,37.04,36.97,2,298
10:15 - 10:20,36.86,-0.18,37.122,37.122,36.86,3,813
10:20 - 10:25,36.86,0,36.88,36.88,36.86,3,300
10:25 - 10:30,36.862,0.002,36.8,36.862,36.8,2,200
10:30 - 10:35,36.9,0.038,36.9,36.9,36.9,2,200
10:35 - 10:40,36.94,0.04,36.95,36.98,36.93,20,2200
10:40 - 10:45,37.1,0.16,36.94,37.1,36.94,38,4000
10:45 - 10:50,36.99,-0.11,37.09,37.09,36.99,5,500
10:50 - 10:55,37.05,0.06,37,37.05,36.94,12,2050
10:55 - 11:00,37.29,0.24,37.17,37.3,37.08,7,700
11:00 - 11:05,37.33,0.04,37.3,37.38,37.22,6,821
11:05 - 11:10,37.5,0.17,37.37,37.5,37.37,11,1112
11:10 - 11:15,37.488,-0.012,37.46,37.54,37.43,12,2140
11:15 - 11:20,37.49,0.002,37.52,37.61,37.45,8,800
11:20 - 11:25,37.424,-0.066,37.38,37.49,37.38,6,625
11:25 - 11:30,37.37,-0.054,37.49,37.49,37.37,7,700
11:30 - 11:35,37.24,-0.13,37.31,37.31,37.23,5,500
11:35 - 11:40,37.14,-0.1,37.18,37.29,37.14,8,800
11:40 - 11:45,37.14,0,37.05,37.14,37.05,4,414
11:45 - 11:50,37.19,0.05,37.18,37.19,37.18,5,500
11:50 - 11:55,37.2,0.01,37.19,37.2,37.19,5,900
11:55 - 12:00,37.3,0.1,37.2,37.35,37.2,4,400
12:00 - 12:05,37.26,-0.04,37.26,37.26,37.26,1,100
12:05 - 12:10,37.24,-0.02,37.33,37.35,37.24,4,400
12:10 - 12:15,37.24,0,37.23,37.24,37.13,4,400
12:15 - 12:20,37.05,-0.19,37.22,37.22,37.05,3,300
12:20 - 12:25,37.18,0.13,37.17,37.18,37.17,2,200
12:25 - 12:30,37.21,0.03,37.18,37.21,37.18,2,200
12:30 - 12:35,37.19,-0.02,37.19,37.19,37.19,2,200
12:35 - 12:40,37.3,0.11,37.21,37.3,37.12,11,1600
12:40 - 12:45,37.36,0.06,37.26,37.36,37.26,5,500
12:45 - 12:50,37.47,0.11,37.36,37.47,37.36,5,500
12:50 - 12:55,37.41,-0.06,37.44,37.44,37.41,2,200
12:55 - 13:00,37.47,0.06,37.46,37.47,37.4,5,500
13:00 - 13:05,37.49,0.02,37.46,37.55,37.45,13,1800
13:05 - 13:10,37.54,0.05,37.54,37.54,37.54,2,200
13:10 - 13:15,37.43,-0.11,37.44,37.44,37.43,2,200
13:15 - 13:20,37.43,0,37.42,37.43,37.42,3,300
13:20 - 13:25,37.43,0,37.46,37.49,37.4,5,550
13:25 - 13:30,37.44,0.01,37.44,37.44,37.44,1,100
13:30 - 13:35,37.48,0.04,37.46,37.5,37.46,4,400
13:35 - 13:40,37.4,-0.08,37.47,37.52,37.4,13,1620
13:40 - 13:45,37.52,0.12,37.49,37.6,37.38,23,2400
13:45 - 13:50,37.55,0.03,37.56,37.56,37.44,5,500
13:50 - 13:55,37.57,0.02,37.61,37.62,37.46,10,1100
13:55 - 14:00,37.54,-0.03,37.57,37.57,37.45,9,1330
14:00 - 14:05,37.48,-0.06,37.6,37.6,37.48,4,400
14:05 - 14:10,37.47,-0.01,37.48,37.48,37.46,3,300
14:10 - 14:15,37.54,0.07,37.49,37.59,37.49,8,800
14:15 - 14:20,37.56,0.02,37.55,37.56,37.52,4,400
14:20 - 14:25,37.43,-0.13,37.51,37.52,37.42,7,700
14:25 - 14:30,37.48,0.05,37.39,37.48,37.39,3,300
14:30 - 14:35,37.45,-0.03,37.5,37.51,37.45,4,400
14:35 - 14:40,37.42,-0.03,37.34,37.42,37.34,2,200
14:40 - 14:45,37.38,-0.04,37.47,37.47,37.315,31,3500
14:45 - 14:50,37.15,-0.23,37.27,37.28,37.15,21,2300
14:50 - 14:55,37.12,-0.03,37.19,37.2,37.12,4,400
14:55 - 15:00,37.07,-0.05,37.18,37.19,37.07,8,861
15:00 - 15:05,37,-0.07,37.05,37.06,37,13,1500
15:05 - 15:10,36.99,-0.01,37.01,37.02,36.91,6,600
15:10 - 15:15,36.94,-0.05,36.99,36.99,36.87,7,700
15:15 - 15:20,36.92,-0.02,36.91,36.92,36.91,5,500
15:20 - 15:25,36.93,0.01,36.92,36.93,36.92,5,500
15:25 - 15:30,36.87,-0.06,36.93,36.93,36.86,5,500
15:30 - 15:35,36.83,-0.04,36.8,36.83,36.75,15,1500
15:35 - 15:40,36.8,-0.03,36.79,36.83,36.76,13,1300
15:40 - 15:45,36.8,0,36.8,36.82,36.76,36,4041
15:45 - 15:50,36.81,0.01,36.8,36.82,36.79,20,2000
15:50 - 15:55,36.8,-0.01,36.78,36.81,36.76,33,3800
15:55 - 16:00,36.96,0.16,36.8,37.01,36.76,100,18666
04NOV2014_00:00:00.000000,,,,,,,
09:30 - 09:35,36.8,-0.16,36.89,36.89,36.8,4,488
09:35 - 09:40,36.86,0.06,36.78,36.86,36.78,3,300
09:45 - 09:50,37.02,0.16,37,37.02,37,3,300
09:55 - 10:00,37.01,-0.01,37.02,37.02,37.01,4,400
10:00 - 10:05,37.01,0,37.01,37.01,37.01,4,800
10:10 - 10:15,37.02,0.01,37.035,37.035,36.97,10,1000
10:15 - 10:20,36.78,-0.24,36.97,36.98,36.61,24,2400
10:20 - 10:25,36.71,-0.07,36.815,36.85,36.71,10,1000
10:25 - 10:30,36.57,-0.14,36.64,36.66,36.57,6,700
10:30 - 10:35,36.63,0.06,36.6,36.69,36.6,11,1300
10:35 - 10:40,36.83,0.2,36.66,36.83,36.66,6,600
10:50 - 10:55,36.795,-0.035,36.85,36.85,36.795,2,200
10:55 - 11:00,36.585,-0.21,36.64,36.65,36.585,4,600
11:00 - 11:05,36.736,0.151,36.615,36.736,36.615,7,933
11:05 - 11:10,36.58,-0.156,36.65,36.7,36.58,5,500
11:10 - 11:15,36.76,0.18,36.58,36.76,36.58,6,600
11:20 - 11:25,36.79,0.03,36.79,36.79,36.79,2,200
11:25 - 11:30,36.86,0.07,36.86,36.86,36.86,2,200
11:30 - 11:35,36.89,0.03,36.86,36.89,36.77,12,1200
11:35 - 11:40,36.86,-0.03,36.86,36.86,36.86,1,100
