Time Interval,Close,Net Chg,Open,High,Low,Tick Count,Volume
Summary,38.49,12.94,25.565,41.52,20.625,141564,36823464
05AUG2013_00:00:00.000000,,,,,,,
09:30 - 09:35,25.58,0.03,25.565,25.58,25.505,9,3730
09:35 - 09:40,25.48,-0.1,25.59,25.684,25.48,9,3000
09:40 - 09:45,25.635,0.155,25.5,25.635,25.487,16,3200
09:45 - 09:50,25.555,-0.08,25.594,25.6,25.53,24,5600
09:50 - 09:55,25.565,0.01,25.53,25.6,25.518,14,3000
09:55 - 10:00,25.63,0.065,25.605,25.635,25.605,10,2000
10:00 - 10:05,25.785,0.155,25.63,25.799,25.6,31,7000
10:05 - 10:10,25.605,-0.18,25.71,25.754,25.605,12,4800
10:10 - 10:15,25.665,0.06,25.6,25.745,25.55,27,9000
10:15 - 10:20,25.8,0.135,25.715,25.8,25.67,16,5444
10:20 - 10:25,25.735,-0.065,25.795,25.799,25.71,13,2900
10:25 - 10:30,25.68,-0.055,25.715,25.715,25.68,4,800
10:30 - 10:35,25.635,-0.045,25.685,25.69,25.635,6,1200
10:35 - 10:40,25.565,-0.07,25.673,25.674,25.55,36,8000
10:40 - 10:45,25.685,0.12,25.6,25.685,25.6,7,1600
10:45 - 10:50,25.665,-0.02,25.655,25.665,25.655,2,600
10:50 - 10:55,25.6,-0.065,25.6,25.636,25.6,7,1400
10:55 - 11:00,25.55,-0.05,25.597,25.6,25.475,24,5200
11:00 - 11:05,25.62,0.07,25.587,25.62,25.587,2,400
11:05 - 11:10,25.503,-0.117,25.59,25.59,25.485,14,2800
11:10 - 11:15,25.44,-0.063,25.49,25.49,25.425,14,3000
11:15 - 11:20,25.425,-0.015,25.44,25.445,25.425,8,1600
11:20 - 11:25,25.43,0.005,25.47,25.47,25.42,5,1000
11:25 - 11:30,25.43,0,25.39,25.43,25.39,16,3200
11:30 - 11:35,25.34,-0.09,25.435,25.445,25.34,18,3600
11:35 - 11:40,25.31,-0.03,25.375,25.375,25.31,44,9750
11:40 - 11:45,25.315,0.005,25.315,25.315,25.315,1,200
11:45 - 11:50,25.365,0.05,25.375,25.375,25.317,6,1200
11:50 - 11:55,25.31,-0.055,25.325,25.355,25.305,10,2000
11:55 - 12:00,25.31,0,25.305,25.31,25.285,13,3000
12:05 - 12:10,25.265,-0.045,25.275,25.295,25.265,7,1400
12:10 - 12:15,25.335,0.07,25.295,25.335,25.255,16,4200
12:15 - 12:20,25.34,0.005,25.34,25.34,25.34,3,800
12:20 - 12:25,25.325,-0.015,25.295,25.325,25.295,9,1800
12:25 - 12:30,25.35,0.025,25.325,25.383,25.28,49,10020
12:30 - 12:35,25.335,-0.015,25.358,25.385,25.265,46,9400
12:35 - 12:40,25.315,-0.02,25.33,25.395,25.315,30,6200
12:40 - 12:45,25.32,0.005,25.31,25.355,25.298,57,11400
12:45 - 12:50,25.35,0.03,25.35,25.36,25.299,43,11200
12:50 - 12:55,25.45,0.1,25.325,25.45,25.295,43,9200
12:55 - 13:00,25.53,0.08,25.45,25.55,25.45,37,8600
13:00 - 13:05,25.395,-0.135,25.519,25.58,25.395,27,5400
13:05 - 13:10,25.38,-0.015,25.375,25.38,25.375,3,600
13:10 - 13:15,25.375,-0.005,25.375,25.375,25.375,6,1200
13:15 - 13:20,25.365,-0.01,25.38,25.38,25.355,17,4000
13:20 - 13:25,25.415,0.05,25.39,25.415,25.39,6,1400
13:25 - 13:30,25.55,0.135,25.47,25.55,25.465,11,5578
13:30 - 13:35,25.47,-0.08,25.48,25.52,25.465,15,3000
13:35 - 13:40,25.415,-0.055,25.44,25.44,25.415,3,600
13:40 - 13:45,25.42,0.005,25.42,25.42,25.42,2,400
13:45 - 13:50,25.435,0.015,25.43,25.435,25.43,3,600
13:50 - 13:55,25.45,0.015,25.485,25.49,25.45,6,1200
13:55 - 14:00,25.468,0.018,25.455,25.48,25.415,50,12600
14:00 - 14:05,25.375,-0.093,25.45,25.46,25.375,65,15632
14:05 - 14:10,25.35,-0.025,25.365,25.425,25.345,18,4128
14:10 - 14:15,25.415,0.065,25.38,25.46,25.38,7,2800
14:15 - 14:20,25.4,-0.015,25.4,25.47,25.395,38,16784
14:20 - 14:25,25.396,-0.004,25.395,25.414,25.395,9,1800
14:25 - 14:30,25.345,-0.051,25.36,25.39,25.34,12,2400
14:30 - 14:35,25.36,0.015,25.35,25.36,25.34,14,2800
14:35 - 14:40,25.335,-0.025,25.343,25.365,25.325,15,3000
14:40 - 14:45,25.365,0.03,25.345,25.365,25.33,10,2000
14:45 - 14:50,25.385,0.02,25.355,25.397,25.335,21,5000
14:50 - 14:55,25.444,0.059,25.395,25.444,25.39,12,2800
14:55 - 15:00,25.425,-0.019,25.44,25.44,25.375,13,3000
15:00 - 15:05,25.36,-0.065,25.4,25.42,25.36,21,4800
15:05 - 15:10,25.355,-0.005,25.345,25.365,25.345,35,7972
15:10 - 15:15,25.355,0,25.355,25.36,25.335,17,3800
15:15 - 15:20,25.355,0,25.355,25.37,25.33,24,5232
15:20 - 15:25,25.35,-0.005,25.353,25.353,25.32,17,3800
15:25 - 15:30,25.36,0.01,25.353,25.37,25.325,19,4200
15:30 - 15:35,25.3,-0.06,25.355,25.355,25.295,24,5606
15:35 - 15:40,25.35,0.05,25.3,25.355,25.285,24,5600
15:40 - 15:45,25.355,0.005,25.35,25.36,25.325,34,7600
15:45 - 15:50,25.325,-0.03,25.35,25.35,25.275,23,5000
15:50 - 15:55,25.4,0.075,25.33,25.4,25.315,52,16880
15:55 - 16:00,25.407,0.007,25.37,25.46,25.345,37,9400
06AUG2013_00:00:00.000000,,,,,,,
09:30 - 09:35,23.09,-2.317,23.28,23.32,23.09,6,1400
09:35 - 09:40,22.53,-0.56,22.96,22.96,22.25,278,104180
09:40 - 09:45,22.525,-0.005,22.39,22.73,21.5,395,135006
09:45 - 09:50,22.055,-0.47,22.52,22.655,21.855,249,64348
09:50 - 09:55,22.505,0.45,22.035,22.58,21.9,459,121946
09:55 - 10:00,22.125,-0.38,22.505,22.53,21.98,334,78500
10:00 - 10:05,22.025,-0.1,22.11,22.17,21.98,267,63000
10:05 - 10:10,21.985,-0.04,22.04,22.18,21.92,342,79688
10:10 - 10:15,22.02,0.035,21.965,22.14,21.965,261,63236
10:15 - 10:20,22.03,0.01,22.02,22.12,21.985,379,99670
10:20 - 10:25,22.025,-0.005,22,22.05,21.875,211,50018
10:25 - 10:30,22.01,-0.015,22.025,22.03,22,76,17600
10:30 - 10:35,22.02,0.01,22.01,22.33,22.005,313,78510
10:35 - 10:40,21.975,-0.045,22.02,22.04,21.825,135,32746
10:40 - 10:45,22,0.025,21.955,22.145,21.899,124,30954
10:45 - 10:50,21.91,-0.09,22.145,22.145,21.825,108,59416
10:50 - 10:55,21.9,-0.01,21.892,21.92,21.835,331,84088
