Time Interval,Close,Net Chg,Open,High,Low,Tick Count,Volume
Summary,80.69,11.23,69.29,83.85,67.84,100387,12614404
03NOV2014_00:00:00.000000,,,,,,,
09:30 - 09:35,69.4,-0.06,69.29,69.4,69.27,5,2540
09:35 - 09:40,69.62,0.22,69.43,69.62,69.287,13,1418
09:50 - 09:55,69.89,0.27,69.79,69.89,69.79,8,801
09:55 - 10:00,69.85,-0.04,69.85,69.97,69.85,8,1000
10:00 - 10:05,69.91,0.06,69.87,69.91,69.77,9,900
10:05 - 10:10,69.72,-0.19,69.83,69.83,69.72,2,200
10:10 - 10:15,69.59,-0.13,69.59,69.59,69.59,2,200
10:15 - 10:20,69.52,-0.07,69.59,69.59,69.52,4,400
10:20 - 10:25,69.38,-0.14,69.4,69.4,69.25,7,769
10:25 - 10:30,69.74,0.36,69.44,69.74,69.44,3,300
10:30 - 10:35,69.7,-0.04,69.69,69.79,69.69,9,900
10:35 - 10:40,69.72,0.02,69.79,69.79,69.72,5,500
10:40 - 10:45,69.86,0.14,69.8,69.89,69.7,80,8000
10:45 - 10:50,69.77,-0.09,69.81,69.86,69.72,76,7600
10:50 - 10:55,69.8,0.03,69.81,69.82,69.75,7,13022
10:55 - 11:00,69.88,0.08,69.8,69.88,69.79,38,15600
11:00 - 11:05,69.91,0.03,69.82,69.93,69.8,27,15100
11:05 - 11:10,69.97,0.06,69.96,70.04,69.91,25,26900
11:10 - 11:15,70.01,0.04,69.97,70.04,69.97,38,4458
11:15 - 11:20,70.02,0.01,69.98,70.02,69.97,7,700
11:20 - 11:25,69.99,-0.03,69.98,70.08,69.98,36,4800
11:25 - 11:30,69.93,-0.06,69.97,69.97,69.93,7,700
11:30 - 11:35,69.97,0.04,69.92,70,69.92,7,700
11:35 - 11:40,70.01,0.04,69.94,70.01,69.94,5,500
11:40 - 11:45,70.015,0.005,70.01,70.06,70.01,3,300
11:45 - 11:50,70.03,0.015,70.02,70.06,69.98,27,2900
11:50 - 11:55,70.01,-0.02,70.02,70.02,70,7,700
11:55 - 12:00,70.06,0.05,70.01,70.06,70,26,2600
12:00 - 12:05,70.07,0.01,70.11,70.11,70.07,4,400
12:05 - 12:10,70.02,-0.05,70.085,70.09,70.01,15,1500
12:10 - 12:15,70.01,-0.01,70.045,70.05,69.97,23,2459
12:15 - 12:20,69.98,-0.03,69.97,69.98,69.97,3,300
12:20 - 12:25,69.98,0,69.98,69.98,69.98,1,100
12:25 - 12:30,70,0.02,70.025,70.05,70,8,800
12:30 - 12:35,69.9,-0.1,69.91,69.92,69.9,4,400
12:35 - 12:40,69.95,0.05,69.92,69.95,69.92,3,300
12:40 - 12:45,70,0.05,69.925,70,69.925,3,300
12:45 - 12:50,69.965,-0.035,70,70.04,69.935,25,2714
12:50 - 12:55,69.97,0.005,69.95,69.97,69.93,3,300
12:55 - 13:00,69.92,-0.05,69.96,70.05,69.92,46,4900
13:00 - 13:05,69.9,-0.02,69.92,69.92,69.84,5,500
13:05 - 13:10,69.83,-0.07,69.895,69.895,69.83,8,800
13:10 - 13:15,69.79,-0.04,69.8,69.83,69.79,4,400
