Time Interval,Close,Net Chg,Open,High,Low,Tick Count,Volume
Summary,16,5.6,10.36,16.94,9.62,105005,17101028
05AUG2013_00:00:00.000000,,,,,,,
09:30 - 09:35,10.4,0,10.36,10.43,10.36,43,10463
09:35 - 09:40,10.39,-0.01,10.4,10.4,10.39,11,1859
09:40 - 09:45,10.41,0.02,10.39,10.41,10.39,18,3480
09:50 - 09:55,10.42,0.01,10.41,10.42,10.41,5,500
09:55 - 10:00,10.41,-0.01,10.42,10.44,10.41,34,7500
10:00 - 10:05,10.43,0.02,10.41,10.43,10.41,15,2700
10:05 - 10:10,10.41,-0.02,10.43,10.43,10.41,12,2000
10:10 - 10:15,10.4,-0.01,10.4,10.41,10.37,31,6199
10:15 - 10:20,10.4,0,10.38,10.4,10.38,7,700
10:20 - 10:25,10.44,0.04,10.4,10.45,10.4,39,5938
10:25 - 10:30,10.45,0.01,10.45,10.45,10.45,1,100
10:30 - 10:35,10.44,-0.01,10.45,10.45,10.43,10,1400
10:35 - 10:40,10.45,0.01,10.44,10.45,10.43,14,1616
10:40 - 10:45,10.43,-0.02,10.43,10.45,10.43,5,513
10:45 - 10:50,10.44,0.01,10.44,10.44,10.44,2,200
10:50 - 10:55,10.4,-0.04,10.45,10.45,10.4,31,4180
10:55 - 11:00,10.4,0,10.4,10.4,10.38,17,2300
11:00 - 11:05,10.38,-0.02,10.39,10.4,10.38,21,3009
11:05 - 11:10,10.33,-0.05,10.38,10.38,10.32,42,5400
11:10 - 11:15,10.32,-0.01,10.33,10.33,10.32,8,1100
11:15 - 11:20,10.34,0.02,10.32,10.34,10.32,2,200
11:20 - 11:25,10.35,0.01,10.32,10.35,10.32,14,1700
11:25 - 11:30,10.38,0.03,10.37,10.38,10.37,5,700
11:30 - 11:35,10.37,-0.01,10.39,10.39,10.36,14,2860
11:35 - 11:40,10.36,-0.01,10.36,10.36,10.36,1,100
11:40 - 11:45,10.37,0.01,10.37,10.38,10.36,5,900
11:45 - 11:50,10.39,0.02,10.36,10.39,10.36,12,1276
11:55 - 12:00,10.42,0.03,10.39,10.42,10.39,12,1200
12:00 - 12:05,10.42,0,10.42,10.42,10.42,9,1000
12:05 - 12:10,10.4295,0.0095,10.41,10.4295,10.4,10,1194
12:10 - 12:15,10.415,-0.0145,10.41,10.415,10.41,2,200
12:15 - 12:20,10.44,0.025,10.43,10.44,10.43,8,1000
12:20 - 12:25,10.44,0,10.425,10.44,10.425,7,700
12:25 - 12:30,10.44,0,10.43,10.44,10.43,3,300
12:30 - 12:35,10.44,0,10.44,10.44,10.42,5,500
12:35 - 12:40,10.41,-0.03,10.42,10.42,10.41,6,600
12:40 - 12:45,10.43,0.02,10.43,10.43,10.42,5,600
12:45 - 12:50,10.44,0.01,10.4361,10.44,10.4355,3,600
12:50 - 12:55,10.43,-0.01,10.42,10.44,10.41,8,800
13:00 - 13:05,10.44,0.01,10.41,10.44,10.41,11,1200
13:05 - 13:10,10.4298,-0.0102,10.4145,10.43,10.41,12,1630
13:10 - 13:15,10.43,0.0002,10.43,10.43,10.43,1,100
13:15 - 13:20,10.44,0.01,10.44,10.44,10.44,2,300
13:20 - 13:25,10.41,-0.03,10.41,10.41,10.41,1,100
13:25 - 13:30,10.44,0.03,10.42,10.44,10.42,4,600
13:30 - 13:35,10.44,0,10.44,10.45,10.43,28,6800
13:35 - 13:40,10.43,-0.01,10.44,10.44,10.43,11,4000
13:40 - 13:45,10.44,0.01,10.44,10.45,10.44,8,1300
13:50 - 13:55,10.45,0.01,10.43,10.45,10.43,8,900
13:55 - 14:00,10.44,-0.01,10.45,10.45,10.43,21,2711
14:00 - 14:05,10.43,-0.01,10.44,10.45,10.43,10,1755
14:05 - 14:10,10.43,0,10.44,10.44,10.43,10,1100
14:10 - 14:15,10.43,0,10.43,10.43,10.43,5,600
14:15 - 14:20,10.44,0.01,10.44,10.44,10.44,9,900
14:25 - 14:30,10.44,0,10.44,10.44,10.44,2,200
14:30 - 14:35,10.45,0.01,10.45,10.45,10.44,17,1800
14:35 - 14:40,10.4305,-0.0195,10.44,10.44,10.4305,7,1200
14:40 - 14:45,10.44,0.0095,10.44,10.44,10.44,4,600
14:45 - 14:50,10.43,-0.01,10.435,10.44,10.43,13,2000
14:50 - 14:55,10.41,-0.02,10.43,10.44,10.41,11,2600
14:55 - 15:00,10.4,-0.01,10.41,10.41,10.39,9,1100
15:00 - 15:05,10.43,0.03,10.41,10.43,10.41,10,1600
15:05 - 15:10,10.44,0.01,10.44,10.44,10.44,3,300
15:10 - 15:15,10.46,0.02,10.46,10.46,10.431,6,1100
15:15 - 15:20,10.41,-0.05,10.44,10.44,10.38,30,4700
15:20 - 15:25,10.426,0.016,10.42,10.44,10.42,3,1000
15:25 - 15:30,10.43,0.004,10.45,10.45,10.43,16,2500
15:30 - 15:35,10.45,0.02,10.44,10.45,10.44,13,2300
15:35 - 15:40,10.45,0,10.45,10.46,10.44,33,4475
