,ASGN,AVA,B,BCPC,CACI,CBU,CHE,COLB,FCFS,FFIN,FIVE,GBCI,GDOT,HAE,HI,IART,JBT,KFY,KS,NEOG,NSP,PDCE,PSB,QLYS,SIGI,SKYW,STMP,TREX,VAC,WWE
2013-03-05,23.530001,21.744436,25.59096,40.958767,52.150002,24.461514,74.701645,18.162621,53.126419,20.216242,41.360001,14.586571,15.09,41.720001,21.228334,20.655001,17.611013,17.421494,12.76898,23.08077,11.187493,47.459999,65.985947,12.21,20.544006,13.869036,25.049999,25.295,40.187542,7.446768
2013-03-06,24.0,21.852283,26.014811,41.934906,52.490002,24.647528,74.845871,18.242907,53.330303,20.498247,42.5,14.711382,15.17,41.52,21.289513,20.459999,17.801609,17.411894,12.927947,23.00075,11.262549,47.110001,65.638023,12.16,20.470901,14.06811,25.5,25.275,40.358238,7.498009
2013-03-07,23.91,21.77762,26.108995,40.949005,53.07,24.765903,74.643944,18.474842,53.505066,20.705349,42.029999,14.936049,15.3,41.290001,21.315727,20.344999,19.112095,17.19113,13.007433,23.00075,11.270452,49.700001,65.498848,12.9,20.425205,14.191348,25.700001,25.075001,40.244438,7.463848
2013-03-08,24.85,21.951838,26.212599,40.939243,53.689999,24.723629,76.201653,18.448084,53.349724,20.943287,42.040001,14.96101,15.3,41.560001,21.376909,20.684999,19.896477,17.450293,12.998081,23.395849,11.258599,50.459999,65.52494,12.55,20.489178,14.162908,25.76,25.450001,40.415127,7.489468
2013-03-11,24.889999,21.893768,27.20158,40.626881,52.93,24.596798,76.134323,18.314268,53.369141,20.753813,41.880001,15.069181,15.18,41.41,21.481781,20.715,19.666901,17.431093,12.960677,23.585896,11.262549,51.470001,65.717422,12.55,20.46176,14.14395,25.27,25.225,40.481503,7.583405
2013-03-12,24.82,21.827394,27.032043,40.607353,52.759998,24.605249,76.057388,18.242907,53.524487,20.542311,41.470001,14.96101,14.78,40.84,21.455564,20.715,19.513851,17.431093,12.857815,23.88097,11.2665,51.990002,66.102402,12.54,20.406929,14.333546,25.08,25.040001,40.377209,7.412609
2013-03-13,24.709999,21.918655,27.248676,40.968529,53.5,24.8869,75.518944,18.439157,53.009914,20.814011,41.220001,15.119111,14.89,41.150002,21.900442,20.795,19.819948,17.440695,13.021461,24.036009,11.27835,52.23,66.084892,12.23,20.571426,14.71274,24.98,25.17,40.557362,7.36931
2013-03-14,24.9,22.043097,27.305189,41.456596,54.91,25.1856,75.499702,18.778149,53.49535,21.09017,41.93,15.368732,15.07,41.34,22.006161,20.950001,19.973001,17.440695,12.918595,24.186047,11.317855,53.200001,66.443649,12.1,20.790756,14.854938,25.389999,25.370001,40.509956,7.403949
2013-03-15,24.540001,22.076288,27.305189,41.427315,55.860001,25.347761,75.62471,18.920881,52.573025,21.348509,41.07,15.568432,15.18,41.5,22.155922,20.815001,20.288668,17.383101,12.951327,24.176044,11.294151,52.799999,66.487373,11.71,21.055782,14.826497,25.299999,24.84,40.765995,7.403949
2013-03-18,24.26,21.985025,27.116812,41.720158,55.860001,25.21121,74.865097,18.572971,52.388546,21.005539,41.82,15.402022,15.6,41.23,22.006161,20.184999,20.020828,17.411894,12.834435,24.091022,11.223047,52.060001,66.487373,11.45,21.101477,15.253092,25.33,24.775,40.073753,7.274055
2013-03-19,23.99,21.951838,27.16391,41.671345,56.02,25.424578,75.278549,18.938721,52.116707,21.272785,41.02,15.368732,15.38,41.349998,21.988539,20.120001,19.705166,17.229523,12.899894,24.226057,11.211196,50.48,66.259888,11.11,21.220282,15.234133,24.870001,24.98,40.547882,7.490545
