,AAPL,AXP,BA,CAT,CSCO,CVX,DIS,DWDP,GE,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,UTX,V,VZ,WMT,XOM
05MAR2013,46.270584,59.6423,69.269966,77.01358,18.072237,96.897087,52.797226,27.213915000000004,20.010527,143.102463,63.041168000000006,176.629669,18.395342000000003,67.621689,43.418696999999995,32.815182,82.132401,92.492676,36.476597,24.911959,25.007526000000002,23.52833,65.881691,72.22803499999999,49.195164,81.014618,38.0439,38.0439,64.312065,76.01799
06MAR2013,45.682465,60.135296,69.639847,76.526962,18.498070000000002,97.34078199999999,52.685055000000006,27.644942999999998,20.078384,144.19708300000002,63.050137,178.211838,18.600586,67.386597,43.892445,33.103629999999995,82.989632,92.67866500000001,36.839256,24.683493,25.189732,23.570242,66.009964,72.290421,49.296303,81.059105,37.716831,37.716831,64.015457,75.975555
07MAR2013,46.210499,60.051563,71.374672,76.5355,18.5662,97.41471899999999,52.647659,27.467465999999998,20.086868,146.52659599999998,62.844391,179.101303,18.720318,67.700058,44.418842,33.188465,83.22964499999999,92.57240300000001,36.493469,24.727428,25.153294,23.695967,65.75344100000001,72.406334,49.471012,81.628777,37.876385,37.876385,63.96309300000001,75.254486
08MAR2013,46.332844,60.181801,71.53318,77.269699,18.591749,97.422935,53.647892000000006,27.695653999999998,20.16321,143.121185,63.846309999999995,179.922318,18.455208,68.08318299999999,44.041599,33.2733,84.618378,93.608467,36.240452000000005,24.604404000000002,24.911870999999998,23.628914,65.99284399999999,72.80761700000001,49.480209,81.94918100000001,38.259293,38.259293,64.12114,75.47506
11MAR2013,46.992863,60.92591899999999,73.039047,77.84168199999999,18.634331,97.554405,53.900288,27.881588,20.035973000000002,143.420578,63.801575,179.665741,18.549276000000003,68.300865,44.287251,33.349655,84.772697,93.697006,36.822392,24.490170000000003,24.838987,23.679205,66.138214,72.89679699999999,49.848026000000004,82.696854,38.139641,38.139641,64.077232,75.636238
12MAR2013,45.979744000000004,60.730598,74.113419,76.612335,18.481033,97.160011,53.386146999999994,28.092878000000002,19.85784,142.064056,63.63969399999999,180.06768799999998,18.506516,68.40535,44.111774,33.052727000000004,84.661247,93.094841,37.986275,24.525316,24.365259,23.419363,65.984299,72.887863,50.41814,82.90158100000001,38.578384,38.578384,64.621605,75.636238
13MAR2013,45.971165,60.739902,74.63297299999999,76.219627,18.378834,97.25039699999999,53.601154,28.067514000000003,19.925698999999998,142.120163,63.648663,181.35907,18.523621,68.39664499999999,44.006508000000004,32.975821999999994,85.192741,93.059433,37.969242,24.534105,24.984751,23.486418,65.667938,73.226715,50.29121,82.848175,38.24334,38.24334,64.66552,75.72107700000001
14MAR2013,46.416553,60.814312,74.518501,75.72447199999999,18.387354000000002,98.5979,53.98441700000001,28.456287,20.095352,144.094193,63.180916,184.557632,18.515072,68.87554899999999,44.743462,33.343258,85.132729,93.882965,37.696751,24.727428,24.911870999999998,23.561857,66.17242399999999,73.44072,50.521992,83.177498,38.674103,38.674103,64.287971,76.204613
15MAR2013,47.614269,61.474728000000006,76.112434,75.835442,18.67691,98.334969,53.825504,28.574606,19.883287,144.861313,62.110516000000004,183.80500800000002,18.284167999999998,68.953918,43.883671,33.180904,85.441353,94.219444,37.543484,24.639554999999998,24.952862,23.486418,65.27460500000001,73.369392,50.521992,83.026176,38.307159000000006,38.307159000000006,63.655804,75.814362
18MAR2013,48.908553999999995,61.186381999999995,75.01166500000001,76.287918,18.455482,97.883072,53.124413,28.118227,19.722116,142.157547,62.380363,182.34260600000002,18.181542999999998,68.623032,43.436240999999995,33.121086,84.498367,93.34279599999999,37.151779,24.692277999999998,24.670446,23.503183,65.120712,73.592308,50.771221000000004,82.572266,38.8895,38.8895,63.436291000000004,75.305397
19MAR2013,48.776554,60.581776,75.302269,75.357384,18.327734,98.15422099999999,52.638313000000004,28.050617,19.781496,139.247971,61.876647999999996,182.539261,18.078917999999998,68.66658000000001,43.164265,33.608166,84.352646,93.139114,37.211388,24.762575,24.520134,23.461273000000002,65.933006,74.18085500000001,50.928162,82.874863,39.049053,39.049053,63.611889,75.144211
20MAR2013,48.517899,61.391026000000004,75.178978,74.221939,18.455482,98.88549,53.227233999999996,28.261902000000003,19.900249,140.45488,61.957606999999996,183.924744,18.113131,69.180298,43.094082,34.069592,84.66980699999999,93.564201,37.569019,24.885599,24.975645,23.712736,66.33489200000001,74.760452,50.660454,83.177498,38.769844,38.769844,64.086021,75.186615
21MAR2013,48.587666,60.842224,74.263123,74.12802099999999,17.748607999999997,98.877274,52.638313000000004,27.450558,19.756044,136.010986,62.020554000000004,181.53010600000002,17.993401000000002,68.797203,42.418545,34.240501,84.464066,92.92660500000001,37.288021,24.701073,24.415367,23.561857,66.018501,74.680183,50.826614,82.269615,38.929386,38.929386,64.208931,74.79639399999999
22MAR2013,49.572876,61.595661,74.694633,74.68294499999999,17.671951,99.567444,53.077663,27.704102000000002,19.823906,137.152374,62.56926,181.376205,18.241401999999997,69.43283100000001,42.795795,34.214863,85.098442,94.237167,37.381683,24.824087,27.116540999999998,23.788173999999998,66.069817,74.626694,50.272739,83.302109,39.104889,39.104889,65.218651,75.74651300000001
25MAR2013,49.752102,61.484028,74.721039,73.96582,17.757118,98.745804,52.544833999999994,27.289976,19.713631,136.693924,62.488316000000005,180.230179,18.087471,69.380585,42.567703,34.283221999999995,84.215492,93.130257,37.202869,24.745003,27.130207000000002,23.603769,65.56532299999999,74.34135400000001,50.641998,82.59895300000001,39.216576,39.216576,65.719116,75.517448
26MAR2013,49.490238,62.479317,76.279747,74.27314799999999,17.757118,99.40313,52.937447,27.315586,19.611843,137.096176,63.010029,181.615692,18.617695,70.399353,42.672973999999996,34.770302,84.43836999999999,93.927246,37.798927,24.745003,27.089211,23.972578,66.180977,74.33242800000001,51.371254,82.46545400000001,39.471851,39.471851,65.648872,76.459091
27MAR2013,48.517899,62.460712,75.909904,74.187798,17.740089,98.754013,52.787876000000004,27.127796000000004,19.594877,138.312424,62.65021899999999,180.358444,18.669006,70.76505999999999,41.909698,34.368675,84.781273,93.236542,37.551990999999994,24.929531,26.624588,24.006104999999998,65.890251,74.34135400000001,52.266674,82.42984799999999,39.041069,39.041069,65.65765400000001,76.840843
28MAR2013,47.506943,62.749062,75.601685,74.247559,17.799704000000002,97.628357,53.096363000000004,27.179007000000002,19.611843,137.666885,62.767143000000004,182.419556,18.677559,70.991447,41.63773,34.556675,85.458481,94.13975500000001,37.637146,25.140427,26.879675,24.190514,65.890251,75.07254,52.811302000000005,83.15971400000001,39.208595,39.208595,65.701553,76.442146
01APR2013,46.031269,62.563026,75.07330300000001,73.112099,17.740089,98.277458,52.99353000000001,26.777811,19.577909,136.628403,62.668198,181.63273600000002,18.326925,71.339729,41.962348999999996,34.565208,84.909836,93.55532099999999,37.764874,25.140427,26.538038,24.173745999999998,66.437477,74.858521,54.435989,82.70575,39.264439,39.264439,66.22835500000001,77.002037
02APR2013,46.125721,62.916489,74.051773,72.463272,18.072237,97.776237,53.71331800000001,26.419292,19.798455999999998,137.227173,63.882526,183.326096,18.352583,72.00149499999999,42.357132,34.795947999999996,85.947113,94.325722,38.241718,25.307388,26.829576,24.500641,67.514854,75.26870699999999,56.993010999999996,82.768059,39.487808,39.487808,66.74638399999999,76.840843
03APR2013,46.361824,61.806301,74.289551,71.814461,18.055201,96.773827,53.517017,26.461972999999997,19.51005,134.167969,63.288872,181.872223,18.001953,71.461647,41.359562,34.325947,85.08130600000001,93.581886,38.624912,25.096493,26.834121999999997,24.333006,66.79660799999999,74.653442,56.928394,82.95497900000001,39.080959,39.080959,66.72882800000001,76.289459
04APR2013,45.903553,62.254112,74.809113,72.24985500000001,18.063793,97.01211500000001,53.834846,26.829025,19.577909,133.774979,63.585685999999995,180.717682,18.078917999999998,71.757698,41.924561,34.642117,86.26429,93.70585600000001,38.590847,25.131641000000002,27.029993,24.441973,67.155731,75.206284,57.260712,82.919373,39.328262,39.328262,66.904427,76.15370899999999
05APR2013,45.418461,60.920035999999996,75.88346899999999,72.224243,17.694616,96.56019599999999,53.937675,26.376614,19.450668,134.429886,63.019012,179.09274299999998,17.907881,71.435532,42.295341,34.249046,86.941513,93.670433,38.42907,25.219517,26.861456,24.391678,66.890656,75.26870699999999,57.325340000000004,82.45654300000001,39.53566,39.53566,67.071259,75.508987
08APR2013,45.741496999999995,61.199905,76.39424100000001,71.874207,17.660273,96.79849200000001,54.98465,26.18882,19.611843,134.551498,64.062431,179.015778,18.03616,70.625748,42.886818,34.915572999999995,87.010094,93.643875,38.727084999999995,25.122854,27.307859000000004,24.441973,67.36949200000001,75.554062,57.131477000000004,83.40892,39.846016,39.846016,67.861473,75.161171
09APR2013,45.824131,60.845387,76.799339,73.334076,18.003691,97.480453,55.283779,26.837563,19.560945999999998,137.077499,64.044434,178.930252,18.600586,70.982742,42.975101,34.787395000000004,86.632927,93.820984,38.752632,26.019154,27.280523,24.400066,66.916313,76.03556800000001,57.399184999999996,84.067589,39.789597,39.789597,68.590225,75.305397
10APR2013,46.758911,61.013321,77.336487,73.906059,18.432957000000002,98.30210100000001,56.190532999999995,27.170469,20.002039,139.82806399999998,64.485191,181.307785,19.036741,71.418114,43.478294,35.095013,87.001526,95.361809,39.885146999999996,26.607909999999997,27.462729,25.079007999999998,67.75425,75.62539699999999,57.6115,84.717339,40.192661,40.192661,67.931732,75.229034
11APR2013,46.612953000000005,61.33051700000001,77.961731,73.16330699999999,18.62184,99.37847099999999,56.601841,27.196081,20.010527,139.463181,64.674095,182.094604,18.669006,71.679337,43.531265000000005,35.189021999999994,87.430153,95.857674,40.200214,25.430408,27.877240999999998,25.682507,68.12195600000001,76.74002800000001,58.137676,85.286987,40.716618,40.716618,68.30046800000001,75.687141
12APR2013,46.126785,61.274536,78.27877,72.608414,18.493060999999997,98.54860699999999,56.601841,27.102184,19.900249,139.50993300000002,66.221237,180.777557,18.540728,72.045067,43.266426,35.103569,88.80171999999999,95.352913,40.11507,25.298603,27.594831,25.707657,68.472504,76.91836500000001,58.183834,85.17128000000001,40.998756,40.998756,68.97654,75.49200400000001
15APR2013,45.058929,59.800514,76.411858,70.235069,18.072372,95.779648,55.040732999999996,25.762012,19.348879,137.021362,64.97093199999999,178.964447,18.284167999999998,71.148201,42.313004,34.257587,87.567307,93.65271800000001,39.561577,25.210732,27.180311,25.523249,68.10483599999999,75.53621700000001,56.854546,83.239799,40.821419,40.821419,68.89753,73.371208
